RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
753,162,103,1604,663,54,5660,39,244,325,21,201449189,0.283392226,0.36175187,0.477561837
736,162,95,1495,659,70,5543,51,212,335,25,121345999,0.269709544,0.351731773,0.453905827
754,162,84,1434,642,49,5462,45,199,297,36,63313034,0.262541194,0.342852533,0.439399487
771,162,75,1516,548,45,5696,49,209,339,13,80538300,0.266151685,0.332754812,0.440308989
876,162,64,1508,517,39,5618,46,160,307,19,67101666,0.268422926,0.331832797,0.415272339
761,162,97,1604,547,41,5622,52,173,293,33,113709000,0.28530772,0.350047908,0.4414799
740,162,87,1436,472,37,5526,51,224,296,27,68178798,0.259862468,0.319585935,0.44480637
692,162,85,1430,421,49,5543,44,160,280,19,98904166,0.257983042,0.313686644,0.401948403
761,162,75,1464,527,50,5584,54,135,307,21,61910000,0.26217765,0.328399035,0.397206304
640,162,91,1436,528,61,5465,43,160,294,29,88528409,0.262763038,0.332130556,0.415004575
672,161,83,1398,592,59,5486,42,161,293,29,134809000,0.254830478,0.331607056,0.40685381
818,162,80,1447,610,71,5510,47,182,281,37,80182502,0.26261343,0.341134979,0.426134301
723,162,78,1349,531,53,5462,41,158,280,25,73558500,0.246979129,0.317562017,0.394177957
770,162,74,1415,448,43,5436,45,142,270,32,102996414,0.260301692,0.319156062,0.400110375
768,161,62,1364,499,46,5417,36,125,289,34,48693000,0.251799889,0.318272758,0.386930035
709,162,93,1439,589,71,5578,45,224,312,35,113004046,0.25797777,0.334076078,0.446934385
766,162,87,1493,568,63,5572,39,159,296,25,36834000,0.267946877,0.340275553,0.415649677
641,162,86,1459,602,52,5539,47,149,300,20,96726166,0.263404947,0.338621795,0.405488355
757,162,70,1472,526,36,5453,55,95,295,49,149373987,0.269943151,0.33509061,0.394278379
874,162,59,1416,617,56,5493,42,156,271,38,59928000,0.257782632,0.336501289,0.406153286
611,162,95,1511,607,63,5592,44,145,278,39,100414592,0.270207439,0.345861085,0.411659514
715,162,92,1408,660,47,5398,60,190,300,50,75201000,0.260837347,0.343065693,0.440533531
