0,State,Date,Text
Heidi of Salem, OR," Nov. 14, 2017","I was on an almost 2 hour flight (Flight AA3936) stuck sitting with one leg over my bag and the other on the edge of the aisle. Not once was I asked to check in my bag nor told it wouldn't fit on the overhead bin. By the time we landed my knees, hips and back were killing me and I had to have help from the gentleman next to me to be able to stand up. So glad there wasn't an emergency 'cause this would have been one hell of a hazard. Lesson learned not to use this airline again."
Michael of Austin, TX," Nov. 11, 2017","American Airlines‰Û_the new standard for horrible service. Oh‰Û_I mean HORRIBLE! I travel very frequently for work and have stuck to one specific airline in order to build my status with them (ie. first class upgrades often, better seat choices, free checked bags). Recently, service has taken a turn for the worse. I‰Ûªm a reasonable guy and tolerate more than most. Call it my Southern hospitality, my upbringing or my service to the community when I served in law enforcement, but I just plain put up with more‰Û_until now."
Kevin of Framingham, MA," Nov. 9, 2017","I travel 80%~ for Work and have flown with almost every airline multiple times. AA is by far the worst. Not due to their customer service/staff/delays or anything like that (at least that I‰Ûªve noticed), but their planes have no entertainment system on each seat, they do not play movies on the overhead screens, and they don‰Ûªt even have a free WiFi movie/tv option you can connect to using your phone! I‰Ûªm currently on a flight from Boston to Phoenix and was utterly shocked when I sat in my seat and noticed no form of entertainment for a cross-country flight. Delta and other airlines provide personal entertainment screens on each screen or a smartphone connect feature for 2+ hr flights, which in turn make the flights more enjoyable. Anyways, to avoid rambling on and on about the lack of technology on AA planes I‰Ûªll just say if you enjoyed traveling in the late 90s early 2000s, then AA is for you. If you want to travel in 2017 and beyond, find a different airline."
Rania of Miami Beach, FL," Nov. 6, 2017","I had a horrible experience today on my flight back to Miami. I have been an AAdvantage member for many years now and have always chosen to be loyal to American but after today's experience that may change. The onboarding process was fine and the flight was on time, which to be honest is rare but I was happy. When the snacks and beverage cart came the attendant did not smile, looked unhappy to take our beverage order, handed me and my husband 2 cookies, I then I told her, ""Can we just get pretzels?"" She said ""Then I need the cookies back."" I was honestly appalled."
Samiksha of Minnesota, MN," Nov. 3, 2017","Don't deserve single star. Also, I have a flight from Chicago to Minneapolis 5 hours from now. And they have seats available on the earlier flight but won't give you without charging $75. They are ok to make you wait or fly a flight with empty seats but no customer delight which is no cost to them. No customer driven company and not looking for going extra mile to make customer happy. Never travel on American Airlines again."
Tanya of Chandler, AZ," Oct. 31, 2017","Worst experience ever with AA never again, they treated my dad like garbage, they humiliated my dad in front of my niece travelling with him and in front of all passengers, just because my dad is ** and not fluent in English. I wish I could sue them for discrimination against my dad for not speaking English fluent instead of offering assistance in Spanish which, the sky harbor airport in Arizona has plenty of bilingual employees. DO NOT FLY AA EVER, pay more with a different airline. The only reason why my dad and niece flew AA to go to my brother's funeral, thank you AA for the worst day ever. It's a shame I have to put a star instead of no stars service."
Matt of La Mesa, CA," Oct. 30, 2017","This American Airlines review is out of frustration due to a lot of things. They're a disgrace! The employees are rude, there is no leg room, no entertainment, and treat people like herds of sheep. They have a ""New"" rule where they charge $50 at the gate to carry on your luggage. Are you kidding me? $50 for a carry on? And I can't even use the overhead bin! Disgraceful! Basically these guys are crooks! They're a disgrace. Last time I flew with American their flight was delayed by 2 hours and we ended up missing our connecting flight because it was the last flight out. We ended up having to stay an extra day and had to pay $100 for a hotel. We missed my sisters wedding. On the way back we ended up stuck on the tarmac for 2 hours. Of course!"
Naki of Bridgeport, CT," Oct. 29, 2017","I booked a ticket back when the hurricane were hitting down south every other week. Because of that I was not able to attend my trip in GA. They told me I had up to a year to use my ticket. So when I try to rebook my ticket they are now close to $500. Mind you this is the highest rate out of all the airlines for my particular dates, I asked for a refund because I didn't wanna double what I paid the first time and I was told by the Supervisor (Willie ** in Dallas ) that my only option was to ""use it or lost it"". Being a supervisor myself I thought the tone in which he said it was very careless and he didn't try to help the situation at all. I would never talk to my customers the way he spoke to me especially after losing out on $300!!"
Robert of Bellingham, WA," Oct. 26, 2017","I just completed a flight on American Airlines. I had read negative reviews, but I found the American Airlines people I had contact with were great, tried to provide all the service they could because our flight had been cancelled due WX and had to layover at ORD. My complaint is the phoney coupon given for a hotel room for a ""discounted rate"". The coupon has nothing to do with American Airlines, but is only a hotel booking service. When I called the phone number provided I was told the only available room was 10 miles away and given a rate of $80.00. It was getting late in the evening so took it. Then was advised there was a $15 service charge to book the room. American Airline paid none of this. The shuttle bus to the hotel was packed (Other delayed passengers). When I got home I checked the hotel rate and found the same room went for $105. I ""saved"" $10. The hotel was a Holiday Inn Express. Room not bad."
Shongo of San Antonio, TX," Oct. 25, 2017","I was en route from San Antonio Texas to Hong Kong and when checking in for the domestic portion of the flight at the ticket counter, the woman claimed there was a problem with my passport. I asked for details and she claimed ""There are spots on your passport."" I told her the passport was still valid and did not expire until the following year."" She made up some baloney about Homeland Security not letting people fly with spots on their passport. I told her I checked their website and there was no mention of anything like that. She then claimed, ""Oh, they don't tell you."" I said, ""Then how are you supposed to know?"" She then sarcastically claimed I needed glasses, so I put my glasses on and told her those so called spots are not a problem. "
Michelle of Chicago, IL," Oct. 24, 2017","On 10/21/17 Gate L8 Karen. I approached to asked a question this was the initial gate for my flight, she totally ignored me never acknowledged my presence. After about 10 minutes I walked away from the counter. She IMMEDIATELY acknowledged the person that was behind me... I guess I wasn't the right person for her to service."
Cassandra of Toronto, ON," Oct. 23, 2017","Where do I even begin? I had a round trip flight booked from Toronto, Ontario to Busan, South Korea back in the month of July (2017). While I was away, I heard the news that my dad had passed away. In which, I contacted American Airlines right away and asked if anything can be done. I wanted to fly back before my actual trip date, due to obvious reasons. I even offered to provide them with a death certificate if need be (although, I don't think that is even something they should ask for right away). I spoke to 3 different customer service reps who were all horrible to speak with. They had zero compassion and empathy and just dismissed me as if what I was experiencing was far from a big deal to them. "
Magda of Myrtle Beach, SC," Oct. 23, 2017","I was on the plane for 14 hours due to a delay. Sitting in a broken seat that would not recline. I told the stewardess and she could care less, said nothing she can do. After I got home I contacted the airline and they issued me a fourteen dollar credit. I had paid 197.34 dollars for preferred seats. The worst flight of my life, never again w/ this airline."
Wesley of New Braunfels, TX," Oct. 22, 2017","Overall, (Un)American Airlines continues to disappoint. I really only ever fly with AA as a last resort, and I can't see any reason to recommend traveling with AA. I was prior active duty Army, and now I'm a reservist, and only American Airlines makes me feel like my service is less important now. United, Southwest, Jet Blue, Delta, every other airline doesn't discriminate between Active Duty and Reserve/Guardsmen when it comes to bag fees. So, along with uncomfortable, outdated planes and poor service, I spent a $100 checking bags to and from my destination."
Karen of Roseville, CA," Oct. 19, 2017",American Airlines is the worst airlines to fly anywhere. They cram you in the seats with no leg room or any room for that matter. I requested a wheelchair at airport and waited 30 minutes upon someone finally arriving. They took me the wrong way to my next check in and I missed my flight. They said I would have to rebook my ticket and just wait for the next flight. Attendant at the gate was very disrespectful and not helpful at all. I had no control over this situation at all. Not to mention when I did finally arrive at my destination that I requested a wheelchair prior to my departure.
Nicole of Fresno, CA," Oct. 15, 2017","American Airlines is the worst airline in THE WORLD, and should change their name, it is utterly disgraceful that as an American they use this name. Their policy is to not apologize for anything, to be as rude as possible to people who are basically held hostage to them and their BS policies like closing the door to the gate while people are standing there then charging them money to rebook their flight, not caring at all about the bags on their way to a destination without the owners there to pick them up. Then being told when lodging a complaint that it was going in one ear and out the other. I have never been treated so poorly in my life, I will never again fly with this airline, I hope they go bankrupt and get the worst karma life can give. Oh yeah and I get to fly with them tomorrow. :/"
