,0,1,2,3,4
0,Pride and Prejudice,Jane Austen," 4.24 avg rating — 2,212,968 ratings","score: 32,776",h
1,"Outlander (Outlander, #1)",Diana Gabaldon," 4.21 avg rating — 585,734 ratings","score: 21,710",t
2,Jane Eyre,Charlotte Brontë," 4.10 avg rating — 1,290,630 ratings","score: 15,893",t
3,Gone with the Wind,Margaret Mitchell," 4.28 avg rating — 902,752 ratings","score: 10,438",p
4,Sense and Sensibility,Jane Austen," 4.06 avg rating — 781,888 ratings","score: 10,240",s
5,"The Notebook (The Notebook, #1)",Nicholas Sparks," 4.07 avg rating — 1,081,176 ratings","score: 7,598",:
6,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon," 4.31 avg rating — 212,703 ratings","score: 7,283",/
7,"Voyager (Outlander, #3)",Diana Gabaldon," 4.38 avg rating — 186,691 ratings","score: 7,138",/
8,"Whitney, My Love (Westmoreland, #2)",Judith McNaught," 4.19 avg rating — 25,117 ratings","score: 6,687",w
9,"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught," 4.25 avg rating — 36,363 ratings","score: 6,212",w
10,Persuasion,Jane Austen," 4.13 avg rating — 405,755 ratings","score: 6,142",w
11,After Forever Ends,Melodie Ramone," 4.05 avg rating — 1,344 ratings","score: 5,988",.
12,"Almost Heaven (Sequels, #3)",Judith McNaught," 4.33 avg rating — 21,518 ratings","score: 5,556",g
13,A Knight in Shining Armor,Jude Deveraux," 4.23 avg rating — 29,190 ratings","score: 5,306",o
14,"Lord of Scoundrels (Scoundrels, #3)",Loretta Chase," 4.12 avg rating — 22,280 ratings","score: 5,003",o
15,"Paradise (Second Opportunities, #1)",Judith McNaught," 4.32 avg rating — 25,756 ratings","score: 4,761",d
16,"The Bride (Lairds' Fiancées, #1)",Julie Garwood," 4.26 avg rating — 44,846 ratings","score: 4,705",r
17,The Princess Bride,William Goldman," 4.25 avg rating — 659,746 ratings","score: 4,241",e
18,"Nobody's Baby But Mine (Chicago Stars, #3)",Susan Elizabeth Phillips," 4.06 avg rating — 29,101 ratings","score: 3,992",a
19,Flowers from the Storm,Laura Kinsale," 4.10 avg rating — 10,763 ratings","score: 3,912",d
20,"Devil in Winter (Wallflowers, #3)",Lisa Kleypas," 4.26 avg rating — 42,347 ratings","score: 3,692",s
21,"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward," 4.45 avg rating — 143,298 ratings","score: 3,489",.
22,"Once and Always (Sequels, #1)",Judith McNaught," 4.21 avg rating — 19,732 ratings","score: 3,483",c
23,The Secret (Highlands' Lairds #1),Julie Garwood," 4.26 avg rating — 34,988 ratings","score: 3,423",o
24,Kiss an Angel,Susan Elizabeth Phillips," 4.21 avg rating — 35,726 ratings","score: 3,382",m
25,"Dreaming of You (The Gamblers, #2)",Lisa Kleypas," 4.21 avg rating — 26,611 ratings","score: 3,129",/
26,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons," 4.33 avg rating — 49,064 ratings","score: 3,027",b
27,Honor's Splendour,Julie Garwood," 4.22 avg rating — 23,609 ratings","score: 3,026",o
28,"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward," 4.35 avg rating — 147,246 ratings","score: 2,941",o
29,"The Duke and I (Bridgertons, #1)",Julia Quinn," 4.11 avg rating — 62,520 ratings","score: 2,936",k
30,"Perfect (Second Opportunities, #2)",Judith McNaught," 4.30 avg rating — 19,641 ratings","score: 2,903",/
31,"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips," 4.04 avg rating — 49,886 ratings","score: 2,827",s
32,"Until You (Westmoreland, #3)",Judith McNaught," 4.12 avg rating — 16,044 ratings","score: 2,729",h
33,"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn," 4.19 avg rating — 34,995 ratings","score: 2,610",o
34,"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley," 4.07 avg rating — 22,337 ratings","score: 2,610",w
35,The Flame and the Flower,Kathleen E. Woodiwiss," 4.09 avg rating — 13,986 ratings","score: 2,545",/
36,Shanna,Kathleen E. Woodiwiss," 4.11 avg rating — 8,817 ratings","score: 2,407",1
37,Frederica,Georgette Heyer," 4.15 avg rating — 14,031 ratings","score: 2,350",1
38,Rebecca,Daphne du Maurier," 4.21 avg rating — 332,294 ratings","score: 2,271",4
39,"Married By Morning (The Hathaways, #4)",Lisa Kleypas," 4.14 avg rating — 24,847 ratings","score: 2,264",1
40,Dream Man,Linda Howard," 4.04 avg rating — 15,500 ratings","score: 2,231",0
41,"Dream a Little Dream (Chicago Stars, #4)",Susan Elizabeth Phillips," 4.18 avg rating — 26,022 ratings","score: 2,219",9
42,The Wolf and the Dove,Kathleen E. Woodiwiss," 4.14 avg rating — 15,176 ratings","score: 2,183",8
43,The Prize,Julie Garwood," 4.22 avg rating — 22,714 ratings","score: 2,103",8
44,The Grand Sophy,Georgette Heyer," 4.16 avg rating — 19,039 ratings","score: 2,094",-
45,"Mackenzie's Mountain (Mackenzie Family, #1)",Linda Howard," 4.19 avg rating — 13,241 ratings","score: 2,080",f
46,"Ransom (Highlands' Lairds, #2)",Julie Garwood," 4.33 avg rating — 24,521 ratings","score: 1,996",i
47,Saving Grace,Julie Garwood," 4.25 avg rating — 20,640 ratings","score: 1,983",r
48,Venetia,Georgette Heyer," 4.07 avg rating — 10,500 ratings","score: 1,978",e
49,A Rose in Winter,Kathleen E. Woodiwiss," 4.15 avg rating — 8,597 ratings","score: 1,951",s
50,"It Happened One Autumn (Wallflowers, #2)",Lisa Kleypas," 4.15 avg rating — 34,123 ratings","score: 1,879",-
51,The Count of Monte Cristo,Alexandre Dumas," 4.22 avg rating — 605,051 ratings","score: 1,851",o
52,"Devil's Cub (Alastair, #2)",Georgette Heyer," 4.19 avg rating — 10,460 ratings","score: 1,846",f
53,"Love in the Afternoon (The Hathaways, #5)",Lisa Kleypas," 4.20 avg rating — 27,105 ratings","score: 1,831",-
54,"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn," 4.19 avg rating — 39,106 ratings","score: 1,826",w
55,Amatore's Restaurant,James Sillwood, 4.28 avg rating — 76 ratings,"score: 1,780",i
56,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery," 4.23 avg rating — 537,494 ratings","score: 1,696",n
57,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins," 4.07 avg rating — 288,465 ratings","score: 1,681",t
58,"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard," 4.02 avg rating — 128,396 ratings","score: 1,628",e
59,"Seduce Me at Sunrise (The Hathaways, #2)",Lisa Kleypas," 4.10 avg rating — 24,174 ratings","score: 1,612",r
60,Hummingbird,LaVyrle Spencer," 4.08 avg rating — 3,469 ratings",score: 629,h
61,"The Shadow and the Star (Victorian Hearts, #2)",Laura Kinsale," 4.02 avg rating — 2,843 ratings",score: 608,t
62,Arabella,Georgette Heyer," 4.04 avg rating — 11,983 ratings",score: 596,t
63,Sylvester,Georgette Heyer," 4.10 avg rating — 10,171 ratings",score: 582,p
64,The Thorn Birds,Colleen McCullough," 4.22 avg rating — 268,251 ratings",score: 577,s
65,Wuthering Heights,Emily Brontë," 3.82 avg rating — 1,008,690 ratings",score: 560,:
66,"Smooth Talking Stranger (Travises, #3)",Lisa Kleypas," 4.17 avg rating — 31,002 ratings",score: 545,/
67,"The Wedding (Lairds' Fiancées, #2)",Julie Garwood," 4.18 avg rating — 23,003 ratings",score: 543,/
68,"Sawyer (Buckhorn Brothers, #1)",Lori Foster," 4.03 avg rating — 5,568 ratings",score: 516,w
69,"These Old Shades (Alastair, #1)",Georgette Heyer," 4.06 avg rating — 12,193 ratings",score: 483,w
70,The Color Purple,Alice Walker," 4.17 avg rating — 402,846 ratings",score: 470,w
