,0,1,2,3,4
0,Pride and Prejudice,Jane Austen,4.24,"  32,676",/book/show/1885.Pride_and_Prejudice
1,"Outlander (Outlander, #1)",Diana Gabaldon,4.21,"  21,710",/book/show/10964.Outlander
2,Jane Eyre,Charlotte Brontë,4.10,"  15,893",/book/show/10210.Jane_Eyre
3,Gone with the Wind,Margaret Mitchell,4.28,"  10,438",/book/show/18405.Gone_with_the_Wind
4,Sense and Sensibility,Jane Austen,4.06,"  10,240",/book/show/14935.Sense_and_Sensibility
5,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.07,"  7,598",/book/show/15931.The_Notebook
6,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,4.31,"  7,283",/book/show/5364.Dragonfly_in_Amber
7,"Voyager (Outlander, #3)",Diana Gabaldon,4.38,"  7,138",/book/show/10987.Voyager
8,"Whitney, My Love (Westmoreland, #2)",Judith McNaught,4.19,"  6,687",/book/show/350684.Whitney_My_Love
9,"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught,4.25,"  6,212",/book/show/129619.A_Kingdom_of_Dreams
10,Persuasion,Jane Austen,4.13,"  6,142",/book/show/2156.Persuasion
11,After Forever Ends,Melodie Ramone,4.05,"  5,988",/book/show/16046121-after-forever-ends
12,"Almost Heaven (Sequels, #3)",Judith McNaught,4.33,"  5,556",/book/show/129621.Almost_Heaven
13,A Knight in Shining Armor,Jude Deveraux,4.23,"  5,306",/book/show/73385.A_Knight_in_Shining_Armor
14,"Lord of Scoundrels (Scoundrels, #3)",Loretta Chase,4.12,"  5,003",/book/show/425377.Lord_of_Scoundrels
15,"Paradise (Second Opportunities, #1)",Judith McNaught,4.32,"  4,761",/book/show/16006.Paradise
16,"The Bride (Lairds' Fiancées, #1)",Julie Garwood,4.26,"  4,705",/book/show/107779.The_Bride
17,The Princess Bride,William Goldman,4.25,"  4,241",/book/show/21787.The_Princess_Bride
18,"Nobody's Baby But Mine (Chicago Stars, #3)",Susan Elizabeth Phillips,4.06,"  3,992",/book/show/73080.Nobody_s_Baby_But_Mine
19,Flowers from the Storm,Laura Kinsale,4.10,"  3,912",/book/show/360259.Flowers_from_the_Storm
20,"Devil in Winter (Wallflowers, #3)",Lisa Kleypas,4.26,"  3,692",/book/show/114166.Devil_in_Winter
21,"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,4.45,"  3,489",/book/show/42900.Lover_Awakened
22,"Once and Always (Sequels, #1)",Judith McNaught,4.21,"  3,483",/book/show/129620.Once_and_Always
