word,freq
love,12
trilogy,10
mackenzie,8
black,8
family,7
born,6
shades,5
perfect,5
outlander,5
eyes,5
saga,5
wallflowers,5
rose,5
heart,5
prince,5
french,4
hathaways,4
bridgertons,4
devil,4
duke,4
lairds,4
dream,4
chicago,4
comanche,4
night,4
green,4
stars,4
anne,4
lord,4
brothers,4
fifty,4
kiss,4
slammed,4
queen,4
dark,4
xcc,4
shadow,3
dagger,3
blue,3
horseman,3
twilight,3
carsington,3
darkness,3
bride,3
bedwyn,3
one,3
man,3
gables,3
highlander,3
time,3
winter,3
island,3
spymaster,3
lover,3
bronze,3
lady,3
brotherhood,3
moon,3
remember,3
jewels,3
wind,3
team,3
girl,3
westmoreland,3
sequels,3
mrs,3
heaven,3
rake,2
notebook,2
shadows,2
rules,2
immortal,2
series,2
anna,2
game,2
return,2
sea,2
always,2
silver,2
blood,2
hell,2
highlands,2
dreams,2
hunter,2
crown,2
agnes,2
society,2
secret,2
kings,2
learning,2
academy,2
forever,2
gamblers,2
gold,2
rainbows,2
roman,2
fianc,2
restaurant,2
last,2
hockey,2
king,2
arcane,2
chesapeake,2
married,2
morning,2
violet,2
mike,2
sky,2
part,2
bay,2
sunrise,2
death,2
prine,2
touch,2
summer,2
tempt,2
chinooks,2
starcrossed,2
fallen,2
cavaliers,2
open,2
hood,2
robin,2
wonderful,2
inferno,2
season,2
keeper,2
troubleshooters,2
travel,2
wicked,2
wilderness,2
bradens,2
divergent,2
tides,2
rising,2
dreaming,2
song,2
fall,2
crave,2
alastair,2
reckless,2
flat,2
book,2
fae,2
opportunities,2
angels,2
sarah,2
jane,2
magdalene,2
study,2
tea,2
amatore,2
second,2
duet,2
vampire,2
legend,2
scoundrels,2
les,2
spymasters,2
magic,2
hour,2
slightly,2
souls,2
something,2
roundheads,2
autumn,2
romancing,2
breeds,2
wife,2
neighbor,2
never,2
gabriel,2
country,1
tudor,1
fried,1
angles,1
whitney,1
vandhargal,1
gone,1
fire,1
champion,1
tatiana,1
xac,1
captive,1
circus,1
ways,1
feline,1
mark,1
crossfire,1
life,1
daughter,1
juliet,1
retelling,1
sophy,1
almost,1
real,1
smooth,1
davenport,1
awakened,1
sensibility,1
wild,1
macleod,1
secrets,1
daughters,1
gansett,1
zhivago,1
coals,1
enchanted,1
gladiator,1
ropes,1
scarlet,1
viscount,1
drew,1
arielle,1
score,1
eyre,1
sawyer,1
annie,1
thorn,1
chance,1
cove,1
guardians,1
mackenzies,1
eternity,1
star,1
glen,1
ends,1
god,1
accidental,1
dublin,1
protector,1
west,1
madding,1
pool,1
outsider,1
cafe,1
frederica,1
nakoa,1
rainbow,1
agents,1
walk,1
swords,1
trials,1
damar,1
jaya,1
defiance,1
color,1
nutcracker,1
madness,1
phantom,1
seduce,1
dangerous,1
remembrance,1
creek,1
old,1
attorney,1
instruments,1
strife,1
alice,1
shaped,1
stranger,1
lies,1
emma,1
spring,1
fired,1
deal,1
rebecca,1
hawksong,1
falcon,1
whispers,1
los,1
fate,1
anderson,1
crowd,1
titan,1
raven,1
ice,1
marquis,1
drums,1
nowhere,1
power,1
medieval,1
run,1
ghostwalkers,1
soulmates,1
perks,1
purple,1
amber,1
wolf,1
afternoon,1
garland,1
gracie,1
redeeming,1
home,1
dear,1
silence,1
stardust,1
kingdom,1
house,1
scrimmage,1
grand,1
hand,1
yesterday,1
housewives,1
ella,1
keys,1
practice,1
voyager,1
tomatoes,1
count,1
princes,1
beast,1
campus,1
glory,1
different,1
ransom,1
mouse,1
splendour,1
embrace,1
sudden,1
shame,1
surrender,1
running,1
match,1
boys,1
crack,1
easy,1
cub,1
pillars,1
untie,1
exposure,1
mcbrides,1
north,1
complete,1
tamed,1
travises,1
spells,1
heat,1
fighters,1
cristo,1
line,1
hearts,1
edge,1
fighting,1
hummingbird,1
like,1
argeneau,1
lion,1
unsung,1
lucky,1
collection,1
beauty,1
persuasion,1
place,1
sword,1
hot,1
arrangement,1
piaget,1
sense,1
collision,1
memoirs,1
spy,1
point,1
malory,1
kendrick,1
nine,1
buckhorn,1
soul,1
arabella,1
town,1
hole,1
baby,1
opportunist,1
impossible,1
glass,1
charming,1
bared,1
date,1
grey,1
hawk,1
mystery,1
underground,1
break,1
good,1
fool,1
happened,1
hidden,1
atonement,1
venetia,1
maid,1
lobos,1
complicate,1
birds,1
course,1
mission,1
midnight,1
mahabharata,1
edenbrooke,1
playing,1
truce,1
pleasure,1
basket,1
keeps,1
doctor,1
austin,1
response,1
dove,1
heir,1
quickening,1
possession,1
call,1
proposition,1
cynster,1
marry,1
knight,1
harbor,1
prize,1
scaramouche,1
trouble,1
diary,1
far,1
garden,1
woman,1
dragonfly,1
harrigan,1
retreat,1
pride,1
contours,1
rapture,1
sweetest,1
simon,1
shattered,1
winds,1
woods,1
illustrated,1
forbidden,1
dance,1
chain,1
liars,1
wallflower,1
says,1
search,1
territories,1
next,1
geisha,1
fbi,1
scandal,1
prequels,1
dreamlight,1
straw,1
beautiful,1
honor,1
makes,1
redemption,1
box,1
horn,1
extreme,1
quite,1
let,1
water,1
revenge,1
hero,1
falling,1
poison,1
mister,1
plays,1
shining,1
healer,1
endangerment,1
eleanor,1
windflower,1
heights,1
monte,1
riptide,1
squad,1
dancing,1
mountain,1
turner,1
conspiracy,1
talking,1
mine,1
angel,1
ravished,1
fruits,1
flame,1
victorian,1
see,1
loved,1
splendid,1
grace,1
flowers,1
megan,1
park,1
nobody,1
mageverse,1
murder,1
john,1
storm,1
shanna,1
vengeance,1
nothing,1
winters,1
whistle,1
swept,1
set,1
husband,1
river,1
ems,1
bad,1
twice,1
naked,1
alexander,1
silk,1
wedding,1
words,1
pimpernel,1
sutton,1
stop,1
waltz,1
vendrargal,1
sugar,1
witch,1
spindle,1
earth,1
bright,1
waverley,1
came,1
sale,1
wuthering,1
master,1
chased,1
arrow,1
bite,1
eternal,1
million,1
porcelain,1
arizona,1
undead,1
deceptions,1
sweet,1
marigold,1
paradise,1
washed,1
indiscretion,1
tales,1
armor,1
trusty,1
flower,1
dawn,1
assumption,1
traveler,1
books,1
fires,1
waking,1
elephants,1
attachments,1
cry,1
week,1
fairy,1
rutland,1
little,1
spies,1
sbc,1
naughty,1
bloom,1
virgin,1
ian,1
story,1
city,1
bridgerton,1
hollows,1
anonymity,1
soaring,1
number,1
paiget,1
saving,1
first,1
romeo,1
south,1
coulter,1
castle,1
mortal,1
prejudice,1
thing,1
florida,1
kiesha,1
sylvester,1
miss,1
masqueraders,1
princess,1
reunited,1
