,0
0,This airline that appears struggling just many fronts There something wrong with the culture There little attention paid staff and shows the indifferent verging rude service delivered cabin crew and customer service personnel They just don seem care They have invested new aircraft they needed their fleet still old However even newer aircraft breakdown this one did You can criticise them for this happens the best carriers However how these issues are handled important measure customer service For American the handling those merely highlighted the significant cultural disconnect Jaded staff give jaded service and did show
1,recently flew with American Airlines Business First Class Japan booked flight months ahead and about month before they called and said the flight had booked was cancelled and they needed rebook different time and Dallas instead Chicago The agent was little rude because was not happy that now would have instead She actually said you mean tell you don want get early also meant had change reservations for hotels because the timing was not thrilled The first leg dallas was Then connected Japan Air can say enough good things about them Such nice accommodating staff clean and pleasant great attitudes best flying experience ever had the bathroom there was hand written note saying thank you for flying with them and ask needed anything There was always moist towelettes and toothbrushes available and mouthwash too The return was all American Airlines asked attendant for help putting carryon and she said way can help you Not but will get you help Finally male staff member helped The rudeness continued when asked how put the sound for the movie You have wait she did big favor help Then when wanted change may food requested vegan due allergy but found out was gonna have cheese wanted switch Japanese food First she said then she said she would see she had enough Finally she said she could and told how lucky was that she could noticed she was super sweet the cute guy who sat behind calling him darling and sweety neveer said him for anything paid lot money for this trip and expected more
2,The worst ever experienced truly terrible frequent flyer who travels mostly out the far east using variety Arabian carriers all who left highly impressed when came flying home from the USA had some basic expectations what good service standard would But wow American Airlines how bad service commitment could you show the plane was actually very modern but the seats were truly terrible very narrow where near wide enough for your average person sit comfortably rock hard cushions with almost leg room and non removable armrest set low that stuck painfully into hip for the whole trip Half way home due this very poor seating legs had gone numb and was suffering terrible hip pains requested help from hostess who answer amazed when she stated Its economy deal with Sadly she was not the only staff member who seemed think rudeness was acceptable practice our flight there was quite large number people from religious group was obvious that one hostess did not like these poor people and constantly treated them rudely and was very intolerant towards their children thought American Airlines flag carrier but can only describe its staff showing pride this all they were scruffy with untied hair and poor dress code quality One male staff member with his crumpled shirt constantly hanging out and his underarm sweating very obvious when fellow passenger suggested tidy himself just aggressively stated working here Overall can only describe this the worst flight ever been left both myself and wife feeling very disappointed and myself still recovering from very painful hip days later advice would look elsewhere
3,normally don give reviews public forems However making this exception don want this happen anyone else flight Saint Kitts for study experienced sever weather conditions that lead delay arrival destination This compliant one sure many people will make with many airlines but aid was appalled with how they handled this service First understand that weather cannot avoided and not the fault the airline not their fault that they were unable land airport due the weather conditions that flew around the air for over two hours then stopping for gas another airport until finally reached destination not their fault that missed connecting flight due the delay However unreasonable ask pay for hotel because not their policy compensate for weather related conditions After spending flight was forced spend additional hotel room and arrive late destination When taking compliant customer service was given generic answer which they misspelled name know that bucks isn lot money for most people Howeve student budget and ever single dollar accounted for well ever single hour time planned Not only did they disregard financial constraints but also time didn complain that had wait additional day get destination made arrangements with school have the issue resolved share this experience with any traveler emergent situation Don travel with American Airlines you expect fair treatment weather related conditions Don expect any reimbursements either
4,This flight restored faith American Airlines After long day travel delays this flight was the most pleasant flight had years The flight attendants were the best encountered quite some time The perfect mix professional fun Thank you Heather Ernest nice looked the eye treated kindly made feel like they actually want make your experience good one After many years only using when they were the only option largely because customer service end flight that wins heart back Great job Heather Ernest
5,had issues with American before and vowed would never fly them again After over years decided give them one more chance That chance was undeserved They disappointed yet again used points buy first class flight splurge while vacation chose specific flight since was meeting family Tampa and were renting car together received communication about the flight and decided call check was that time that found out flight had been cancelled and rescheduled Apparently the flight crew needed rest called into reservations and was told that convenient morning flight has been changed flight The worst part that the agent made seem like they were doing favor told her the new flight didn work was then downgraded regular class earlier flight with option getting refunded asked the woman the phone double check there was first class seats available the flight course later came found out seats were available but the agent was too lazy check Everything has done online after the fact with guarantee resolution tried contact American once came home but they didn even try fix their complete lack customer service There was real attempt remedy the situation the people are not friendly and the savings are not worth the hassle return flight went without glitch Unfortunately based this experience and previous experiences just wont flying with American anymore
6,American Airlines customer service absolutely horrible They not care about their clients and lack communication between workers the plane and those inside flight was from Madrid Philadelphia and Philadelphia Memphis They cancelled the Philadelphia Madrid flight they sent from Philadelphia Chicago and Chicago Memphis The flight Memphis had left minutes after landed was impossible try and catch the flight when there wasn ample time make Then once talked the representative smiling the funniest thing that have wait til the next morning for flight and basically sleep the airport compensation for their disorganized system They put their customers can deal with American Airlines anymore None their workers were nice all They didn greet you anything Didn apologize anything
7,Few years back said never fly American Airlines misfortune got booked through work fly again
8,The result this was dealing with bunch rude incompetents delayed flights with obviously lost connections followed total trip back home when usually takes flight
9,AMERICAN AIRLINES WORST AIRLINE THE USA
10,all niggas buggin how the fuck all got leg room internet shit bummy hell fix shit nigga and lost baggage fuck all niggas
11,Really have been traveling American TON the last couple years But this airline clueless have beeen delayed HOURS last week and this but had pay HUGE change fees change flights use think this was good airline but NOT Jet Blue instead The flight from Raleigh Reagan ALWAYS DELAYED And not worth using American They delay with discount but when you need change ticket you purchased less than hours for the return flight they charge you This airline AWFUL NEVER FLY THEM FROM RALEIGH WASHINGTON just not worth JET Blue
12,They could not find their crew for our flight Terrible updates about why the flight was being delayed Obviously very disorganized airline
13,hour delay from Denmark the Virgin Islands Two extra layovers and soending night airport gate
14,not fly with American Airlines
15,This airline forgets that people pay lot money for their flights cannot speak about the hour delay but can certainly say that the way the delay was handled was very unprofessional and the attitude the air stewards were disgusting This airline makes MacDonalds look like five star restaurant you have other options not fly with American Even you pay little more will worth the end
16,Flight Orlando already delayed again anothe flight that not time have taken flights this month and two were delayed another one canceled The service its terrible and general personally starting hate flight with this airline
17,Terrible customer service asked employee before getting the check line the airline allowed passengers transfer flights earlier time didn have any check luggage didn want waste time line wasn possible The employee assured that wouldn problem without any further information Then waited for hour line check and when reached the front received hostile attitude from the employee asked there was any availability standby and she looked were insane Not mention ridiculous surcharge STANDBY for earlier flight just put your name list for the same flight but earlier unless you gold member don know anyone who would use this awful airline enough achieve that status Generally unhelpful and times condescending staff with unreasonable policies
18,Horrible service could not board flight because there were crew members work went from now very big inconvenience for myself and trip would not recommend this airlines anyone would like money back full
19,not book Connection flight arrived late Made still with mins spare total since they close the doors till Was the end the line Carlos Hernandez shut the ticket machine off and closed the door our face His reasoning was they already sold our seats Which theft since were there time The flight clearly overbooked the plane which has happened personally MULTIPLE times with American Airlines Given standby tickets for the next flight which didnt mention they were standby just wanted out his hair Garcia the next gate was much more helpful and seemed like actually cared Will NEVER fly with this company again
20,Just horrible
21,recently traveled American Airlines and was yet another let down with the airline booked direct flight feb they changed flight the complete opposite times April cutting into trip two whole days didn realize flight was changed until week before the trip While connecting Arizona terrible customer service Arizona also manager Stephanie was very rude and defensive because she shit the gate early they shut the gate early least mins and family and sat and watched the plane for additional min before took off that point they longer had any flights LAX that would make were told all the flights going LAX were oversold and would put standby list that most likely wouldn make the flights that day had fly nearby airport where had uber our bags LAX wasted whole day travel American Airlines didn give what paid for which was direct flight And then dealing with customer service even bigger waste time Don waste your time with this airline
22,Worst experience ever flying for years
23,little rain circling incoming flight running out fuel has away refuel before coming back hrs and still counting later Missed connecting flight and now they can get another flight for days Are kidding Picture available the incredibly incompetent gate counter person relaying this info did add miss connecting flight which will HAVE PAY SLEEP THE FLOOR THE AIRPORT Really That how you treat year old woman traveling alone
24,NEVER FLYING AMERICAN AGAIN
25,Almost bad Dynamic airline made miss cinnecting flight then booked for new only delay had fight with attendent have old daughter placed with one parent asked for upgrade second huge inconvience only turned down then saw all flifgt attendebts that were supposed sit economy get upgraded not cool for those who paid for seats flight was aug
26,American Airlines not good service place they lie and treat the customers bad they have been buisness for long but they can fix their mistakes they are full fake propaganda and they lie all the time flight has been cancelled twice and all they can say have information work for the press will make sure that all the pages our company runs will have bad review about American Airlines You guys should stop lying your customer ethical what you guys are doing your customer hope that they boycott your company for you ethical practices
