Pride and Prejudice,Jane Austen," 4.24 avg rating _яс 2,212,792 ratings","score: 32,776",/book/show/1885.Pride_and_Prejudice
"Outlander (Outlander, #1)",Diana Gabaldon," 4.21 avg rating _яс 585,645 ratings","score: 21,710",/book/show/10964.Outlander
Jane Eyre,Charlotte Brontу┴," 4.10 avg rating _яс 1,290,587 ratings","score: 15,893",/book/show/10210.Jane_Eyre
Gone with the Wind,Margaret Mitchell," 4.28 avg rating _яс 902,685 ratings","score: 10,438",/book/show/18405.Gone_with_the_Wind
Sense and Sensibility,Jane Austen," 4.06 avg rating _яс 781,866 ratings","score: 10,240",/book/show/14935.Sense_and_Sensibility
"The Notebook (The Notebook, #1)",Nicholas Sparks," 4.07 avg rating _яс 1,081,127 ratings","score: 7,598",/book/show/15931.The_Notebook
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon," 4.31 avg rating _яс 212,681 ratings","score: 7,283",/book/show/5364.Dragonfly_in_Amber
"Voyager (Outlander, #3)",Diana Gabaldon," 4.38 avg rating _яс 186,657 ratings","score: 7,138",/book/show/10987.Voyager
"Whitney, My Love (Westmoreland, #2)",Judith McNaught," 4.19 avg rating _яс 25,114 ratings","score: 6,687",/book/show/350684.Whitney_My_Love
"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught," 4.25 avg rating _яс 36,358 ratings","score: 6,212",/book/show/129619.A_Kingdom_of_Dreams
Persuasion,Jane Austen," 4.13 avg rating _яс 405,721 ratings","score: 6,142",/book/show/2156.Persuasion
After Forever Ends,Melodie Ramone," 4.05 avg rating _яс 1,344 ratings","score: 5,988",/book/show/16046121-after-forever-ends
"Almost Heaven (Sequels, #3)",Judith McNaught," 4.33 avg rating _яс 21,518 ratings","score: 5,556",/book/show/129621.Almost_Heaven
A Knight in Shining Armor,Jude Deveraux," 4.23 avg rating _яс 29,189 ratings","score: 5,306",/book/show/73385.A_Knight_in_Shining_Armor
"Lord of Scoundrels (Scoundrels, #3)",Loretta Chase," 4.12 avg rating _яс 22,280 ratings","score: 5,003",/book/show/425377.Lord_of_Scoundrels
"Paradise (Second Opportunities, #1)",Judith McNaught," 4.32 avg rating _яс 25,756 ratings","score: 4,761",/book/show/16006.Paradise
"The Bride (Lairds' Fiancу╘es, #1)",Julie Garwood," 4.26 avg rating _яс 44,840 ratings","score: 4,705",/book/show/107779.The_Bride
The Princess Bride,William Goldman," 4.25 avg rating _яс 659,725 ratings","score: 4,241",/book/show/21787.The_Princess_Bride
"Nobody's Baby But Mine (Chicago Stars, #3)",Susan Elizabeth Phillips," 4.06 avg rating _яс 29,097 ratings","score: 3,992",/book/show/73080.Nobody_s_Baby_But_Mine
Flowers from the Storm,Laura Kinsale," 4.10 avg rating _яс 10,763 ratings","score: 3,912",/book/show/360259.Flowers_from_the_Storm
"Devil in Winter (Wallflowers, #3)",Lisa Kleypas," 4.26 avg rating _яс 42,341 ratings","score: 3,692",/book/show/114166.Devil_in_Winter
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward," 4.45 avg rating _яс 143,291 ratings","score: 3,489",/book/show/42900.Lover_Awakened
"Once and Always (Sequels, #1)",Judith McNaught," 4.21 avg rating _яс 19,731 ratings","score: 3,483",/book/show/129620.Once_and_Always
The Secret (Highlands' Lairds #1),Julie Garwood," 4.26 avg rating _яс 34,985 ratings","score: 3,423",/book/show/107770.The_Secret
Kiss an Angel,Susan Elizabeth Phillips," 4.21 avg rating _яс 35,722 ratings","score: 3,382",/book/show/73086.Kiss_an_Angel
"Dreaming of You (The Gamblers, #2)",Lisa Kleypas," 4.21 avg rating _яс 26,606 ratings","score: 3,129",/book/show/330721.Dreaming_of_You
"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons," 4.33 avg rating _яс 49,057 ratings","score: 3,027",/book/show/83144.The_Bronze_Horseman
Honor's Splendour,Julie Garwood," 4.22 avg rating _яс 23,607 ratings","score: 3,026",/book/show/107774.Honor_s_Splendour
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward," 4.35 avg rating _яс 147,229 ratings","score: 2,941",/book/show/35729.Lover_Eternal
"The Duke and I (Bridgertons, #1)",Julia Quinn," 4.11 avg rating _яс 62,508 ratings","score: 2,936",/book/show/110391.The_Duke_and_I
"Perfect (Second Opportunities, #2)",Judith McNaught," 4.30 avg rating _яс 19,640 ratings","score: 2,903",/book/show/129617.Perfect
"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips," 4.04 avg rating _яс 49,883 ratings","score: 2,827",/book/show/73070.It_Had_to_Be_You
"Until You (Westmoreland, #3)",Judith McNaught," 4.12 avg rating _яс 16,044 ratings","score: 2,729",/book/show/740683.Until_You
"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn," 4.19 avg rating _яс 34,994 ratings","score: 2,610",/book/show/110384.Romancing_Mister_Bridgerton
"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley," 4.07 avg rating _яс 22,333 ratings","score: 2,610",/book/show/5981872-the-madness-of-lord-ian-mackenzie
The Flame and the Flower,Kathleen E. Woodiwiss," 4.09 avg rating _яс 13,984 ratings","score: 2,545",/book/show/896623.The_Flame_and_the_Flower
Shanna,Kathleen E. Woodiwiss," 4.11 avg rating _яс 8,815 ratings","score: 2,407",/book/show/896621.Shanna
Frederica,Georgette Heyer," 4.15 avg rating _яс 14,029 ratings","score: 2,350",/book/show/311196.Frederica
Rebecca,Daphne du Maurier," 4.21 avg rating _яс 332,263 ratings","score: 2,271",/book/show/17899948-rebecca
"Married By Morning (The Hathaways, #4)",Lisa Kleypas," 4.14 avg rating _яс 24,844 ratings","score: 2,264",/book/show/7198269-married-by-morning
Dream Man,Linda Howard," 4.04 avg rating _яс 15,499 ratings","score: 2,231",/book/show/72623.Dream_Man
"Dream a Little Dream (Chicago Stars, #4)",Susan Elizabeth Phillips," 4.18 avg rating _яс 26,021 ratings","score: 2,219",/book/show/73095.Dream_a_Little_Dream
The Wolf and the Dove,Kathleen E. Woodiwiss," 4.14 avg rating _яс 15,174 ratings","score: 2,183",/book/show/896622.The_Wolf_and_the_Dove
The Prize,Julie Garwood," 4.22 avg rating _яс 22,713 ratings","score: 2,103",/book/show/107772.The_Prize
The Grand Sophy,Georgette Heyer," 4.16 avg rating _яс 19,039 ratings","score: 2,094",/book/show/261689.The_Grand_Sophy
