,0,1,2
0,The Shawshank Redemption,/title/tt0111161/?ref_=adv_li_tt,(1994)
1,The Dark Knight,/title/tt0468569/?ref_=adv_li_tt,(2008)
2,Inception,/title/tt1375666/?ref_=adv_li_tt,(2010)
3,Fight Club,/title/tt0137523/?ref_=adv_li_tt,(1999)
4,Pulp Fiction,/title/tt0110912/?ref_=adv_li_tt,(1994)
5,Forrest Gump,/title/tt0109830/?ref_=adv_li_tt,(1994)
6,The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/?ref_=adv_li_tt,(2001)
7,The Matrix,/title/tt0133093/?ref_=adv_li_tt,(1999)
8,The Lord of the Rings: The Return of the King,/title/tt0167260/?ref_=adv_li_tt,(2003)
9,The Godfather,/title/tt0068646/?ref_=adv_li_tt,(1972)
10,The Dark Knight Rises,/title/tt1345836/?ref_=adv_li_tt,(2012)
11,The Lord of the Rings: The Two Towers,/title/tt0167261/?ref_=adv_li_tt,(2002)
12,Se7en,/title/tt0114369/?ref_=adv_li_tt,(1995)
13,Gladiator,/title/tt0172495/?ref_=adv_li_tt,(2000)
14,Batman Begins,/title/tt0372784/?ref_=adv_li_tt,(2005)
15,Django Unchained,/title/tt1853728/?ref_=adv_li_tt,(2012)
16,The Avengers,/title/tt0848228/?ref_=adv_li_tt,(2012)
17,Star Wars: Episode IV - A New Hope,/title/tt0076759/?ref_=adv_li_tt,(1977)
18,The Silence of the Lambs,/title/tt0102926/?ref_=adv_li_tt,(1991)
19,Inglourious Basterds,/title/tt0361748/?ref_=adv_li_tt,(2009)
20,Saving Private Ryan,/title/tt0120815/?ref_=adv_li_tt,(1998)
21,The Departed,/title/tt0407887/?ref_=adv_li_tt,(2006)
22,Schindler's List,/title/tt0108052/?ref_=adv_li_tt,(1993)
23,Avatar,/title/tt0499549/?ref_=adv_li_tt,(2009)
24,The Prestige,/title/tt0482571/?ref_=adv_li_tt,(2006)
25,Star Wars: Episode V - The Empire Strikes Back,/title/tt0080684/?ref_=adv_li_tt,(1980)
26,Memento,/title/tt0209144/?ref_=adv_li_tt,(2000)
27,American Beauty,/title/tt0169547/?ref_=adv_li_tt,(1999)
28,Shutter Island,/title/tt1130884/?ref_=adv_li_tt,(2010)
29,The Green Mile,/title/tt0120689/?ref_=adv_li_tt,(1999)
30,Pirates of the Caribbean: The Curse of the Black Pearl,/title/tt0325980/?ref_=adv_li_tt,(2003)
31,The Godfather: Part II,/title/tt0071562/?ref_=adv_li_tt,(1974)
32,V for Vendetta,/title/tt0434409/?ref_=adv_li_tt,(2005)
33,Titanic,/title/tt0120338/?ref_=adv_li_tt,(1997)
34,American History X,/title/tt0120586/?ref_=adv_li_tt,(1998)
35,Back to the Future,/title/tt0088763/?ref_=adv_li_tt,(1985)
36,The Usual Suspects,/title/tt0114814/?ref_=adv_li_tt,(1995)
37,Terminator 2,/title/tt0103064/?ref_=adv_li_tt,(1991)
38,Léon: The Professional,/title/tt0110413/?ref_=adv_li_tt,(1994)
39,Kill Bill: Vol. 1,/title/tt0266697/?ref_=adv_li_tt,(2003)
40,Braveheart,/title/tt0112573/?ref_=adv_li_tt,(1995)
41,Goodfellas,/title/tt0099685/?ref_=adv_li_tt,(1990)
42,WALL·E,/title/tt0910970/?ref_=adv_li_tt,(2008)
43,Finding Nemo,/title/tt0266543/?ref_=adv_li_tt,(2003)
44,Star Wars: Episode VI - Return of the Jedi,/title/tt0086190/?ref_=adv_li_tt,(1983)
45,The Sixth Sense,/title/tt0167404/?ref_=adv_li_tt,(1999)
46,Iron Man,/title/tt0371746/?ref_=adv_li_tt,(2008)
47,Up,/title/tt1049413/?ref_=adv_li_tt,(2009)
48,One Flew Over the Cuckoo's Nest,/title/tt0073486/?ref_=adv_li_tt,(1975)
49,The Truman Show,/title/tt0120382/?ref_=adv_li_tt,(1998)
