,Date,Overall_Rating,Cabin,Review,Recommended,ValueForMoney,Seat_Space,Cust_Serv,Entertainment,Food_Drink
0,"December 1, 2017",8/10,Economy Class,"The flight booking through my agent was a breeze and at a reasonable price. I just flew, November 27th, from Adelaide to Belgrade through Doha without any problems. The flying felt safe at all times in an A350 for the first leg and an A321 for the second leg. The flight crew were very attentive, polite, obliging to requests, and efficient. There were no problems with the baggage. The planes were clean although the seats were a little on the squeeze side in the economy section. The only critique could be directed towards the quality of food: it did not look inviting nor it tasted pleasantly, an area that would require quite a considerable improvement. On the brighter side, there was more than enough food on offer and frequently so. The entertainment was of satisfactory quality with a wide range of choices. I flew with Qatar before and always found it worth speaking well of. I will be having the return flight in a few months time and will voice myself again then.",Yes,4,2,5,4,4
1,"November 27, 2017",2/10,Economy Class,"I would not recommend Qatar Airways to any Australian travelling internationally. Their customer service team couldn’t care less about the well-being of Australians. After missing a connecting flight in Doha from Melbourne by 10 minutes, I was forced to stay in Doha overnight, and subsequently arrived 28 hours late to my destination. I was told by every single flight attendant and the Melbourne ground staff that we would arrive on time, and that the DOH->SKP flight would be delayed for us so “I have nothing to worry about”. If they had just been honest and told me that it will be late, I could have told my partner to cancel and we would have gotten our money back. However, as a result we lost over $400 AUD in money. I absolutely DO NOT recommend flying with Qatar Airways to any Australian. When things go wrong, as they often do (just have a read online of all the complaints) they have the worst customer service I have ever witnessed in my life. I am scarred by this experience and hope that once I am back in Melbourne I never have to fly with Qatar Airways ever again. I think that Qatar Airways should be absolutely ashamed of the service, stress and trauma you have caused me. So please, save yourself the stress – Fly Etihad or Emirates, DO NOT FLY WITH QATAR!",No,3,3,1,3,3
2,"October 17, 2017",10/10,Economy Class,Flight from QATAR to MEDINAH was very great…………..the only thing was that while going to Medinah there was no IFE.,Yes,4,5,5,5,5
3,"October 4, 2017",10/10,Economy Class,"Flew Economy NZ to Dublin through Doha. Asked at Doha airport for an upgrade on return flight and got it. In respect to ground/cabin crew first class treatment at all times. Liquids/food seemed to flow endlessly on this longest haul flights, the food was all yummy. In flight entertainment was awesome I was able to watch all of the Big, Little Eyes series. My partner and I requested emergency exit seats on all flights, we secured these and were not charged extra. We paid for access to business lounge at Doha and had an awesome shower. Highly recommend this airline and will fly with them again next year.",Yes,5,5,5,5,5
4,"September 30, 2017",1/10,Economy Class,"Our flight from Sydney to Madrid was delayed by 9 hours. We were not informed until we arrived to check in. Stood in line for 3 hours only to be turned away. No explanation or apology. Just a complete absence of any communication. Returned 9 hours later at 3:30am, stood in check-in line for another 2 hours. Had to spend $480 on taxi fares. Arrived in Doha, delay meant we missed our connecting flight so we had to spend a day in Qatar. Waited in line for another hour while accommodation was arranged (couldn’t this have been done while we were in the air? Didn’t they know this would need to be organised?) Qatar put us up in the Best Western. This hotel at $60AUD per night is nightmarish slum. Told by guards not to leave the hotel. Finally arrive in Madrid 52 hours after leaving Sydney. I wanted my expenses to be reimbursed ie. Taxi fares and missed hotel accommodation in Madrid. Called Qatar’s customer help line. On hold for 40 minutes then hung up on. Twice. I’ve tried emailing too. Nope. No reply.",No,1,4,1,5,5
5,"August 16, 2017",3/10,Economy,"Absolutely appalling customer care and refusal to compensate!! Qatar Airways used to be a great airline with exemplary standards and customer service, my last few experiences have not reflected this. The latest debacle involved the airline cancelling our flight only 9 days before departure. When trying to claim compensation as is my ‘guaranteed’ right by law under EU Regulation EC 261/2004, the customer care officer, Nabeel simply refused. I am needless to say never going to use this airline again and taking them to the Civil Aviation Authority to acquire my compensation!",No,1,3,2,0,0
6,"August 16, 2017",1/10,Economy,"This is my first time booking with Qatar Airways & it will be my last. I have yet to board my flight but have already endured multiple frustrations. Less than a month before my flight I logged onto my booking to reserve my seat. However, to my surprise there was a notice saying my flight had been changed – to a different day. I understand that times can change however I did not receive one email or notification that my flight had been switched. If I hadn’t randomly checked my booking I would’ve missed my flight entirely. I have emailed customer service multiple times regarding this saying that I will not be in the departure city on the new departure day and will need alternative options. All I received was an apology and a statement telling me to contact my local customer support. I have called my local branch five times of which I have been put on hold for over 20 mins each time.  I have sent more emails to customer service and still waiting on a reply. It has gotten to the point where I am leaving in 2 weeks and had to adjust all my other plans resulting in high costs. Qatar Airways is terrible in terms of communication with their customers.",No,1,0,0,0,0
7,"August 16, 2017",9/10,Economy,Comparing other flights(etihad and emirates) Qatar airlines doing better job than any other airlines. The beauty of this flight  is “on time” and also passenger can select their seat when they book this flight. I really like this flight.,Yes,4,4,4,4,4
8,"August 16, 2017",3/10,Economy,"they have lied to us, every Qatar airlines office have their own rules, everyone gives a different story, we ended up losing 32 hours of time which was filled with stress and fear,  I am writing this review, at the same time I am afraid they will do some harm to us in the future",No,2,3,1,3,3
9,"August 16, 2017",1/10,Economy,"After 7 hours of flight and an hour of delay, with Qatar Airways, they informed the customers that connection flight was over booked and that they had to wait 5 hours until the next flight. So the total time of flying and waiting until their final destination would be 18 hours! Considering also that the next flight was 3000 Kms!",No,1,3,2,3,3
