,word_auto,freq_auto
0,dynamic,1
1,facilities,4
2,captain,1
3,saved,1
4,assembled,1
5,increase,6
6,swag,1
7,bike,7
8,lord,1
9,worth,1
10,plants,3
11,cavaliers,1
12,handling,1
13,every,4
14,wagons,4
15,commack,2
16,alpine,2
17,prize,7
18,companies,1
19,piling,2
20,red,8
21,enhance,1
22,heading,1
23,clothes,1
24,carfax,7
25,corvette,7
26,insult,1
27,second,1
28,street,3
29,even,11
30,hate,4
31,revolves,15
32,children,2
33,new,53
34,ever,11
35,told,4
36,zach,5
37,reported,2
38,mex,3
39,kids,6
40,daughter,2
41,study,7
42,proportioned,2
43,reports,4
44,credit,1
45,analysts,2
46,chrysler,25
47,changes,2
48,secure,1
49,brought,2
50,txt,7
51,would,10
52,sustaniability,7
53,dprk,1
54,music,7
55,indiana,2
56,type,1
57,los,8
58,brings,7
59,phone,1
60,teaching,3
61,hold,1
62,must,2
63,springer,1
64,word,1
65,rights,8
66,work,7
67,camry,1
68,estate,1
69,give,2
70,repor,1
71,uaw,1
72,honey,1
73,want,5
74,keep,4
75,end,4
76,hot,7
77,interview,2
78,charging,7
79,believers,1
80,earlier,2
81,imaginable,1
82,wrong,3
83,lay,2
84,president,2
85,law,2
86,royce,15
87,danny,10
88,third,2
89,strt,1
90,toluca,2
91,keeps,1
92,operate,1
93,wind,7
94,operations,1
95,salon,8
96,innovative,1
97,japan,7
98,hauppauge,2
99,bombing,7
100,somewhere,2
101,bringing,1
102,fix,8
103,cla,19
104,better,3
105,production,31
106,hidden,2
107,prius,1
108,cls,2
109,vandalize,6
110,aston,7
111,offroad,1
112,break,1
113,debut,3
114,arrested,8
115,detroit,7
116,feeds,15
117,side,1
118,mean,1
119,series,8
120,crimes,2
121,carry,1
122,milan,1
123,used,20
124,whining,1
125,haired,1
126,diesel,7
127,medicine,2
128,got,3
129,venezuela,1
130,turning,1
131,written,2
132,threatened,1
133,little,12
134,free,8
135,management,1
136,cheers,7
137,grapes,1
138,starts,1
139,machining,13
140,onto,2
141,speeds,1
142,already,6
143,encouraging,2
144,another,7
145,kia,1
146,leaders,1
147,service,1
148,heights,2
149,needed,2
150,tom,2
151,hemijohn,1
152,urban,1
153,took,3
154,somewhat,1
155,target,2
156,aztek,1
157,matter,2
158,guilt,7
159,speaking,2
160,ran,1
161,boston,33
162,torque,8
163,talking,3
164,tells,3
165,relatively,1
166,forced,3
167,wholesome,3
168,sound,1
169,luxury,6
170,forces,2
171,belvidere,1
172,blue,5
173,though,4
174,automaker,3
175,regular,2
176,antitrust,7
177,walkaround,16
178,points,3
179,voting,1
180,came,1
181,saying,2
182,queeg,1
183,retire,14
184,prix,5
185,availability,1
186,fisheye,1
187,unleashes,7
188,adequate,1
189,honda,1
190,stop,9
191,degradation,2
192,boxster,1
193,despite,2
194,runs,7
195,avenger,1
196,unlatch,2
197,covering,1
198,spokesperson,2
199,bag,4
200,bad,1
201,shots,5
202,woodies,1
203,release,4
204,tespect,1
205,automatic,2
206,decided,1
207,best,11
208,said,11
209,capacity,8
210,lots,1
211,away,4
212,afloat,1
213,wikipedia,1
214,mug,1
215,preserve,1
216,terms,8
217,ignorance,1
218,boss,10
219,cut,1
220,namba,8
221,dedication,1
222,news,5
223,convertible,10
224,debt,3
225,improve,1
226,received,4
227,accident,2
228,country,1
229,ill,2
230,swoopy,2
231,stuttgart,2
232,planned,6
233,com,8
234,appeared,8
235,jayp,1
236,three,6
237,quickly,2
238,much,3
239,expected,1
240,duties,1
241,life,4
242,families,1
243,child,2
244,spin,1
245,air,1
246,ugly,4
247,near,8
248,ugliest,1
249,balance,1
250,brake,25
251,damaged,2
252,pathfinder,14
253,things,2
254,make,1
255,jerry,1
256,translogic,7
257,complex,3
258,several,2
259,showing,2
260,omar,1
261,wheel,1
262,pontiac,1
263,workforce,2
264,kit,1
265,kim,3
266,nip,15
267,opportunity,2
268,cycle,5
269,kept,1
270,materials,3
271,monaco,6
272,investments,1
273,joon,1
274,opinions,1
275,solarwatt,7
276,sentence,2
277,identify,2
278,thanks,1
279,yes,1
280,yet,1
281,unique,1
282,hills,8
283,character,8
284,board,3
285,easy,2
286,har,1
287,save,1
288,hat,1
289,gave,2
290,possible,3
291,arab,1
292,designers,1
293,hatchback,8
294,apart,1
295,hunt,2
296,peeves,1
297,security,1
298,right,9
299,old,26
300,deal,8
301,people,13
302,begin,3
303,dead,3
304,captive,1
305,total,2
306,tracked,15
307,comments,9
308,cnn,1
309,stingray,7
310,core,1
311,deleted,1
312,marketing,3
313,illustration,1
314,mediocrity,1
315,post,2
316,manufacturing,5
317,automatically,1
318,ahn,1
319,obscene,1
320,son,2
321,entrepreneur,3
322,carabobo,1
323,communists,1
324,support,9
325,choosecontrol,4
326,class,18
327,joseph,1
328,way,2
329,call,8
330,war,1
331,head,3
332,amateur,3
333,offering,2
334,forming,2
335,forever,1
336,ford,9
337,true,3
338,inside,2
339,attached,2
340,maximum,8
341,devices,3
342,tell,1
343,camaro,8
344,smashed,2
345,passenger,3
346,proud,1
347,liberal,3
348,classic,7
349,proven,1
350,proves,1
351,pentastar,1
352,marxist,1
353,role,1
354,tie,1
355,krison,1
356,brothers,12
357,models,2
358,update,14
359,taurus,7
360,miranda,1
361,weekend,7
362,jacked,1
363,younger,2
364,shootout,3
365,faster,1
366,glass,1
367,santorum,1
368,together,2
369,time,6
370,others,1
371,neighbors,2
372,concept,40
373,managed,1
374,themed,7
375,activated,1
376,eldest,2
377,llc,2
378,mill,1
379,certainly,4
380,suicide,7
381,producing,1
382,laferrari,7
383,compensate,3
384,marks,2
385,henderson,2
386,trouble,1
387,cool,1
388,twinfun,9
389,level,2
390,turns,4
391,dig,1
392,posts,2
393,brother,8
394,leave,3
395,team,2
396,quick,3
397,guy,3
398,round,1
399,democrats,1
400,prevent,1
401,talked,2
402,says,11
403,trend,7
404,measurable,1
405,takeoff,7
406,cargo,2
407,endangering,2
408,constitution,1
409,current,1
410,suspect,1
411,vandalized,7
412,reply,12
413,enthusiast,8
414,ramming,7
415,muslim,3
416,water,7
417,alone,4
418,along,5
419,roaring,3
420,appears,1
421,change,2
422,wait,2
423,boy,7
424,vibrating,1
425,detonate,2
426,boo,2
427,nylon,1
428,teenage,4
429,extra,2
430,merely,1
431,ethiopian,7
432,market,8
433,indicated,2
434,working,1
435,terego,1
436,live,4
437,iphone,1
438,today,2
439,teased,1
440,leeches,1
441,teaser,2
442,teases,6
443,rigid,1
444,rssfeed,7
445,tokyo,8
446,car,44
447,originally,9
448,overloaded,5
449,garberding,1
450,sour,2
451,values,1
452,cam,1
453,growing,1
454,woefully,1
455,heart,1
456,awesome,1
457,lordy,1
458,topic,1
459,heard,2
460,unveiled,3
461,counting,1
462,requirements,1
463,bankrupt,2
464,rubio,1
465,economy,1
466,map,2
467,product,1
468,mar,8
469,escalate,3
470,clone,1
471,aol,17
472,southern,2
473,islamic,2
474,produce,1
475,designed,3
476,revealed,7
477,grow,1
478,man,1
479,supersonic,7
480,joint,2
481,maybe,2
482,truck,9
483,tall,7
484,typical,2
485,tagged,2
486,wishing,1
487,years,15
488,ended,1
489,coli,7
490,cold,1
491,still,3
492,group,7
493,gti,7
494,amazing,8
495,offers,7
496,mail,1
497,views,3
498,answer,1
499,transmissions,4
500,nov,8
501,wagon,8
502,term,6
503,name,3
504,corolla,1
505,establishing,1
506,entirely,2
507,quarter,2
508,fired,2
509,yeah,1
510,happen,1
511,intended,1
512,living,1
513,profit,1
514,tensions,3
515,factory,3
516,looking,1
517,seriously,1
518,formula,9
519,receiving,3
520,shows,8
521,monster,1
522,cars,29
523,million,25
524,possibility,3
525,quite,2
526,org,1
527,card,1
528,care,1
529,programming,1
530,chevy,9
531,thing,16
532,gordon,2
533,sho,7
534,think,7
535,waited,1
536,first,14
537,fleeing,6
538,one,17
539,reopen,2
540,americans,1
541,long,8
542,directly,2
543,vote,4
544,sounds,4
545,drove,2
546,open,3
547,ont,1
548,city,6
549,given,3
550,wrath,1
551,anyone,1
552,iat,1
553,white,1
554,bits,2
555,friend,5
556,alan,3
557,cops,1
558,ridiculous,1
559,specify,1
560,future,4
561,mated,2
562,topics,8
563,argument,1
564,crossover,1
565,say,5
566,foiled,2
567,horsepower,8
568,harley,1
569,saw,5
570,windsor,1
571,marathon,7
572,sat,1
573,nots,1
574,efficient,2
575,equipment,1
576,potential,1
577,take,2
578,performance,11
579,ironically,1
580,sure,4
581,multiple,2
582,track,12
583,price,7
584,paid,2
585,falls,2
586,america,3
587,cuban,7
