,word_finance,freq_finance
0,limited,1
1,saver,1
2,yellow,1
3,four,1
4,increase,17
5,chinese,8
6,aug,1
7,eligible,2
8,poorest,1
9,worth,5
10,risk,15
11,rise,8
12,jack,4
13,vast,1
14,school,1
15,venue,1
16,ups,1
17,bernanke,3
18,pubic,2
19,second,4
20,street,9
21,even,5
22,redistributed,2
23,discus,2
24,pace,2
25,contributed,2
26,asia,1
27,spokesman,2
28,new,38
29,net,5
30,increasing,2
31,officially,1
32,told,3
33,deemed,1
34,herb,1
35,men,8
36,richest,1
37,reported,3
38,protection,1
39,china,17
40,dorm,1
41,balance,1
42,taper,3
43,auction,1
44,study,2
45,controversy,5
46,credit,4
47,launched,1
48,andreessen,13
49,wyattresearch,2
50,yamada,2
51,mobility,4
52,highly,2
53,brought,4
54,txt,9
55,unit,8
56,would,13
57,browse,1
58,hospital,3
59,motivate,2
60,chooses,1
61,call,4
62,asset,2
63,type,1
64,tell,1
65,posting,1
66,brings,1
67,yahoo,22
68,hurt,1
69,phone,5
70,effect,4
71,must,6
72,locked,1
73,room,3
74,cheapest,2
75,work,4
76,plunged,4
77,refusing,1
78,era,2
79,example,1
80,yge,4
81,give,1
82,early,5
83,currency,4
84,want,23
85,absolute,1
86,sideline,2
87,end,8
88,recovery,4
89,turn,5
90,feature,8
91,hot,7
92,yum,9
93,ordinary,2
94,crowding,1
95,earlier,3
96,destined,1
97,president,2
98,purchase,6
99,third,9
100,amid,1
101,jakab,1
102,green,4
103,capitalist,2
104,enter,4
105,oaxley,1
106,triggering,2
107,restriction,2
108,vary,3
109,kickoff,1
110,london,2
111,japan,8
112,fit,4
113,personal,3
114,soaking,4
115,revenue,18
116,better,2
117,versus,4
118,ftse,1
119,flotation,1
120,silver,1
121,bank,15
122,debut,7
123,detroit,2
124,neuroscientist,1
125,went,7
126,side,3
127,mean,5
128,lifted,1
129,financial,6
130,lumosity,1
131,series,3
132,trading,33
133,awry,2
134,network,22
135,driving,1
136,medicine,1
137,got,3
138,strategist,5
139,perception,1
140,little,11
141,free,2
142,standard,1
143,struggle,4
144,estimate,3
145,wanted,1
146,district,2
147,heading,1
148,silicon,1
149,signature,1
150,purpose,4
151,already,2
152,encouraging,6
153,djia,2
154,another,8
155,ditch,1
156,rewritten,2
157,service,3
158,top,1
159,bitcoin,8
160,listed,2
161,bouncing,1
162,tool,1
163,took,1
164,distance,2
165,target,8
166,frankly,1
167,likely,13
168,project,4
169,silly,4
170,brilliant,1
171,rattle,1
172,seem,3
173,regulate,1
174,forced,1
175,strength,3
176,climate,9
177,oriented,1
178,overallotment,1
179,luxury,4
180,blue,1
181,though,2
182,looming,9
183,extending,1
184,involving,1
185,letter,4
186,entry,1
187,tech,17
188,consumer,12
189,came,1
190,reserve,3
191,saying,1
192,retire,1
193,radio,1
194,pick,5
195,busy,1
196,louise,1
197,theme,1
198,rich,3
199,announce,1
200,borrowed,2
201,asbestos,1
202,watch,2
203,amazon,7
204,despite,1
205,report,19
206,covering,1
207,twice,1
208,bad,5
209,release,6
210,reference,2
211,analytics,1
212,decided,3
213,result,2
214,best,18
215,subject,5
216,said,32
217,capacity,5
218,away,1
219,hopefully,1
220,ira,1
221,approach,1
222,never,1
223,however,2
224,boss,1
225,harvard,1
226,news,13
227,essentially,1
228,accident,1
229,prudential,1
230,country,5
231,ncaa,18
232,pitt,3
233,gotten,1
234,com,27
235,asked,1
236,groupon,1
237,initiative,2
238,trust,3
239,barack,1
240,source,5
241,union,10
242,rebounded,1
243,sachs,1
244,confident,5
245,much,9
246,interest,2
247,expected,4
248,correction,18
249,lockup,1
250,eastern,2
251,worker,5
252,commerce,4
253,publicly,1
254,originate,1
255,property,2
256,procedure,3
257,seven,3
258,brewer,4
259,dumped,1
260,player,2
261,stratasys,2
262,seattle,2
263,disappear,2
264,hong,12
265,make,2
266,complex,1
267,potentially,1
268,several,1
269,grows,2
270,european,3
271,independent,1
272,published,2
273,jks,2
274,renaissance,1
275,opportunity,5
276,shortly,1
277,charlie,4
278,tiered,2
279,pandora,1
280,corporate,3
281,spencer,1
282,spurred,1
283,photo,2
284,sequestration,1
285,hangover,1
286,human,1
287,previous,3
288,adding,1
289,ipdn,2
290,fared,5
291,glencore,13
292,preparer,1
293,spread,1
294,board,5
295,save,1
296,cramer,3
297,possibly,1
298,zynga,2
299,judge,4
300,tapering,3
301,officer,4
302,night,2
303,security,1
304,soar,1
305,www,5
306,right,12
307,deal,10
308,sungard,1
309,sends,2
310,total,1
311,tracked,1
312,bottom,1
313,corp,5
314,peer,1
315,post,2
316,manufacturing,7
317,super,24
318,banker,2
319,horizon,1
320,slightly,1
321,hotly,5
322,raised,2
323,float,2
324,intellectual,4
325,negative,9
326,sedan,8
327,reducing,1
328,support,5
329,people,8
330,sovereign,1
331,class,16
332,way,4
333,war,1
334,faring,1
335,form,3
336,offer,20
337,becoming,1
338,paypal,1
339,jive,1
340,heat,4
341,solar,12
342,true,5
343,analyst,10
344,bargain,1
345,economic,1
346,unusually,1
347,hotter,2
348,yoshikami,3
349,proven,1
350,sale,15
351,soothe,1
352,chuckling,1
353,floor,1
354,stake,2
355,generally,4
356,ortutay,1
357,flood,1
358,interested,1
359,holding,9
360,capstone,1
361,test,1
362,hoffman,1
363,surprise,3
364,supercycle,1
365,fell,2
366,invested,6
367,billion,32
368,scharf,8
369,longer,1
370,assume,1
371,together,3
372,filing,3
373,time,19
374,push,4
375,chain,3
376,focus,5
377,underwriter,3
378,manager,1
379,llc,2
380,certainly,5
381,obamacare,7
382,countdown,1
383,finally,1
384,greylock,1
385,suffered,1
386,adviser,1
387,billionaire,1
388,gravitate,1
389,advised,1
390,word,1
391,minute,1
392,rusal,1
393,inauspicious,2
394,team,27
395,prevent,1
396,revolution,2
397,slower,1
398,heins,1
399,sign,12
400,slowed,2
401,cost,7
402,run,6
403,appear,1
404,superprize,1
405,disease,1
406,current,2
407,suspect,1
408,falling,2
409,angelina,3
410,wearhouse,8
411,address,1
412,along,1
413,appears,1
414,wait,1
415,precursor,1
416,shift,1
417,ipo,80
418,crisis,5
419,market,52
420,wealth,4
421,working,1
422,visit,1
423,insider,7
424,prosecutor,2
425,introducing,1
426,effort,8
427,valued,1
428,tokyo,4
429,car,10
430,shutterstock,8
431,flu,10
432,flagship,4
433,growing,4
434,making,4
435,jinkosolar,10
436,heart,1
437,trump,4
438,downfall,1
439,december,9
440,topic,1
441,dropped,1
442,fourth,8
443,economy,18
444,product,2
445,information,4
446,may,20
447,fed,3
448,crashed,1
449,mac,2
450,mae,2
451,mad,3
452,date,1
453,data,9
454,commodity,3
455,maybe,1
456,progressively,1
457,talk,1
458,disclosure,1
459,colt,4
460,mainly,1
461,kong,12
462,course,2
463,shake,1
464,equip,4
465,still,13
466,cola,4
467,group,16
468,marketrealist,2
469,interesting,6
470,jim,3
471,window,5
472,artisan,1
473,farmer,4
474,policy,4
475,happened,1
476,finance,41
477,thereby,1
478,nation,1
479,countrywide,2
480,qualified,1
481,nov,3
482,term,3
483,realist,2
484,january,7
485,drop,2
486,maher,2
487,quarter,15
488,year,30
489,obsession,1
490,minority,1
491,canada,2
492,living,6
493,ultimately,1
494,profit,3
495,twtr,1
496,factory,4
497,looking,3
498,contained,2
499,internet,5
500,theory,1
501,hairdresser,1
502,million,51
503,quite,2
504,zuckerberg,3
505,cut,4
506,card,4
507,care,2
508,advance,1
509,training,2
510,thing,6
511,place,3
512,think,7
513,first,28
514,initial,7
515,saving,3
516,striking,2
517,sarbanes,1
518,one,7
519,soaring,1
520,long,9
521,open,2
522,size,2
523,city,1
524,given,1
525,enbridge,5
526,anyone,6
527,sstk,1
528,speaking,1
529,mining,1
530,allegedly,1
531,broadcast,2
532,released,5
533,representing,1
534,appreciated,1
535,population,1
536,barrington,3
537,depressed,4
538,future,8
539,venture,5
540,san,1
541,sam,1
542,pro,3
543,say,13
544,medium,4
545,saw,1
546,convergex,4
547,offering,35
548,note,1
549,intends,1
550,potential,2
551,horowitz,1
552,take,4
553,online,9
554,performance,1
555,wonder,6
556,urge,3
557,sure,3
558,pain,1
559,track,1
560,price,48
561,paid,1
562,america,4
563,forever,1
564,failure,4
565,average,6
566,later,1
567,hungry,1
568,professional,12
569,senior,1
570,liquidity,1
571,eamon,4
572,regulated,1
573,show,20
574,fend,1
575,written,2
576,going,9
577,get,9
578,hailed,2
579,nearly,9
580,lighter,1
581,hedge,1
582,secondary,9
583,resource,2
584,aluminum,1
585,median,2
586,borrow,2
587,morning,7
588,predicted,2
589,multimillionaires,1
590,marred,1
591,discussing,4
592,maximum,3
593,relative,2
594,college,23
595,eliminating,2
596,surgery,7
597,sport,2
598,concern,2
599,voluntary,1
600,mortgage,3
601,federal,5
602,review,11
603,forecast,1
604,behind,4
605,affecting,1
606,august,3
607,comp,1
608,come,8
609,many,6
610,trader,16
611,according,6
612,tour,4
613,traded,4
614,among,2
615,color,1
616,robotics,4
617,period,6
618,football,22
619,learning,1
620,considering,1
621,unusual,1
622,marc,3
623,mounting,1
624,mark,2
625,combined,3
626,dolly,4
627,engine,1
628,educated,1
629,offered,1
630,careful,1
631,former,1
632,paying,4
633,developing,1
634,cash,3
635,steinberg,6
636,coffee,1
637,hysterectomy,1
638,technology,2
639,worry,1
640,develop,1
641,doctor,2
642,pay,4
643,locking,1
644,html,10
645,stepped,1
646,unionize,9
647,breakdown,1
648,oil,9
649,running,1
650,fruit,1
651,changing,2
652,anticipated,9
653,quartz,2
654,relies,1
655,roughly,2
656,without,2
657,termination,1
658,model,4
659,bumping,1
660,money,12
661,krosby,1
662,rest,1
663,kill,4
664,touch,4
665,blow,1
666,death,2
667,tim,1
668,thinking,1
669,rose,4
670,lender,1
671,formative,1
672,treatment,1
673,momentum,5
674,scheduled,2
675,around,4
676,read,6
677,dark,1
678,inflation,5
679,grid,1
680,seahawks,9
681,world,22
682,reap,1
683,benefit,5
684,blackberry,1
685,output,4
686,twelve,1
687,competition,1
688,gross,4
689,noon,2
690,legal,1
691,provides,5
692,provider,1
693,freed,1
694,felt,2
695,power,4
696,broker,4
697,exciting,1
698,manufacturer,1
699,conducting,1
700,industry,5
701,favorite,2
702,medicare,5
703,stand,1
704,malfunction,1
705,image,1
706,determine,1
707,strip,1
708,log,4
709,paywall,4
710,start,4
711,low,16
712,lot,7
713,hamadeh,3
714,vrts,2
715,bubble,1
716,waze,1
717,enough,1
718,reduce,2
719,trying,2
720,october,4
721,unveils,1
722,strongly,1
723,gone,3
724,cnbc,18
725,taste,1
726,certain,1
727,general,3
728,daily,2
729,file,4
730,allocating,1
731,event,4
732,gaining,4
733,congress,2
734,includes,1
735,important,1
736,peak,1
737,coverage,2
738,included,2
739,fiscal,1
740,invest,1
741,curve,1
742,repay,1
743,mass,1
744,overseas,1
745,starting,1
746,represent,3
747,forget,4
748,founder,12
749,caused,1
750,dollar,5
751,month,11
752,surgical,9
753,settlement,1
754,thursday,17
755,program,3
756,case,3
757,premium,7
758,worse,1
759,sitting,2
760,far,3
761,ouch,1
762,decide,1
763,fall,4
764,sony,1
765,wsj,1
766,list,3
767,large,2
768,saudi,1
769,small,1
770,sank,1
771,ten,2
772,clinch,1
773,nearing,1
774,past,4
775,rate,21
776,perspective,1
777,nbc,1
778,investment,10
779,returned,2
780,pinterest,1
781,investing,6
782,suv,3
783,version,1
784,public,48
785,movement,1
786,turmoil,1
787,full,2
788,leaping,1
789,operating,2
790,november,2
791,strong,8
792,backlash,1
793,publisher,1
794,search,4
795,antagonizing,1
796,ahead,3
797,brutal,1
798,prior,2
799,amount,2
800,healthier,4
801,advertising,1
802,rory,1
803,social,7
804,provable,1
805,myra,1
806,trainer,1
807,via,1
808,glitch,1
809,href,3
810,marketo,3
811,destination,3
812,two,13
813,governance,1
814,taken,1
815,injury,2
816,flat,2
817,israel,1
818,company,79
819,known,4
820,weighed,1
821,midstream,2
822,nine,1
823,morgan,4
824,ilumina,3
825,dec,2
826,reaps,2
827,history,2
828,compare,4
829,share,92
830,sharp,1
831,huge,2
832,court,2
833,drained,1
834,hugo,1
835,earnings,9
836,explains,5
837,nrgm,2
838,alibaba,16
839,coming,5
840,response,1
841,short,7
842,anytime,2
843,fundamental,2
844,mkto,2
845,shork,6
846,help,2
847,leigh,2
848,september,2
849,bowl,20
850,soon,3
851,trade,2
852,held,4
853,paper,1
854,surgeon,1
855,developer,2
856,discloses,1
857,rapidly,1
858,botched,1
859,actually,1
860,late,1
861,pch,2
862,ruining,1
863,stephen,3
864,might,2
865,fool,1
866,good,8
867,return,5
868,ceo,28
869,bought,4
870,waged,1
871,reminder,1
872,bigger,9
873,loosely,1
874,mastercard,9
875,heavy,1
876,week,11
877,harm,1
878,everyone,1
879,house,1
880,energy,8
881,hard,2
882,positioned,4
883,idea,1
884,slowdown,1
885,expect,2
886,beyond,1
887,insurance,10
888,really,1
889,quincy,1
890,since,25
891,research,4
892,health,4
893,issue,1
894,wisconsin,2
895,belief,1
896,risen,1
897,friday,3
898,backer,3
899,nationally,2
900,reason,2
901,put,5
902,earliest,1
903,terrible,3
904,american,3
905,threat,3
906,disincentive,1
907,fallen,2
908,major,5
909,number,5
910,fancy,1
911,done,1
912,wager,1
913,story,1
914,leading,2
915,least,4
916,regulation,7
917,jed,2
918,entrepreneur,2
919,store,2
920,fumble,18
921,selling,19
922,option,2
923,inergy,2
924,hotel,9
925,part,9
926,focusing,1
927,believe,1
928,obama,3
929,kind,1
930,grew,8
931,double,2
932,marriage,2
933,toward,1
934,heaviest,1
935,juice,1
936,liedtke,1
937,bhp,1
938,sell,20
939,relationship,2
940,depending,2
941,javers,4
942,also,12
943,chairman,1
944,play,1
945,added,5
946,hourly,2
