,word_finance,freq_finance
0,limited,1
1,saver,1
2,yellow,1
3,four,1
4,increase,17
5,chinese,8
6,aug,1
7,eligible,2
8,poorest,1
9,under,4
10,worth,5
11,risk,15
12,rise,8
13,jack,4
14,vast,1
15,school,1
16,venue,1
17,ups,1
18,bernanke,3
19,pubic,2
20,second,4
21,street,9
22,even,5
23,redistributed,2
24,discus,2
25,pace,2
26,contributed,2
27,asia,1
28,spokesman,2
29,new,38
30,net,5
31,increasing,2
32,officially,1
33,told,3
34,deemed,1
35,herb,1
36,men,8
37,richest,1
38,here,2
39,reported,3
40,protection,1
41,china,17
42,dorm,1
43,balance,1
44,taper,3
45,auction,1
46,study,2
47,controversy,5
48,credit,4
49,launched,1
50,andreessen,13
51,wyattresearch,2
52,yamada,2
53,mobility,4
54,highly,2
55,brought,4
56,txt,9
57,unit,8
58,would,13
59,browse,1
60,hospital,3
61,motivate,2
62,chooses,1
63,call,4
64,asset,2
65,type,1
66,until,3
67,posting,1
68,brings,1
69,yahoo,22
70,hurt,1
71,phone,5
72,must,6
73,locked,1
74,room,3
75,cheapest,2
76,work,4
77,plunged,4
78,refusing,1
79,era,2
80,example,1
81,yge,4
82,give,1
83,currency,4
84,want,23
85,absolute,1
86,sideline,2
87,end,8
88,recovery,4
89,thing,6
90,feature,8
91,how,15
92,hot,7
93,yum,9
94,ordinary,2
95,minority,1
96,after,15
97,destined,1
98,president,2
99,purchase,6
100,third,9
101,amid,1
102,jakab,1
103,green,4
104,capitalist,2
105,enter,4
106,oaxley,1
107,triggering,2
108,restriction,2
109,over,26
110,vary,3
111,kickoff,1
112,london,2
113,japan,8
114,before,14
115,fit,4
116,personal,3
117,soaking,4
118,revenue,18
119,better,2
120,versus,4
121,then,5
122,them,6
123,they,15
124,flotation,1
125,silver,1
126,bank,15
127,debut,7
128,detroit,2
129,neuroscientist,1
130,each,1
131,went,7
132,side,3
133,mean,5
134,lifted,1
135,financial,6
136,lumosity,1
137,series,3
138,trading,33
139,awry,2
140,network,22
141,driving,1
142,medicine,1
143,got,3
144,strategist,5
145,perception,1
146,little,11
147,free,2
148,standard,1
149,struggle,4
150,estimate,3
151,wanted,1
152,district,2
153,heading,1
154,silicon,1
155,isn,1
156,signature,1
157,purpose,4
158,already,2
159,encouraging,6
160,djia,2
161,another,8
162,wasn,1
163,ditch,1
164,rewritten,2
165,service,3
166,top,1
167,bitcoin,8
168,listed,2
169,bouncing,1
170,tool,1
171,took,1
172,distance,2
173,target,8
174,frankly,1
175,likely,13
176,project,4
177,silly,4
178,brilliant,1
179,rattle,1
180,seem,3
181,regulate,1
182,forced,1
183,strength,3
184,oriented,1
185,overallotment,1
186,luxury,4
187,blue,1
188,though,2
189,looming,9
190,extending,1
191,involving,1
192,letter,4
193,entry,1
194,don,7
195,tech,17
196,consumer,12
197,came,1
198,reserve,3
199,saying,1
200,retire,1
201,radio,1
202,busy,1
203,louise,1
204,appreciated,1
205,theme,1
206,rich,3
207,announce,1
208,borrowed,2
209,asbestos,1
210,watch,2
211,amazon,7
212,despite,1
213,report,19
214,covering,1
215,twice,1
216,bad,5
217,release,6
218,reference,2
219,analytics,1
220,decided,3
221,result,2
222,best,18
223,subject,5
224,said,32
225,capacity,5
226,away,1
227,hopefully,1
228,ira,1
229,approach,1
230,never,1
231,however,2
232,boss,1
233,harvard,1
234,news,13
235,ssys,2
236,accident,1
237,prudential,1
238,country,5
239,ncaa,18
240,pitt,3
241,against,3
242,gotten,1
243,com,27
244,asked,1
245,groupon,1
246,initiative,2
247,trust,3
248,barack,1
249,source,5
250,union,10
251,rebounded,1
252,sachs,1
253,been,23
254,confident,5
255,much,9
256,interest,2
257,expected,4
258,correction,18
259,lockup,1
260,eastern,2
261,worker,5
262,commerce,4
263,publicly,1
264,originate,1
265,property,2
266,procedure,3
267,seven,3
268,brewer,4
269,dumped,1
270,player,2
271,stratasys,2
272,seattle,2
273,disappear,2
274,hong,12
275,make,2
276,complex,1
277,potentially,1
278,several,1
279,grows,2
280,european,3
281,independent,1
282,published,2
283,jks,2
284,renaissance,1
285,dark,1
286,opportunity,5
287,shortly,1
288,charlie,4
289,tiered,2
290,pandora,1
291,the,456
292,corporate,3
293,spencer,1
294,spurred,1
295,just,10
296,photo,2
297,sungard,1
298,sequestration,1
299,hangover,1
300,human,1
301,previous,3
302,adding,1
303,ipdn,2
304,had,11
305,fared,5
306,glencore,13
307,preparer,1
308,spread,1
309,board,5
310,save,1
311,cramer,3
312,possibly,1
313,zynga,2
314,judge,4
315,tapering,3
316,officer,4
317,night,2
318,security,1
319,accuracy,1
320,www,5
321,right,12
322,deal,10
323,people,8
324,sends,2
325,total,1
326,tracked,1
327,for,104
328,bottom,1
329,corp,5
330,peer,1
331,post,2
332,manufacturing,7
333,super,24
334,banker,2
335,horizon,1
336,slightly,1
337,hotly,5
338,raised,2
339,float,2
340,intellectual,4
341,negative,9
342,down,12
343,sedan,8
344,reducing,1
345,support,5
346,initial,7
347,sovereign,1
348,class,16
349,way,4
350,war,1
351,faring,1
352,form,3
353,offer,20
354,becoming,1
355,paypal,1
356,jive,1
357,heat,4
358,solar,12
359,true,5
360,analyst,10
361,bargain,1
362,tell,1
363,economic,1
364,unusually,1
365,hotter,2
366,yoshikami,3
367,proven,1
368,sale,15
369,soothe,1
370,chuckling,1
371,floor,1
372,stake,2
373,generally,4
374,ortutay,1
375,tim,1
376,interested,1
377,holding,9
378,capstone,1
379,test,1
380,hoffman,1
381,surprise,3
382,why,13
383,supercycle,1
384,fell,2
385,invested,6
386,senior,1
387,billion,32
388,scharf,8
389,longer,1
390,assume,1
391,together,3
392,filing,3
393,time,19
394,push,4
395,chain,3
396,focus,5
397,underwriter,3
398,manager,1
399,llc,2
400,certainly,5
401,obamacare,7
402,countdown,1
403,finally,1
404,greylock,1
405,suffered,1
406,adviser,1
407,billionaire,1
408,gravitate,1
409,advised,1
410,word,1
411,minute,1
412,rusal,1
413,did,5
414,inauspicious,2
415,team,27
416,prevent,1
417,revolution,2
418,slower,1
419,heins,1
420,sign,12
421,slowed,2
422,cost,7
423,run,6
424,appear,1
425,superprize,1
426,disease,1
427,current,2
428,suspect,1
429,falling,2
430,angelina,3
431,morgan,4
432,address,1
433,along,1
434,appears,1
435,wait,1
436,precursor,1
437,cronut,2
438,hadn,1
439,ipo,80
440,crisis,5
441,market,52
442,wealth,4
443,working,1
444,visit,1
445,insider,7
446,prosecutor,2
447,introducing,1
448,effort,8
449,valued,1
450,tokyo,4
451,car,10
452,shutterstock,8
453,flu,10
454,flagship,4
455,can,18
456,growing,4
457,making,4
458,jinkosolar,10
459,social,7
460,heart,1
461,trump,4
462,downfall,1
463,expanding,5
464,topic,1
465,dropped,1
466,fourth,8
467,economy,18
468,product,2
469,information,4
470,may,20
471,fed,3
472,constraint,1
473,crashed,1
474,mac,2
475,mae,2
476,mad,3
477,date,1
478,such,6
479,data,9
480,commodity,3
481,maybe,1
482,progressively,1
483,talk,1
484,disclosure,1
485,colt,4
486,mainly,1
487,kong,12
488,course,2
489,shake,1
490,equip,4
491,still,13
492,cola,4
493,group,16
494,marketrealist,2
495,interesting,6
496,jim,3
497,window,5
498,artisan,1
499,farmer,4
500,policy,4
501,ours,1
502,happened,1
503,finance,41
504,thereby,1
505,nation,1
506,countrywide,2
507,qualified,1
508,not,17
509,nov,3
510,now,25
511,term,3
512,realist,2
513,january,7
514,drop,2
515,maher,2
516,quarter,15
517,year,30
518,obsession,1
519,crowding,1
520,canada,2
521,living,6
522,ultimately,1
523,profit,3
524,twtr,1
525,factory,4
526,looking,3
527,contained,2
528,internet,5
529,earlier,3
530,theory,1
531,hairdresser,1
532,million,51
533,quite,2
534,zuckerberg,3
535,cut,4
536,card,4
537,care,2
538,advance,1
539,training,2
540,marred,1
541,where,6
542,turn,5
543,place,3
544,think,7
545,first,28
546,saving,3
547,striking,2
548,sarbanes,1
549,one,7
550,soaring,1
551,long,9
552,open,2
553,size,2
554,city,1
555,given,1
556,enbridge,5
557,anyone,6
558,sstk,1
559,speaking,1
560,mining,1
561,allegedly,1
562,that,82
563,broadcast,2
564,released,5
565,representing,1
566,than,31
567,population,1
568,barrington,3
569,depressed,4
570,future,8
571,venture,5
572,were,13
573,and,149
574,san,1
575,sam,1
576,pro,3
577,say,13
578,medium,4
579,saw,1
580,any,6
581,convergex,4
582,offering,35
583,note,1
584,intends,1
585,potential,2
586,horowitz,1
587,take,4
588,online,9
589,performance,1
590,wonder,6
591,urge,3
592,sure,3
593,pain,1
594,track,1
595,price,48
596,paid,1
597,america,4
598,forever,1
599,failure,4
600,average,6
601,later,1
602,hungry,1
603,professional,12
604,effect,4
605,liquidity,1
606,eamon,4
607,regulated,1
608,show,20
609,fend,1
610,written,2
611,only,7
612,going,9
613,get,9
614,hailed,2
615,nearly,9
616,lighter,1
617,hedge,1
618,secondary,9
619,resource,2
620,aluminum,1
621,median,2
622,borrow,2
623,morning,7
624,predicted,2
625,multimillionaires,1
626,bought,4
627,discussing,4
628,maximum,3
629,relative,2
630,college,23
631,eliminating,2
632,surgery,7
633,sport,2
634,concern,2
635,voluntary,1
636,mortgage,3
637,federal,5
638,review,11
639,forecast,1
640,behind,4
641,between,1
642,affecting,1
643,august,3
644,comp,1
645,come,8
646,many,6
647,trader,16
648,according,6
649,tour,4
650,traded,4
651,among,2
652,color,1
653,robotics,4
654,period,6
655,football,22
656,learning,1
657,considering,1
658,unusual,1
659,marc,3
660,mounting,1
661,mark,2
662,combined,3
663,dolly,4
664,engine,1
665,educated,1
666,offered,1
667,evidence,4
668,former,1
669,those,9
670,paying,4
671,developing,1
672,these,7
673,cash,3
674,steinberg,6
675,ftse,1
676,hysterectomy,1
677,technology,2
678,worry,1
679,develop,1
680,doctor,2
681,pay,4
682,locking,1
683,same,3
684,html,10
685,reminder,1
686,unionize,9
687,breakdown,1
688,oil,9
689,running,1
690,fruit,1
691,changing,2
692,anticipated,9
693,quartz,2
694,relies,1
695,roughly,2
696,without,2
697,very,5
698,termination,1
699,model,4
700,bumping,1
701,being,19
702,when,13
703,krosby,1
704,rest,1
705,kill,4
706,touch,4
707,blow,1
708,death,2
709,flood,1
710,thinking,1
711,rose,4
712,lender,1
713,formative,1
714,treatment,1
715,momentum,5
716,scheduled,2
717,around,4
718,read,6
719,early,5
720,inflation,5
721,grid,1
722,seahawks,9
723,world,22
724,reap,1
725,benefit,5
726,blackberry,1
727,output,4
728,twelve,1
729,competition,1
730,provided,1
731,noon,2
732,legal,1
733,provides,5
734,provider,1
735,freed,1
736,felt,2
737,power,4
738,broker,4
739,exciting,1
740,manufacturer,1
741,conducting,1
742,industry,5
743,favorite,2
744,medicare,5
745,stand,1
746,malfunction,1
747,image,1
748,determine,1
749,strip,1
750,your,18
751,log,4
752,her,5
753,aren,2
754,there,20
755,paywall,4
756,start,4
757,low,16
758,lot,7
759,hamadeh,3
760,vrts,2
761,bubble,1
762,waze,1
763,enough,1
764,reduce,2
765,trying,2
766,with,53
767,october,4
768,unveils,1
769,strongly,1
770,gone,3
771,cnbc,18
772,money,12
773,taste,1
774,certain,1
775,general,3
776,daily,2
777,file,4
778,allocating,1
779,again,2
780,event,4
781,you,24
782,gaining,4
783,congress,2
784,includes,1
785,important,1
786,peak,1
787,coverage,2
788,included,2
789,building,7
790,invest,1
791,curve,1
792,repay,1
793,mass,1
794,overseas,1
795,starting,1
796,represent,3
797,all,12
798,forget,4
799,founder,12
800,caused,1
801,dollar,5
802,month,11
803,surgical,9
804,settlement,1
805,careful,1
806,thursday,17
807,program,3
808,case,3
809,premium,7
810,returned,2
811,sitting,2
812,far,3
813,ouch,1
814,decide,1
815,fall,4
816,sony,1
817,wsj,1
818,list,3
819,large,2
820,saudi,1
821,small,1
822,sank,1
823,ten,2
824,clinch,1
825,nearing,1
826,past,4
827,rate,21
828,perspective,1
829,nbc,1
830,further,6
831,investment,10
832,what,17
833,pinterest,1
834,investing,6
835,suv,3
836,version,1
837,public,48
838,movement,1
839,turmoil,1
840,full,2
841,leaping,1
842,operating,2
843,november,2
844,strong,8
845,backlash,1
846,publisher,1
847,search,4
848,antagonizing,1
849,ahead,3
850,brutal,1
851,prior,2
852,amount,2
853,healthier,4
854,advertising,1
855,rory,1
856,pick,5
857,provable,1
858,myra,1
859,trainer,1
860,via,1
861,glitch,1
862,href,3
863,marketo,3
864,destination,3
865,two,13
866,governance,1
867,taken,1
868,injury,2
869,more,39
870,flat,2
871,israel,1
872,company,79
873,fumble,18
874,known,4
875,weighed,1
876,midstream,2
877,nine,1
878,wearhouse,8
879,ilumina,3
880,dec,2
881,reaps,2
882,history,2
883,compare,4
884,share,92
885,sharp,1
886,huge,2
887,court,2
888,drained,1
889,hugo,1
890,earnings,9
891,explains,5
892,nrgm,2
893,alibaba,16
894,coming,5
895,response,1
896,short,7
897,anytime,2
898,fundamental,2
899,mkto,2
900,shork,6
901,help,2
902,leigh,2
903,september,2
904,bowl,20
905,soon,3
906,trade,2
907,held,4
908,paper,1
909,through,5
910,surgeon,1
911,developer,2
912,discloses,1
913,rapidly,1
914,botched,1
915,actually,1
916,late,1
917,pch,2
918,ruining,1
919,stephen,3
920,might,2
921,fool,1
922,good,8
923,return,5
924,ceo,28
925,waged,1
926,stepped,1
927,bigger,9
928,loosely,1
929,mastercard,9
930,heavy,1
931,week,11
932,harm,1
933,everyone,1
934,house,1
935,energy,8
936,hard,2
937,positioned,4
938,idea,1
939,slowdown,1
940,expect,2
941,beyond,1
942,insurance,10
943,really,1
944,quincy,1
945,since,25
946,research,4
947,health,4
948,issue,1
949,wisconsin,2
950,belief,1
951,risen,1
952,friday,3
953,backer,3
954,nationally,2
