status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
527750833927938_1520833674619644,"Softball Meeting Rescheduled:
There will be a meeting for any girl planning to play softball this spring on Wednesday, January 17th at 3:15 p.m. in the Little Theater at West Campus.  Plan on attending if able.",,status,,2018-01-12 09:57:17,0,1,1
527750833927938_1520177131351965,"The Softball meeting scheduled for today (Thursday, January 11, 2018) at West Campus has been cancelled.  This meeting will be rescheduled.",,status,,2018-01-11 14:11:09,0,0,1
527750833927938_1520132798023065,"CANCELLATION FOR TODAY: THURSDAY, JANUARY 11
JUNIOR SCHOLAR'S BOWL AT TOPEKA HIGH HAS BEEN CANCELLED DUE TO WEATHER",,status,,2018-01-11 12:53:07,1,2,0
527750833927938_1520132091356469,"Cancellation:
Varsity Scholar's Bowl at SE Saline at 2p.m. has been cancelled due to weather",,status,,2018-01-11 12:51:59,1,0,0
527750833927938_1519867664716245,USD 383 IS CLOSED TODAY. STAY WARM AND BE SAFE.  WE WILL SEE YOU TOMORROW.,,status,,2018-01-11 06:54:21,18,0,6
527750833927938_1519170731452605,,,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1519170631452615/?type=3,2018-01-10 10:12:11,5,0,3
527750833927938_1518231688213176,"There will be a softball meeting for those girls planning on playing this spring on Thursday, January 11th in the Little Theater at West Campus starting at 3:15 p.m.  Please plan on attending if able.",,status,,2018-01-09 09:32:59,1,2,3
527750833927938_1517575818278763,,,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1517575744945437/?type=3,2018-01-08 16:37:39,3,0,1
527750833927938_1513227438713601,"SAVE THE DATE;
MHS ELECTIVE FAIR -- MONDAY, FEBRUARY 12, 2018 @ MHSW
KEEP WATCHING FOR MORE INFORMATION",,status,,2018-01-04 12:15:22,2,0,2
527750833927938_1512123645490647,"MHS IS IN NEED OF PARENT VOLUNTEERS, IF INTERESTED CONTACT VANESSA HOPE  AT 587-2100 EXT. 8002.  THANK YOU.

Volunteer Possibilities (Please check all that apply):

_____Basketball Concessions
_____Library/Media Center
_____Project Graduation (Senior Parents Only)
_____Test Proctoring (May)
_____Vision/Hearing Screening
_____Prom (Junior Parents Only) (April)
_____After Prom (Senior Parents Only) (April)
_____Drama (Filing, typing, costumes, etc)
Teacher Appreciation Events (Sept, Feb, May):
_____Monetary Donation
_____Food/Beverage Donation
_____Hostess (P/T Conferences) 
_____Set-Up (P/T Conferences)
_____Clean-Up (P/T Conferences)",,status,,2018-01-03 10:24:15,0,0,0
527750833927938_1511459935557018,"Bell Schedule for January 4, 2018
1st hour: 7:40-8:32
2nd hour: 8:37 - 9:29
3rd hour: 9:34 - 10:27
4th hour: 10:32-11:24
5th hour: 11:29-12:56
6th hour: 1:01 - 1:53
7th hour: 1:58-2:50",,status,,2018-01-02 15:58:38,5,2,3
527750833927938_1511450155557996,"Thursday, January 4, 2018 first day back to school. Remember we will be on the 7th hour bell schedule.",,status,,2018-01-02 15:44:35,6,1,0
527750833927938_1499888380047507,Congratulations to Dedra Braxmeyer and Josie Hilgers for being Carlos O'Kelly's Teacher & Student of the month - December,,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1499887690047576/?type=3,2017-12-20 09:18:34,37,3,0
527750833927938_1499318956771116,"Anyone planning to go out for baseball this spring needs to stop by the Athletic Office at West and pick up a packet.  It contains conditioning information, which starts on January 8th.",,status,,2017-12-19 15:52:31,1,1,0
527750833927938_1495810420455303,"MHS Clothing Store will be open on Monday, December 18, 2017 ONLY from 7:45 - 8:15 a.m.",,status,,2017-12-15 14:18:09,0,0,0
527750833927938_1493750083994670,"5th Annual MHS Orchestraraganva Music and Magic Concert
December 13th and 14th @ 7:00 p.m.
MHS-West Campus- 2100 Poyntz - Rezac Auditorium
Featuring music from Trans-Siberian Orchestra, Manhattan Steamroller, 2 Cellos, The Piano Guys.",,status,,2017-12-13 10:45:26,8,1,5
527750833927938_1492856624084016,"Before you take off for your Winter Break, check the lost and found table at West Campus and the lost and found bins at East Campus.  You might find something that you lost.😃",,status,,2017-12-12 11:03:19,0,0,0
527750833927938_1492854754084203,"Thursday, December 14, 2017
Spanish Club will be having Study Celebration after school from 3:00 - 4:00 in Mrs. Clark's room E-118 at West Campus.  If you are a Spanish Club member or a student enrolled in a Spanish class, come enjoy some snacks, study for finals, and get extra help if you need it.",,status,,2017-12-12 11:01:12,1,0,0
527750833927938_1488509041185441,"Message from Mrs. Ball - Career Counselor at MHSW
If you are enrolled in an MATC General Education course for the spring semester, enrollment forms must be turned in to Mrs. Ball by FRIDAY, DECEMBER 15TH.  General Education courses include the following: Advanced Chemistry, College Algebra, English Comp 2, General Psychology, Intro to Sociology, and Public Speaking.  See Mrs. Ball for a form or if you have any questions.",,status,,2017-12-07 15:02:06,1,0,0
527750833927938_1487570891279256,"Seniors, December 15 is the deadline for your to submit senior portraits to Blue M yearbook.  Email your photo to mhsbluem@gmail.com or bring it to C107.  December 15 is also the deadline for Public Display of Affection ads.  You can get a form from C107 or from the main office or senior office.  And remember that January 1 the price of the 2018 Blue M yearbook increases to $78, so buy yours in the office now and save $5.",,status,,2017-12-06 15:07:53,0,1,0
