Date,TSLA_Close,DPS_Close,GOOGL_Close,F_Close,AMZN_Close,JACK_Close
2010-06-29,23.889999,37.790001,227.357361,9.88,108.610001,19.73
2010-06-30,23.83,37.389999,222.697693,10.08,109.260002,19.450001
2010-07-01,21.959999,37.439999,219.964966,10.57,110.959999,19.43
2010-07-02,19.200001,37.279999,218.4935,10.28,109.139999,19.190001
2010-07-06,16.110001,37.970001,218.25325,10.16,110.059998,18.49
2010-07-07,15.8,38.0,225.325333,10.59,113.43,18.879999
2010-07-08,17.459999,38.200001,228.508514,10.62,116.220001,19.040001
2010-07-09,17.4,38.540001,233.978973,10.85,117.260002,19.370001
2010-07-12,17.049999,38.580002,238.153152,11.1,119.510002,19.32
2010-07-13,18.139999,39.16,244.844849,11.66,123.650002,19.91
2010-07-14,19.84,39.25,245.915909,11.81,123.300003,19.889999
2010-07-15,19.889999,38.98,247.257263,11.86,122.059998,19.82
2010-07-16,20.639999,38.25,230.035034,11.34,118.489998,19.120001
2010-07-19,21.91,38.880001,233.323318,11.48,119.940002,19.120001
2010-07-20,20.299999,39.599998,241.036041,11.75,120.099998,19.299999
2010-07-21,20.219999,38.880001,238.988983,11.55,117.43,19.110001
2010-07-22,21.0,39.599998,242.647644,12.09,120.07,19.540001
2010-07-23,21.290001,39.82,245.275269,12.72,118.870003,19.780001
2010-07-26,20.950001,40.099998,244.729736,12.94,118.400002,20.51
2010-07-27,20.549999,39.700001,246.561554,13.03,117.129997,20.52
2010-07-28,20.719999,38.23,242.417419,12.91,117.129997,20.49
2010-07-29,20.35,37.119999,242.737732,12.97,116.860001,20.700001
2010-07-30,19.940001,37.549999,242.667664,12.77,117.889999,20.629999
2010-08-02,20.92,37.709999,245.450455,13.16,120.07,21.040001
2010-08-03,21.950001,37.630001,245.160156,12.91,122.419998,20.889999
2010-08-04,21.26,37.77,253.413406,13.11,127.580002,20.65
2010-08-05,20.450001,37.290001,254.304306,12.98,127.830002,19.360001
2010-08-06,19.59,36.869999,250.360367,13.04,128.320007,19.26
2010-08-09,19.6,36.73,252.927933,13.05,128.830002,19.860001
2010-08-10,19.030001,37.259998,252.107101,12.92,130.0,19.57
2010-08-11,17.9,36.849998,246.116119,12.41,125.889999,19.27
2010-08-12,17.6,36.990002,246.251251,12.27,126.559998,19.67
2010-08-13,18.32,36.84,243.418411,12.15,124.690002,19.25
2010-08-16,18.780001,36.82,243.03804,11.99,126.07,19.549999
2010-08-17,19.15,36.77,245.505508,12.16,128.860001,20.030001
2010-08-18,18.77,36.919998,241.316315,12.2,129.649994,20.370001
2010-08-19,18.790001,36.799999,234.219223,11.89,127.57,19.99
2010-08-20,19.1,36.759998,231.241241,11.77,127.760002,20.16
2010-08-23,20.129999,36.529999,232.267273,11.61,126.599998,19.92
2010-08-24,19.200001,36.900002,225.920914,11.24,124.529999,20.09
2010-08-25,19.9,37.220001,227.537537,11.32,126.849998,20.540001
2010-08-26,19.75,37.07,225.715714,11.17,124.860001,20.190001
2010-08-27,19.700001,37.380001,229.644638,11.56,126.639999,20.540001
2010-08-30,19.870001,37.0,226.571579,11.35,123.790001,20.25
2010-08-31,19.48,36.82,225.235229,11.29,124.830002,20.18
2010-09-01,20.450001,37.709999,230.395401,11.61,132.490005,21.09
2010-09-02,21.059999,38.049999,231.821823,11.71,135.210007,22.15
2010-09-03,21.049999,38.299999,235.385391,12.07,138.789993,21.790001
