"(0.14841269841269839, 0.5015873015873016)"
"(0.06385964912280702, 0.5629824561403508)"
"(0.26280701754385966, 0.5069298245614035)"
"(0.19282894736842107, 0.4563157894736841)"
"(0.16805555555555554, 0.3972222222222222)"
"(0.23970588235294119, 0.453921568627451)"
"(0.07187500000000001, 0.4583333333333333)"
"(-0.03666666666666666, 0.38333333333333325)"
"(0.10264249639249637, 0.6039682539682539)"
"(0.9, 1.0)"
"(0.23316326530612244, 0.558078231292517)"
"(-0.1890151515151515, 0.6223484848484849)"
"(0.5337820512820513, 0.7494230769230769)"
"(0.28802083333333334, 0.57625)"
"(0.1280033416875522, 0.4465664160401003)"
"(-0.0031250000000000028, 0.521875)"
"(-0.01008771929824561, 0.5797619047619047)"
"(0.13958333333333334, 0.4625)"
"(-0.15380434782608696, 0.4965579710144928)"
"(0.3153846153846154, 0.6602564102564101)"
"(0.21607142857142855, 0.5714285714285714)"
"(0.18166666666666667, 0.6035294117647059)"
"(0.37179487179487186, 0.5025641025641026)"
"(-0.05694444444444444, 0.5263888888888889)"
"(0.3074404761904762, 0.46428571428571436)"
"(0.0691468253968254, 0.5259920634920634)"
"(-0.1268253968253968, 0.4623015873015873)"
"(0.3073968253968254, 0.664)"
"(-0.25243589743589745, 0.4694871794871795)"
"(0.3728571428571429, 0.6506302521008402)"
"(0.30238095238095236, 0.40654761904761905)"
"(0.21944444444444444, 0.4659722222222223)"
"(0.05402777777777778, 0.6108641975308643)"
"(0.5750000000000001, 0.6125)"
"(0.49328571428571427, 0.7328571428571429)"
"(0.32896825396825397, 0.48359788359788364)"
"(-0.025490196078431372, 0.503921568627451)"
"(0.12135416666666665, 0.5276041666666667)"
"(0.315, 0.6000000000000001)"
"(0.026825396825396843, 0.6515873015873015)"
"(0.28541666666666665, 0.5895833333333335)"
"(0.3515625, 0.5375)"
"(0.3204166666666666, 0.5779166666666666)"
"(-0.04239718614718614, 0.41038961038961036)"
"(0.1840608465608466, 0.6328042328042329)"
"(0.24283333333333332, 0.7321666666666667)"
"(-0.01964285714285715, 0.43869047619047624)"
"(0.3885434173669468, 0.5458403361344538)"
"(0.16872637944066518, 0.5627928949357521)"
"(0.4477272727272728, 0.6242424242424243)"
"(0.2358730158730159, 0.46071428571428574)"
"(0.2652777777777778, 0.5840277777777779)"
"(0.2872767857142857, 0.5200892857142858)"
"(0.2141547049441786, 0.4094098883572568)"
"(0.30583333333333335, 0.6308333333333332)"
"(0.3647727272727273, 0.545596590909091)"
"(0.13273809523809527, 0.3994708994708995)"
"(0.12558229813664595, 0.5939268461007592)"
"(0.02812500000000001, 0.3677083333333333)"
"(-0.034556878306878314, 0.6225639329805995)"
"(0.24981060606060604, 0.5094696969696969)"
"(-0.5687500000000001, 0.6875)"
"(0.18382352941176472, 0.530392156862745)"
"(0.32549019607843144, 0.5544117647058824)"
"(0.2777777777777778, 0.7555555555555555)"
"(0.12436974789915964, 0.4049019607843136)"
"(0.3120833333333333, 0.6837962962962963)"
"(0.13295454545454544, 0.40151515151515155)"
"(-0.020833333333333336, 0.7209876543209877)"
"(0.20277777777777775, 0.4935978835978836)"
"(-0.11739417989417988, 0.7552248677248676)"
"(0.2611111111111111, 0.5)"
"(0.5166666666666666, 0.8564814814814815)"
"(0.12333959899749378, 0.5444862155388472)"
"(0.4756410256410256, 0.6653846153846155)"
"(0.1861607142857143, 0.5575396825396826)"
"(0.04940476190476192, 0.5986772486772488)"
"(0.045454545454545435, 0.40303030303030307)"
"(-0.4291666666666667, 0.8166666666666668)"
"(0.5166666666666667, 0.7066666666666667)"
"(-0.29791666666666666, 0.7604166666666666)"
"(-0.09666666666666666, 0.49458333333333326)"
"(0.21015873015873016, 0.5968253968253968)"
"(0.12407407407407407, 0.5)"
"(0.04172867063492063, 0.4906001984126984)"
"(0.016071428571428563, 0.575297619047619)"
"(0.1, 0.5298611111111111)"
"(0.38984126984126993, 0.7337460317460317)"
"(0.6023809523809524, 0.7321428571428571)"
"(-0.32222222222222224, 0.5944444444444444)"
"(-0.005555555555555554, 0.48333333333333334)"
"(0.3269421487603306, 0.5604132231404958)"
"(0.6666666666666666, 0.45)"
"(-0.06208513708513709, 0.5638167388167388)"
"(-0.1181811777965624, 0.5932375316990701)"
"(0.16136363636363635, 0.537878787878788)"
"(0.09333333333333335, 0.2833333333333333)"
"(-0.04166666666666667, 0.4083333333333333)"
"(0.23125, 0.4729166666666667)"
"(0.19787326388888893, 0.5638888888888889)"
"(-0.09881628787878788, 0.42888257575757577)"
"(0.30833333333333335, 0.5026785714285714)"
"(0.21904761904761905, 0.4994047619047619)"
"(0.059999999999999984, 0.66)"
"(0.24637445887445886, 0.5942099567099567)"
"(0.050067293817293794, 0.5347125097125097)"
