,word_neg,freq_neg
373,one,17
851,people,13
67,even,11
281,good,9
321,really,9
82,ever,8
329,acting,8
380,little,8
729,make,8
129,plot,7
286,killer,7
136,two,7
532,get,7
960,made,7
666,much,7
557,bad,7
424,scenes,7
447,seen,7
1043,time,7
37,worst,6
333,got,6
33,horror,6
756,kid,6
936,way,6
534,watch,6
14,children,6
828,know,5
291,half,5
363,think,5
443,bugs,5
198,end,5
759,kept,5
356,thing,5
520,moments,5
395,man,5
521,going,5
104,kids,5
506,ending,5
133,would,5
30,woman,5
64,hyde,5
633,whole,5
728,things,5
444,say,4
512,slow,4
214,may,4
320,special,4
99,quite,4
436,better,4
101,every,4
909,places,4
270,actually,4
311,hard,4
514,title,4
112,action,4
832,bit,4
540,despite,4
118,love,4
300,found,4
194,story,4
738,bunny,4
686,child,4
132,takes,4
167,work,4
459,take,4
725,annoying,4
116,thats,4
701,many,4
601,never,4
376,another,4
764,well,4
1001,idiot,4
364,first,4
421,boring,4
359,expecting,4
420,roles,3
1019,problems,3
792,yes,3
496,fact,3
841,night,3
558,stupid,3
371,scene,3
130,use,3
452,dancing,3
595,neither,3
1036,lot,3
396,friend,3
18,certainly,3
1013,poor,3
1021,stay,3
804,character,3
290,effects,3
188,terrible,3
627,drug,3
869,avoid,3
392,anyone,3
870,ice,3
932,long,3
873,everything,3
173,movies,3
546,lame,3
924,old,3
768,thought,3
282,curtis,3
583,fails,3
690,case,3
493,voodoo,3
29,norwell,3
956,trying,3
957,dull,3
1012,nice,3
449,sell,3
723,funny,3
659,decent,3
752,characters,3
351,care,3
438,cabin,3
576,result,3
1042,adam,3
353,tries,3
898,anything,3
350,wanted,3
399,eyes,3
913,mean,3
1044,serious,3
821,couple,3
196,worse,3
71,giving,3
225,times,3
193,serial,3
49,gun,3
190,something,3
312,idea,3
191,want,3
427,supposed,3
565,set,3
98,along,3
973,problem,3
661,three,3
771,without,2
702,fun,2
484,consequences,2
477,nothing,2
407,took,2
481,thriller,2
409,ridiculous,2
718,audiences,2
498,saying,2
487,later,2
218,wrong,2
711,almost,2
492,definitely,2
219,birthday,2
230,susan,2
710,played,2
220,lighting,2
221,blood,2
398,slasher,2
502,show,2
408,everglades,2
227,short,2
400,murder,2
382,sadly,2
257,hell,2
830,linda,2
366,enjoy,2
212,tension,2
798,death,2
824,dark,2
358,abuse,2
822,possible,2
355,david,2
429,dumb,2
820,big,2
324,shown,2
325,alcohol,2
818,around,2
328,looking,2
815,joke,2
352,scary,2
336,rented,2
338,blair,2
340,turned,2
343,standard,2
758,shivers,2
348,put,2
829,mom,2
448,apparently,2
865,humor,2
762,possessed,2
863,confusing,2
411,wasted,2
859,home,2
390,least,2
782,money,2
413,believe,2
267,fit,2
