Source,Target,Type,id,label,timeset,weight
JACC_90,ecartelera,Directed,0,,,1.0
dmcaputo,kelly_clarkson,Directed,1,,,1.0
dmcaputo,GalGadot,Directed,2,,,1.0
shashashasha,JoRoan,Directed,3,,,1.0
shashashasha,shashashasha,Directed,4,,,1.0
shashashasha,eeeeenid,Directed,5,,,1.0
shashashasha,xuhulk,Directed,6,,,1.0
shashashasha,tealtan,Directed,7,,,1.0
VinceRemoTwit,annabellemovie,Directed,8,,,1.0
LIONPON3,Kanerudo66,Directed,9,,,1.0
depepi,TheMarySue,Directed,10,,,1.0
depepi,marstonmovie,Directed,11,,,1.0
rock1er,Variety,Directed,12,,,1.0
rock1er,KellyClarkson,Directed,13,,,1.0
evelyn_kunze,Variety,Directed,14,,,2.0
evelyn_kunze,KellyClarkson,Directed,15,,,2.0
EMMAnimation,thisisbenoliver,Directed,16,,,1.0
s_oldham,Variety,Directed,17,,,1.0
s_oldham,KellyClarkson,Directed,18,,,1.0
TimeOfHollywood,Variety,Directed,19,,,3.0
TimeOfHollywood,KellyClarkson,Directed,20,,,1.0
Xaychii,ken_koy,Directed,21,,,1.0
Rfourone,WarriorDiana1,Directed,22,,,1.0
jenyy_16,bloominflowerss,Directed,23,,,1.0
Ingridcoley,SJavi12,Directed,24,,,1.0
Cakesugartaste,Littleponyloves,Directed,27,,,1.0
Cakesugartaste,MLPMovie,Directed,28,,,1.0
Cakesugartaste,AndreaLibman,Directed,29,,,1.0
Cakesugartaste,tarastrong,Directed,30,,,1.0
Cakesugartaste,ash_leigh_ball,Directed,31,,,1.0
Cakesugartaste,StTabitha,Directed,32,,,1.0
Cakesugartaste,CathyWeseluck,Directed,33,,,1.0
NatClaire190,Variety,Directed,34,,,1.0
NatClaire190,KellyClarkson,Directed,35,,,1.0
mollyjoy10,AlertBot,Directed,36,,,1.0
mollyjoy10,WonderWomanFilm,Directed,37,,,1.0
mollyjoy10,RokuPlayer,Directed,38,,,1.0
JoyHeeb,F13thFranchise,Directed,39,,,1.0
rebeccaalpert1,Variety,Directed,40,,,1.0
rebeccaalpert1,KellyClarkson,Directed,41,,,1.0
clarksonrulez,Variety,Directed,42,,,2.0
clarksonrulez,KellyClarkson,Directed,43,,,2.0
TVSHOWCLIPS,AmazonVideo,Directed,44,,,1.0
riverdlinson,WarnerBrosUK,Directed,45,,,1.0
wonderyonce,Variety,Directed,46,,,1.0
wonderyonce,KellyClarkson,Directed,47,,,1.0
Neel_Madtings,Variety,Directed,48,,,1.0
Neel_Madtings,KellyClarkson,Directed,49,,,1.0
in_aha,Gartenbaukino,Directed,52,,,1.0
MummyFever,wonderwoman,Directed,53,,,1.0
WonderMorri,20thCFox_FR,Directed,54,,,3.0
KathyA11,Variety,Directed,56,,,1.0
KathyA11,KellyClarkson,Directed,57,,,1.0
jacoblyon55,ParkwayBeverley,Directed,58,,,1.0
jacoblyon55,FlemingateBev,Directed,59,,,1.0
BiebyssArianaaa,Variety,Directed,60,,,1.0
BiebyssArianaaa,KellyClarkson,Directed,61,,,1.0
AMarriedAgent,KingsmanMovie,Directed,62,,,1.0
illusionsfacade,DaveOFlanagan,Directed,63,,,1.0
FittenRicardo,annabellemovie,Directed,64,,,1.0
Cakelette_,tiltbrush,Directed,65,,,1.0
iBalusa,BANGShowbiz,Directed,66,,,1.0
benjancewicz,JoRoan,Directed,67,,,1.0
benjancewicz,shashashasha,Directed,68,,,1.0
benjancewicz,eeeeenid,Directed,69,,,1.0
benjancewicz,xuhulk,Directed,70,,,1.0
benjancewicz,tealtan,Directed,71,,,1.0
ktruequeen,space_nearby,Directed,72,,,1.0
Jess_Wise3,ninadobrev,Directed,73,,,1.0
BuffGeekPodcast,The_GWW,Directed,74,,,1.0
BuffGeekPodcast,wehaveahulkpod,Directed,75,,,1.0
BuffGeekPodcast,startrekcbs,Directed,76,,,1.0
BuffGeekPodcast,TheOrville,Directed,77,,,1.0
laclark2002,RegalMovies,Directed,78,,,1.0
laclark2002,IMAX,Directed,79,,,1.0
ideas_micky,ideas_micky,Directed,80,,,8.0
NimbleGlance,Kanerudo66,Directed,81,,,1.0
loisjoannelanes,Variety,Directed,83,,,1.0
loisjoannelanes,KellyClarkson,Directed,84,,,1.0
ejrtairne,JoRoan,Directed,85,,,1.0
ejrtairne,shashashasha,Directed,86,,,1.0
ejrtairne,eeeeenid,Directed,87,,,1.0
