Movie,Number_of_favorites_count,Number_of_originaltweet,Number_of_retweet,Number_of_sales,Number_of_tweets,Number_of_user,number_of_follower,number_of_friends
American Assassin,10000465,112,370,163292,482,215,578321,428152
American Made,10051775,438,307,3131650,745,563,6710528,1670860
Annabelle: Creation,3670363,188,159,61253,347,241,872529,604789
A Question of Faith,1303444,27,72,37190,99,71,363212,155932
Better Watch Out,1338252,88,62,1825,150,118,1167872,1010441
Blade Runner 2049,289679937,7392,15256,7353151,22648,17040,172673430,29099976
Bradês Status,123470,18,1,6410,19,16,27912,10441
Despicable Me 3,2014051,240,108,194730,348,167,24534521,393732
Dunkirk,31511539,151,1328,100121,1479,1367,3574369,1785272
The Emoji Movie,7046833,106,362,139203,468,362,569819,483872
Flatliners,5411615,130,399,288022,529,467,8986997,727424
Friend Request,379501,19,13,10486,32,31,22625,28156
The Hitmanês Bodyguard,315385,23,11,105249,34,23,30263,29611
Kidnap,1823543,79,79,19893,158,145,910935,309724
Kingsman: The Golden Circle,20674851,501,1166,3011307,1667,1125,4476608,1312311
Logan Lucky,99494,15,7,23735,22,20,756051,26694
Loving Vincent,7659520,345,421,429447,766,604,3728618,990107
My Little Pony: The Movie,20993367,333,1030,2027064,1363,483,1332748,1030193
Spider-Man: Homecoming,37714073,621,1583,160679,2204,1632,16692121,3201811
The Kingês Choice,731,3,0,11216,3,3,3519,2691
The Mountain Between Us,5569043,207,56,2773757,263,198,847699,281626
Viceroy's House,33086,7,7,7076,14,10,94813,41804
Victoria and Abdul,7475833,340,370,2126115,710,493,17919706,1118958
Wind River,1041632,95,29,56088,124,99,573596,212324
Wonder Woman,201217228,3478,5923,23385,9401,5971,76171249,18938561
