yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
2000,CHA,1,978,839,162,95,1615,591,53,5646,61,216,325,33,31133500,0.286043216,0.355692017,0.470067304
2000,CLE,2,950,816,162,90,1639,685,51,5683,52,221,310,30,75880771,0.288404012,0.367022099,0.470174204
2000,DET,3,823,827,162,79,1553,562,43,5644,49,177,307,41,58265167,0.275159461,0.34264846,0.438164422
2000,KCA,4,879,930,162,77,1644,511,48,5709,70,150,281,27,23433000,0.287966369,0.347585989,0.425468558
2000,MIN,5,748,880,162,69,1516,556,35,5615,51,116,325,49,16519500,0.269991095,0.336742848,0.40730187
2000,NYA,1,871,814,161,87,1541,631,57,5556,50,205,294,25,92338260,0.277357811,0.354146806,0.449964003
2000,BOS,2,792,745,162,85,1503,611,42,5630,48,167,316,32,77940333,0.2669627,0.340546517,0.423445826
2000,TOR,3,861,908,162,83,1562,526,60,5677,34,244,328,21,44838332,0.275145323,0.341114817,0.469261934
2000,BAL,4,794,913,162,74,1508,558,49,5549,54,184,310,22,81447435,0.271760678,0.34057971,0.435033339
2000,TBA,5,733,842,161,69,1414,559,48,5505,40,162,253,22,62765129,0.256857402,0.328511053,0.399091735
2000,OAK,1,947,813,161,91,1501,750,52,5560,44,239,281,23,31971333,0.269964029,0.359506712,0.457733813
2000,SEA,2,907,780,162,91,1481,775,48,5497,61,198,300,26,58915000,0.269419683,0.361071932,0.441513553
2000,ANA,3,864,869,162,82,1574,608,47,5628,43,236,309,34,51464167,0.279673063,0.352355359,0.472459133
2000,TEX,4,848,974,162,71,1601,580,39,5648,48,173,330,35,70795921,0.283463173,0.351543943,0.446175637
2000,SLN,1,887,771,162,95,1481,675,84,5478,53,235,259,25,61453863,0.270354144,0.356120827,0.455458196
2000,CIN,2,825,765,163,85,1545,559,64,5635,58,200,302,36,46867200,0.274179237,0.343255225,0.447027507
2000,MIL,3,740,826,163,73,1366,620,61,5563,49,177,297,25,36505333,0.245550962,0.325282059,0.403379472
2000,HOU,4,938,944,162,72,1547,673,83,5570,61,249,289,36,51289111,0.277737882,0.36057617,0.476660682
2000,PIT,5,793,888,162,69,1506,564,66,5643,37,168,320,31,28928334,0.26687932,0.338510301,0.423888003
2000,CHN,6,764,904,162,65,1426,632,54,5577,45,183,272,23,60539333,0.255693025,0.334812936,0.41115295
2000,ATL,1,810,714,162,95,1490,595,59,5489,45,179,274,26,84537836,0.271451995,0.346477052,0.428675533
2000,NYN,2,807,738,162,94,1445,675,45,5486,51,198,282,20,79509776,0.26339774,0.346012466,0.43036821
2000,FLO,3,731,797,161,79,1441,540,60,5509,51,160,274,29,19872000,0.261571973,0.331331169,0.408967145
2000,MON,4,738,902,162,67,1475,476,29,5535,34,178,310,35,32994333,0.266485998,0.325979585,0.431616983
2000,PHI,5,708,830,162,65,1386,611,44,5511,37,144,304,40,47308000,0.251497006,0.329034338,0.399564507
2000,SFN,1,925,747,162,97,1535,709,51,5519,66,226,304,44,53737826,0.278130096,0.361702128,0.472005798
2000,LAN,2,798,729,162,86,1408,668,51,5481,46,211,265,28,87924286,0.256887429,0.340537944,0.430943259
