Customer_ID,ItemPurchased
Id 1,Item 13
Id 2,Item 24
Id 3,Item 63
Id 4,Item 49
Id 5,Item 45
Id 6,Item 68
Id 7,Item 6
Id 8,Item 9
Id 9,Item 64
Id 10,Item 65
Id 11,Item 3
Id 12,Item 70
Id 13,Item 50
Id 14,Item 20
Id 15,Item 37
Id 16,Item 2
Id 17,Item 66
Id 18,Item 40
Id 19,Item 63
Id 20,Item 62
Id 21,Item 77
Id 22,Item 51
Id 23,Item 70
Id 24,Item 35
Id 25,Item 38
Id 26,Item 32
Id 27,Item 62
Id 28,Item 40
Id 29,Item 46
Id 30,Item 60
Id 31,Item 75
Id 32,Item 25
Id 33,Item 50
Id 34,Item 40
Id 35,Item 50
Id 36,Item 69
Id 37,Item 36
Id 38,Item 22
Id 39,Item 41
Id 40,Item 66
Id 41,Item 9
Id 42,Item 60
Id 43,Item 45
Id 44,Item 47
Id 45,Item 4
Id 46,Item 76
Id 47,Item 38
Id 48,Item 38
Id 49,Item 64
Id 50,Item 40
Id 51,Item 37
Id 52,Item 76
Id 53,Item 24
Id 54,Item 72
Id 55,Item 29
Id 56,Item 32
Id 57,Item 7
Id 58,Item 7
Id 59,Item 37
Id 60,Item 58
Id 61,Item 62
Id 62,Item 6
Id 63,Item 68
Id 64,Item 64
Id 65,Item 37
Id 66,Item 66
Id 67,Item 65
Id 68,Item 78
Id 69,Item 50
Id 70,Item 39
Id 71,Item 38
Id 72,Item 71
Id 73,Item 60
Id 74,Item 38
Id 75,Item 49
Id 76,Item 71
Id 77,Item 37
Id 78,Item 23
Id 79,Item 74
Id 80,Item 13
Id 81,Item 15
Id 82,Item 35
Id 83,Item 48
Id 84,Item 3
Id 85,Item 71
Id 86,Item 4
Id 87,Item 23
Id 88,Item 67
Id 89,Item 75
Id 90,Item 34
Id 91,Item 31
Id 92,Item 65
Id 93,Item 46
Id 94,Item 71
Id 95,Item 45
Id 96,Item 42
Id 97,Item 9
Id 98,Item 15
Id 99,Item 49
Id 100,Item 26
Id 101,Item 52
Id 102,Item 29
Id 103,Item 6
Id 104,Item 59
Id 105,Item 16
Id 106,Item 14
Id 107,Item 14
Id 108,Item 76
Id 109,Item 18
Id 110,Item 47
Id 111,Item 35
Id 112,Item 5
Id 113,Item 49
Id 114,Item 29
Id 115,Item 41
Id 116,Item 53
Id 117,Item 35
Id 118,Item 12
Id 119,Item 46
Id 120,Item 36
Id 121,Item 10
Id 122,Item 32
Id 123,Item 18
Id 124,Item 24
Id 125,Item 61
Id 126,Item 31
Id 127,Item 3
Id 128,Item 12
Id 129,Item 29
Id 130,Item 10
Id 131,Item 5
Id 132,Item 61
Id 133,Item 57
Id 134,Item 27
Id 135,Item 48
Id 136,Item 65
Id 137,Item 69
Id 138,Item 36
Id 139,Item 59
Id 140,Item 2
Id 141,Item 25
Id 142,Item 16
Id 143,Item 49
Id 144,Item 47
Id 145,Item 10
Id 146,Item 33
Id 147,Item 55
Id 148,Item 37
Id 149,Item 71
Id 150,Item 53
Id 151,Item 70
Id 152,Item 46
Id 153,Item 28
Id 154,Item 21
Id 155,Item 40
Id 156,Item 65
Id 157,Item 1
Id 158,Item 39
Id 159,Item 9
Id 160,Item 28
Id 161,Item 25
Id 162,Item 11
Id 163,Item 52
Id 164,Item 48
Id 165,Item 48
Id 166,Item 49
Id 167,Item 57
Id 168,Item 80
Id 169,Item 50
Id 170,Item 32
Id 171,Item 53
Id 172,Item 49
Id 173,Item 65
Id 174,Item 16
Id 175,Item 17
Id 176,Item 2
Id 177,Item 29
Id 178,Item 21
Id 179,Item 74
Id 180,Item 17
Id 181,Item 21
Id 182,Item 57
Id 183,Item 25
Id 184,Item 19
Id 185,Item 12
Id 186,Item 41
Id 187,Item 45
Id 188,Item 80
Id 189,Item 27
Id 190,Item 53
Id 191,Item 52
Id 192,Item 79
Id 193,Item 38
Id 194,Item 33
Id 195,Item 65
Id 196,Item 11
Id 197,Item 80
Id 198,Item 2
Id 199,Item 14
Id 200,Item 62
Id 201,Item 7
Id 202,Item 11
Id 203,Item 78
Id 204,Item 31
Id 205,Item 53
Id 206,Item 43
Id 207,Item 61
Id 208,Item 22
Id 209,Item 54
Id 210,Item 41
Id 211,Item 59
Id 212,Item 43
Id 213,Item 7
Id 214,Item 40
Id 215,Item 58
Id 216,Item 26
Id 217,Item 30
Id 218,Item 80
Id 219,Item 17
Id 220,Item 23
Id 221,Item 5
Id 222,Item 25
Id 223,Item 4
Id 224,Item 52
Id 225,Item 69
Id 226,Item 53
Id 227,Item 31
Id 228,Item 5
Id 229,Item 34
Id 230,Item 11
Id 231,Item 69
Id 232,Item 72
Id 233,Item 56
Id 234,Item 31
Id 235,Item 14
Id 236,Item 58
Id 237,Item 48
Id 238,Item 51
Id 239,Item 15
Id 240,Item 30
Id 241,Item 41
Id 242,Item 54
Id 243,Item 40
Id 244,Item 8
Id 245,Item 41
Id 246,Item 76
Id 247,Item 26
Id 248,Item 55
Id 249,Item 67
Id 250,Item 76
Id 251,Item 66
Id 252,Item 55
Id 253,Item 76
Id 254,Item 23
Id 255,Item 48
Id 256,Item 54
Id 257,Item 9
Id 258,Item 67
Id 259,Item 10
Id 260,Item 40
Id 261,Item 34
Id 262,Item 30
Id 263,Item 38
Id 264,Item 78
Id 265,Item 64
Id 266,Item 43
Id 267,Item 77
Id 268,Item 8
Id 269,Item 31
Id 270,Item 31
Id 271,Item 71
Id 272,Item 76
Id 273,Item 15
Id 274,Item 78
Id 275,Item 9
Id 276,Item 59
Id 277,Item 24
Id 278,Item 43
Id 279,Item 23
Id 280,Item 41
Id 281,Item 4
Id 282,Item 7
Id 283,Item 76
Id 284,Item 31
Id 285,Item 80
Id 286,Item 57
Id 287,Item 80
Id 288,Item 54
Id 289,Item 73
Id 290,Item 17
Id 291,Item 66
Id 292,Item 52
Id 293,Item 48
Id 294,Item 24
Id 295,Item 67
Id 296,Item 23
Id 297,Item 40
Id 298,Item 46
Id 299,Item 45
Id 300,Item 60
Id 301,Item 80
Id 302,Item 57
Id 303,Item 2
Id 304,Item 14
Id 305,Item 58
Id 306,Item 55
Id 307,Item 30
Id 308,Item 40
Id 309,Item 2
Id 310,Item 62
Id 311,Item 15
Id 312,Item 39
Id 313,Item 28
Id 314,Item 28
Id 315,Item 39
Id 316,Item 71
Id 317,Item 41
Id 318,Item 35
Id 319,Item 36
Id 320,Item 29
Id 321,Item 5
Id 322,Item 60
Id 323,Item 80
Id 324,Item 49
Id 325,Item 19
Id 326,Item 21
Id 327,Item 36
Id 328,Item 51
Id 329,Item 7
Id 330,Item 15
