Order ID,Order Date,Order Quantity,Sales,Profit,Unit Price,Shipping Cost,Zip Code,Region,Customer Segment,Product Category,Product Sub-Category,Product Base Margin,Ship Date
3,8/26/2010,6,261.54,-213.25,38.94,35,7514,East,Small Business,Office Supplies,Storage & Organization,0.8,9/2/2010
6,1/3/2012,2,6.93,-4.64,2.08,2.56,10457,East,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",0.55,1/4/2012
32,5/28/2011,15,140.56,-128.38,8.46,8.99,44197,Central,Corporate,Technology,Computer Peripherals,0.79,5/29/2011
32,5/28/2011,24,1761.4,-1748.56,70.89,89.3,44197,Central,Corporate,Furniture,Tables,0.72,5/29/2011
32,5/28/2011,23,160.2335,-85.129,7.99,5.03,44197,Central,Corporate,Technology,Telephones and Communication,0.6,5/30/2011
32,5/28/2011,26,2808.08,1054.82,107.53,5.81,44197,Central,Corporate,Furniture,Office Furnishings,0.65,5/30/2011
35,9/4/2011,30,288.56,60.72,9.11,2.25,49822,Central,Corporate,Office Supplies,Pens & Art Supplies,0.52,9/5/2011
35,9/4/2011,14,1892.848,48.987,155.99,8.99,49822,Central,Corporate,Technology,Telephones and Communication,0.58,9/6/2011
36,9/15/2011,46,2484.7455,657.477,65.99,4.2,6074,East,Home Office,Technology,Telephones and Communication,0.55,9/15/2011
65,1/28/2011,32,3812.73,1470.3,115.79,1.99,19936,East,Corporate,Technology,Computer Peripherals,0.49,1/29/2011
66,12/2/2008,41,108.15,7.57,2.88,0.7,27006,South,Consumer,Office Supplies,Pens & Art Supplies,0.56,12/2/2008
69,4/16/2009,42,1186.06,511.69,30.93,3.92,43567,Central,Corporate,Furniture,Office Furnishings,0.44,4/18/2009
69,4/16/2009,28,51.53,0.35,1.68,0.7,43567,Central,Corporate,Office Supplies,Pens & Art Supplies,0.6,4/18/2009
70,10/30/2010,46,7804.53,2057.166,205.99,5.99,27006,South,Home Office,Technology,Telephones and Communication,0.59,11/4/2010
70,10/30/2010,48,90.05,-107,1.86,2.58,27006,South,Home Office,Office Supplies,Rubber Bands,0.82,11/4/2010
96,2/27/2009,37,4158.1235,1228.887,125.99,8.99,73301,Central,Home Office,Technology,Telephones and Communication,0.55,3/1/2009
97,12/11/2009,26,75.57,28.24,2.89,0.5,85354,West,Consumer,Office Supplies,Labels,0.38,12/12/2009
129,10/1/2012,4,32.72,-22.59,6.48,8.19,6439,East,Corporate,Office Supplies,Paper,0.37,10/10/2012
130,3/20/2012,29,575.11,71.75,18.97,9.03,32003,South,Corporate,Office Supplies,Paper,0.37,3/21/2012
130,3/20/2012,3,461.89,-356.12,150.98,13.99,32003,South,Corporate,Technology,Office Machines,0.38,3/22/2012
130,3/20/2012,23,236.46,-134.31,9.71,9.45,32003,South,Corporate,Office Supplies,Storage & Organization,0.6,3/23/2012
132,4/23/2010,27,192.814,-86.196,7.99,5.03,21290,South,Consumer,Technology,Telephones and Communication,0.6,4/24/2010
132,4/23/2010,30,4011.65,-603.8,130.98,54.74,21290,South,Consumer,Furniture,Bookcases,0.69,4/26/2010
134,3/13/2012,11,1132.6,-310.21,95.99,35,81221,West,Home Office,Office Supplies,Storage & Organization,0.82,3/15/2012
135,9/2/2011,25,125.85,-89.25,4.98,4.62,43054,Central,Consumer,Technology,Computer Peripherals,0.64,9/4/2011
166,7/25/2011,10,567.936,-126.093,65.99,8.99,84001,West,Consumer,Technology,Telephones and Communication,0.55,7/27/2011
193,6/20/2010,14,174.89,-37.04,12.44,6.27,85233,West,Consumer,Office Supplies,Storage & Organization,0.57,6/22/2010
194,2/16/2012,49,329.03,-197.25,7.28,7.98,30002,South,Corporate,Furniture,Office Furnishings,0.42,2/18/2012
