,0,1
0,Soccer Coordinator for Hayward SCORES--Soccer (hayward),https://sfbay.craigslist.org/eby/npo/d/soccer-coordinator-for/6319462765.html
1,"Mental Health: Full-time Care Manager, evening/weekend shifts",https://sfbay.craigslist.org/nby/npo/d/mental-health-full-time-care/6319110625.html
2,Mental Health Care Manager - Relief/On Call,https://sfbay.craigslist.org/nby/npo/d/mental-health-care-manager/6319105549.html
3,"2 days fulltime with benefits, Residential Relief Manager Support/Care",https://sfbay.craigslist.org/nby/npo/d/2-days-fulltime-with-benefits/6319001908.html
4,HEALTH CARE COORDINATOR,https://sfbay.craigslist.org/nby/npo/d/health-care-coordinator/6318995526.html
5,"Weekend job, 2nd job, Caregiver for adult with intellectual disability",https://sfbay.craigslist.org/nby/npo/d/weekend-job-2nd-job-caregiver/6318990570.html
6,"Make a difference, Caregiver for adults with intellectual disability.",https://sfbay.craigslist.org/nby/npo/d/make-difference-caregiver-for/6318979163.html
7,Sr. Administrative Assistant,https://sfbay.craigslist.org/eby/npo/d/sr-administrative-assistant/6317265137.html
8,Galileo Learning looking for year-round Tech Museum program manager!,https://sfbay.craigslist.org/sby/npo/d/galileo-learning-looking-for/6317256378.html
9,Job Coach - Part Time/Substitute,https://sfbay.craigslist.org/sby/npo/d/job-coach-part-time-substitute/6317223846.html
10,Community Support Facilitator - Santa Clara,https://sfbay.craigslist.org/sby/npo/d/community-support-facilitator/6317220415.html
11,Bilingual Linkage Clinician,https://sfbay.craigslist.org/sfc/npo/d/bilingual-linkage-clinician/6317194395.html
12,Bookkeeper (Temporary Position),https://sfbay.craigslist.org/eby/npo/d/bookkeeper-temporary-position/6317188751.html
13,Grant Writer - Support a nonprofit children's agency!,https://sfbay.craigslist.org/eby/npo/d/grant-writer-support/6317168844.html
14,Clinical Director-Residential Treatment Center,https://sfbay.craigslist.org/eby/npo/d/clinical-director-residential/6317165678.html
15,Administrative Associate,https://sfbay.craigslist.org/sfc/npo/d/administrative-associate/6317149209.html
16,Bilingual Classroom Therapist - Children's Therapeutic Preschool,https://sfbay.craigslist.org/eby/npo/d/bilingual-classroom-therapist/6317148152.html
17,Clinical Training and Quality Assurance (QA) Director,https://sfbay.craigslist.org/eby/npo/d/clinical-training-and-quality/6317134884.html
18,Associate Director of Support Services,https://sfbay.craigslist.org/sfc/npo/d/associate-director-of-support/6317133713.html
19,Property Manager (Supportive Housing),https://sfbay.craigslist.org/sfc/npo/d/property-manager-supportive/6317131910.html
20,Bilingual Hotline Advocate,https://sfbay.craigslist.org/sby/npo/d/bilingual-hotline-advocate/6317127122.html
21,Project Manager,https://sfbay.craigslist.org/sfc/npo/d/project-manager/6317108542.html
22,Bilingual CASE MANAGER - Shelter plus Care ($21.21 hourly),https://sfbay.craigslist.org/sfc/npo/d/bilingual-case-manager/6317107861.html
23,Children's Services Associate,https://sfbay.craigslist.org/sfc/npo/d/childrens-services-associate/6317107602.html
24,Housing Coordinator,https://sfbay.craigslist.org/eby/npo/d/housing-coordinator/6317104704.html
25,Manager for Adolescent Treatment Program - ASW or MFTI Required,https://sfbay.craigslist.org/eby/npo/d/manager-for-adolescent/6317103330.html
26,Animal and Client Care Associates - Holiday Windows - SF SPCA,https://sfbay.craigslist.org/sfc/npo/d/animal-and-client-care/6317102044.html
27,Driver/General Maintenance,https://sfbay.craigslist.org/sby/npo/d/driver-general-maintenance/6317093282.html
28,Part Time Janitor/Maintenance,https://sfbay.craigslist.org/sfc/npo/d/part-time-janitor-maintenance/6317092392.html
29,Kitchen Helper,https://sfbay.craigslist.org/sby/npo/d/kitchen-helper/6317089979.html
30,Family Services Director,https://sfbay.craigslist.org/sby/npo/d/family-services-director/6317082167.html
31,Marketing Director,https://sfbay.craigslist.org/sfc/npo/d/marketing-director/6317077669.html
32,Development and Communications Associate,https://sfbay.craigslist.org/nby/npo/d/development-and/6317070790.html
33,Program Coordinator / Youth Leader,https://sfbay.craigslist.org/eby/npo/d/program-coordinator-youth/6317068978.html
34,Health Promoter III/ Patient Navigator,https://sfbay.craigslist.org/nby/npo/d/health-promoter-iii-patient/6317065994.html
35,Youth Service Coordinator Job#HWAC0922172,https://sfbay.craigslist.org/eby/npo/d/youth-service-coordinator/6317064563.html
36,Volunteer Program Manager,https://sfbay.craigslist.org/nby/npo/d/volunteer-program-manager/6317062354.html
37,Intake Coordinator (Youth) Job# HWAC0922171,https://sfbay.craigslist.org/eby/npo/d/intake-coordinator-youth-job/6317059937.html
38,Food Drive & Volunteer Coordinator,https://sfbay.craigslist.org/nby/npo/d/food-drive-volunteer/6317052532.html
39,Integrated Services Manager,https://sfbay.craigslist.org/sfc/npo/d/integrated-services-manager/6317043047.html
40,Garden Educator - Ecology- Gardening - Multi-Arts-Literacy-Nutrition,https://sfbay.craigslist.org/sfc/npo/d/garden-educator-ecology/6317017250.html
41,Case Manager (FSP/Solano),https://sfbay.craigslist.org/eby/npo/d/case-manager-fsp-solano/6317009668.html
42,"Licensed Vocational Nurse, Fairfield",https://sfbay.craigslist.org/eby/npo/d/licensed-vocational-nurse/6317009046.html
43,"Registered Nurse, Solano County",https://sfbay.craigslist.org/eby/npo/d/registered-nurse-solano-county/6317008516.html
44,CIF Sub/ Direct Support Staff Sub,https://sfbay.craigslist.org/eby/npo/d/cif-sub-direct-support-staff/6317006898.html
45,*Clinical Supervisor/MFT or LSW for Residential Treatment Program*,https://sfbay.craigslist.org/nby/npo/d/clinical-supervisor-mft-or/6316998569.html
46,INDEPENDENT LIVING SKILLS INSTRUCTOR,https://sfbay.craigslist.org/pen/npo/d/independent-living-skills/6316991964.html
47,Administrative Assistant needed in Concord Adult Day Program,https://sfbay.craigslist.org/eby/npo/d/administrative-assistant/6316991875.html
48,ADULT DAY PROGRAM -COMMUNITY TRAINING INSTRUCTOR,https://sfbay.craigslist.org/pen/npo/d/adult-day-program-community/6316989056.html
49,Transportation Coordinator Needed!,https://sfbay.craigslist.org/eby/npo/d/transportation-coordinator/6316982885.html
50,Membership Manager,https://sfbay.craigslist.org/sfc/npo/d/membership-manager/6316914719.html
51,Climate Action Now! Sidewalk Garden Program Associate,https://sfbay.craigslist.org/sfc/npo/d/climate-action-now-sidewalk/6316906931.html
52,TAY Services Case manager,https://sfbay.craigslist.org/sfc/npo/d/tay-services-case-manager/6316880760.html
53,"Resident Services Team Lead- RAD - $47,840 - $53,095",https://sfbay.craigslist.org/sfc/npo/d/resident-services-team-lead/6316837685.html
54,"ASSET MANAGER - $66,381 - $73,673",https://sfbay.craigslist.org/sfc/npo/d/asset-manager/6316831443.html
55,Work for Amnesty International- Help Protect Human Rights! (Oakland),https://sfbay.craigslist.org/eby/npo/d/work-for-amnesty/6316830505.html
56,Relief (On-Call) Veterinarian - Guide Dogs for the Blind,https://sfbay.craigslist.org/nby/npo/d/relief-on-call-veterinarian/6316822861.html
57,Program Assistant - ABA Therapy,https://sfbay.craigslist.org/eby/npo/d/program-assistant-aba-therapy/6316817821.html
58,Individual Giving Officer,https://sfbay.craigslist.org/sfc/npo/d/individual-giving-officer/6316815809.html
