,0
0,"1LeBron James, SFCleveland Cavaliers$30,963,450"
1,"3Al Horford, PFBoston Celtics$26,540,100"
2,"5Carmelo Anthony, PFNew York Knicks$24,559,380"
3,"7Chris Bosh, PFMiami Heat$23,741,060"
4,"9Dwight Howard, CAtlanta Hawks$23,180,275"
5,"11Chandler Parsons, SFMemphis Grizzlies$22,116,750"
6,"13Anthony Davis, PFNew Orleans Pelicans$22,116,750"
7,"15Marc Gasol, CMemphis Grizzlies$21,165,675"
8,"17Kevin Love, PFCleveland Cavaliers$21,165,675"
9,"19LaMarcus Aldridge, PFSan Antonio Spurs$20,575,005"
10,"21Paul Millsap, PFAtlanta Hawks$20,072,033"
11,"23Allen Crabbe, SGPortland Trail Blazers$18,500,000"
12,"25Luol Deng, SFLos Angeles Lakers$18,000,000"
13,"27Kyrie Irving, PGCleveland Cavaliers$17,638,063"
14,"29Tobias Harris, SFDetroit Pistons$17,200,000"
15,"31Wesley Matthews, SGDallas Mavericks$17,145,838"
16,"33Bismack Biyombo, COrlando Magic$17,000,000"
17,"35John Wall, PGWashington Wizards$16,957,900"
18,"37Klay Thompson, SGGolden State Warriors$16,663,575"
19,"39Gordon Hayward, SFUtah Jazz$16,073,140"
20,"2Mike Conley, PGMemphis Grizzlies$26,540,100"
21,"4Dirk Nowitzki, PFDallas Mavericks$25,000,000"
22,"6Damian Lillard, PGPortland Trail Blazers$24,328,425"
23,"8Dwyane Wade, SGChicago Bulls$23,200,000"
24,"10Chris Paul, PGLA Clippers$22,868,827"
25,"12Bradley Beal, SGWashington Wizards$22,116,750"
26,"14Derrick Rose, PGNew York Knicks$21,323,252"
27,"16Brook Lopez, CBrooklyn Nets$21,165,675"
28,"18Nicolas Batum, SGCharlotte Hornets$20,869,566"
29,"20Blake Griffin, PFLA Clippers$20,140,839"
30,"22Ryan Anderson, PFHouston Rockets$18,735,364"
31,"24Paul George, SFIndiana Pacers$18,314,532"
32,"26Kawhi Leonard, SFSan Antonio Spurs$17,638,063"
33,"28Jimmy Butler, SGChicago Bulls$17,552,209"
34,"30Greg Monroe, CMilwaukee Bucks$17,145,838"
35,"32Evan Fournier, SFOrlando Magic$17,000,000"
36,"34Joakim Noah, CNew York Knicks$17,000,000"
37,"36DeMarcus Cousins, CSacramento Kings$16,957,900"
38,"38Evan Turner, SGPortland Trail Blazers$16,393,443"
39,"40Timofey Mozgov, CLos Angeles Lakers$16,000,000"
40,"41Ian Mahinmi, CWashington Wizards$15,944,154"
41,"43Kent Bazemore, SGAtlanta Hawks$15,730,338"
42,"45Draymond Green, PFGolden State Warriors$15,330,435"
43,"47Khris Middleton, SFMilwaukee Bucks$15,200,000"
44,"49Jeff Green, SFOrlando Magic$15,000,000"
45,"51Tony Parker, PGSan Antonio Spurs$14,445,313"
