,Survived,PassengerClass,Sex,Age,SibSp,Parch,Fare,Embarked,CurrentAge,Disc,DeparturePort,Fare_Category,Fare_Category_Labels
27,0,1,1,19.0,3,2,263.0,1,109.0,65.75,1,"(39.688, 512.329]",5
88,1,1,0,23.0,3,2,263.0,1,113.0,65.75,1,"(39.688, 512.329]",5
118,0,1,1,24.0,0,1,247.5208,2,114.0,61.8802,2,"(39.688, 512.329]",5
258,1,1,0,35.0,0,0,512.3292,2,125.0,128.0823,2,"(39.688, 512.329]",5
299,1,1,0,50.0,0,1,247.5208,2,140.0,61.8802,2,"(39.688, 512.329]",5
311,1,1,0,18.0,2,2,262.375,2,108.0,65.59375,2,"(39.688, 512.329]",5
341,1,1,0,24.0,3,2,263.0,1,114.0,65.75,1,"(39.688, 512.329]",5
377,0,1,1,27.0,0,2,211.5,2,117.0,52.875,2,"(39.688, 512.329]",5
380,1,1,0,42.0,0,0,227.525,2,132.0,56.88125,2,"(39.688, 512.329]",5
438,0,1,1,64.0,1,4,263.0,1,154.0,65.75,1,"(39.688, 512.329]",5
527,0,1,1,28.0,0,0,221.7792,1,118.0,55.4448,1,"(39.688, 512.329]",5
557,0,1,1,28.0,0,0,227.525,2,118.0,56.88125,2,"(39.688, 512.329]",5
679,1,1,1,36.0,0,1,512.3292,2,126.0,128.0823,2,"(39.688, 512.329]",5
689,1,1,0,15.0,0,1,211.3375,1,105.0,52.834375,1,"(39.688, 512.329]",5
700,1,1,0,18.0,1,0,227.525,2,108.0,56.88125,2,"(39.688, 512.329]",5
716,1,1,0,38.0,0,0,227.525,2,128.0,56.88125,2,"(39.688, 512.329]",5
730,1,1,0,29.0,0,0,211.3375,1,119.0,52.834375,1,"(39.688, 512.329]",5
737,1,1,1,35.0,0,0,512.3292,2,125.0,128.0823,2,"(39.688, 512.329]",5
742,1,1,0,21.0,2,2,262.375,2,111.0,65.59375,2,"(39.688, 512.329]",5
779,1,1,0,43.0,0,1,211.3375,1,133.0,52.834375,1,"(39.688, 512.329]",5
