,Survived,PassengerClass,Sex,Age,SibSp,Parch,Fare,Embarked,CurrentAge,Disc,DeparturePort,Fare_Category,Fare_Category_Labels
137,0,1,1,37.0,1,0,53.1,1,127.0,13.275,1,"(39.688, 512.329]",5
145,0,2,1,19.0,1,1,36.75,1,109.0,9.1875,1,"(21.317, 39.688]",4
177,0,1,0,50.0,0,0,28.7125,2,140.0,7.178125,2,"(21.317, 39.688]",4
278,0,3,1,7.0,4,1,29.125,3,97.0,7.28125,3,"(21.317, 39.688]",4
704,0,3,1,26.0,1,0,7.8542,1,116.0,1.96355,1,"(-0.001, 7.854]",1
332,0,1,1,38.0,0,1,153.4625,1,128.0,38.365625,1,"(39.688, 512.329]",5
869,1,3,1,4.0,1,1,11.1333,1,94.0,2.783325,1,"(10.5, 21.317]",3
683,0,3,1,14.0,5,2,46.9,1,104.0,11.725,1,"(39.688, 512.329]",5
123,1,2,0,32.5,0,0,13.0,1,122.5,3.25,1,"(10.5, 21.317]",3
74,1,3,1,32.0,0,0,56.4958,1,122.0,14.12395,1,"(39.688, 512.329]",5
