,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
0,580V74KT,0,0,0,1,1,1,15,8,1,94.0,4.0,0.0,1.0,0.0,77,203
2,268D25AO,1,1,0,0,0,1,15,11,1,67.0,2.0,0.0,1.0,0.0,50,38
3,312Q12WV,1,1,0,1,0,1,15,4,0,62.0,4.0,1.0,1.0,0.0,60,68
4,420R23VB,0,0,0,1,0,0,15,5,0,89.0,4.0,1.0,1.0,0.0,65,194
5,611B52LL,1,0,0,1,0,0,15,2,0,77.0,0.0,0.0,1.0,0.0,54,92
6,612W26VA,1,0,1,0,0,0,15,4,0,67.0,1.0,1.0,1.0,0.0,63,129
7,594Y59EZ,0,1,1,0,0,1,15,6,1,76.0,5.0,1.0,1.0,0.0,50,483
9,716W84WL,1,0,1,1,0,0,15,3,1,54.0,3.0,0.0,1.0,0.0,51,90
10,912U90JS,1,0,0,0,0,1,25,6,0,82.0,0.0,1.0,1.0,0.0,58,122
12,953Q54MZ,1,0,1,1,0,1,25,5,1,91.0,0.0,0.0,1.0,0.0,45,372
14,263S97EJ,0,0,1,1,0,1,15,9,1,61.0,5.0,1.0,1.0,0.0,54,135
16,743K95NB,0,1,0,0,1,0,15,8,1,81.0,1.0,0.0,1.0,0.0,50,43
17,125B38SM,1,0,1,1,0,0,25,3,0,63.0,2.0,0.0,1.0,0.0,58,41
18,682P93CO,1,1,1,1,0,1,15,4,0,63.0,4.0,1.0,1.0,0.0,64,117
19,313H54RN,1,0,1,0,0,1,25,9,1,68.0,1.0,1.0,1.0,0.0,59,56
20,543N56MR,0,0,1,1,0,0,25,4,0,42.0,6.0,0.0,1.0,0.0,54,33
21,057M82IP,0,1,0,0,1,1,25,3,0,63.0,1.0,1.0,1.0,0.0,57,39
23,678J57PP,0,1,0,1,1,1,25,10,1,40.0,4.0,0.0,1.0,0.0,70,274
24,198Q78GK,0,0,0,1,1,1,15,7,1,55.0,6.0,1.0,1.0,0.0,78,106
25,233E23BU,0,0,1,1,0,0,25,5,0,61.0,1.0,0.0,1.0,0.0,71,64
26,667J28JV,1,1,0,0,0,1,15,4,0,55.0,2.0,0.0,1.0,0.0,42,47
28,927S76SY,0,1,1,0,0,0,25,5,0,58.0,3.0,0.0,1.0,0.0,53,331
31,148M09EX,1,0,0,0,1,1,15,10,1,94.0,0.0,0.0,0.0,0.0,69,69
32,300R72GO,0,1,0,1,1,1,15,10,1,72.0,3.0,0.0,1.0,0.0,56,87
33,788E94HF,1,1,1,0,0,1,15,4,0,71.0,3.0,0.0,1.0,0.0,40,126
34,268U15RO,1,0,1,0,0,0,15,7,0,60.0,2.0,0.0,1.0,0.0,54,110
35,014D34XV,0,0,1,1,0,1,25,10,1,51.0,1.0,0.0,1.0,0.0,58,55
37,898C50VH,0,1,1,0,0,1,25,4,0,61.0,3.0,0.0,1.0,0.0,52,124
39,099X79XP,0,1,0,1,0,1,15,7,1,71.0,6.0,0.0,1.0,0.0,64,336
40,812C10MB,0,0,1,1,1,1,15,9,1,44.0,4.0,0.0,1.0,0.0,47,57
41,070B29HX,0,1,1,0,0,1,15,4,1,29.0,6.0,0.0,1.0,0.0,62,48
42,332J59CM,0,1,0,0,1,0,15,4,0,35.0,4.0,0.0,1.0,0.0,42,227
43,181Q68TS,0,0,0,1,1,1,15,5,1,73.0,2.0,1.0,1.0,0.0,59,36
44,597G02BN,1,1,1,1,1,1,15,7,0,63.0,3.0,1.0,1.0,0.0,78,132
45,320S37NE,1,0,1,0,0,0,50,4,0,62.0,3.0,0.0,1.0,0.0,33,61
48,586T75OX,0,0,0,1,0,0,15,3,1,73.0,3.0,1.0,1.0,0.0,68,69
49,584H63AC,1,0,1,1,1,1,15,8,1,75.0,5.0,0.0,1.0,0.0,55,64
50,256L14LX,1,0,1,1,0,0,50,7,0,69.0,4.0,1.0,1.0,0.0,30,440
51,310N31UV,1,0,0,0,1,1,15,10,1,74.0,3.0,0.0,1.0,0.0,59,176
53,999Z48YP,1,0,1,1,0,0,15,3,1,26.0,1.0,1.0,1.0,0.0,65,34
54,464R97BR,1,0,0,0,1,1,25,7,0,73.0,3.0,1.0,1.0,0.0,73,82
55,419G00JH,0,1,1,0,0,0,15,4,0,41.0,4.0,1.0,1.0,0.0,70,97
56,739T44MK,1,1,1,1,0,1,15,11,1,58.0,2.0,0.0,1.0,0.0,66,57
57,427K11TA,0,0,0,1,1,0,25,4,0,59.0,6.0,1.0,1.0,0.0,56,51
58,790F24BQ,0,1,1,1,0,1,15,11,1,82.0,3.0,0.0,1.0,0.0,60,65
60,728E24BC,1,1,0,0,1,1,15,5,0,34.0,1.0,0.0,1.0,0.0,64,93
61,797T64FH,0,0,0,0,0,1,15,11,0,64.0,3.0,0.0,1.0,0.0,78,104
62,483Q06ZY,0,1,1,1,1,0,15,9,1,38.0,4.0,0.0,1.0,0.0,62,88
64,003K13DO,1,0,1,1,0,0,15,3,0,67.0,4.0,0.0,1.0,0.0,67,67
65,579D49GJ,1,0,0,1,0,0,15,8,1,66.0,4.0,1.0,1.0,0.0,66,59
66,916W97CA,1,0,1,0,1,1,15,5,1,34.0,5.0,1.0,1.0,0.0,70,248
67,126Y16FU,1,0,0,0,0,1,15,7,0,63.0,4.0,1.0,1.0,0.0,69,91
68,352H52MB,0,0,1,1,1,1,15,7,1,39.0,2.0,0.0,1.0,0.0,48,119
69,376H17HK,1,1,0,0,0,1,25,8,1,63.0,2.0,0.0,1.0,0.0,68,62
70,657V10AY,1,0,0,1,0,0,15,3,0,67.0,1.0,1.0,1.0,0.0,58,58
71,071Z44VS,0,1,1,0,1,1,15,5,1,89.0,3.0,1.0,1.0,0.0,76,127
72,920S32DK,1,0,1,1,1,0,15,6,0,56.0,6.0,1.0,1.0,0.0,57,73
73,188G25DZ,0,0,0,1,0,0,15,3,0,66.0,2.0,0.0,1.0,0.0,55,35
75,011Q61HE,1,0,1,1,0,0,15,2,0,55.0,0.0,0.0,1.0,0.0,59,46
76,223Z31IW,0,0,0,1,1,0,15,8,1,68.0,1.0,0.0,1.0,0.0,66,35
79,960K09AY,0,1,0,1,1,0,15,9,1,79.0,4.0,1.0,1.0,0.0,62,61
80,388Y47IW,1,0,0,1,0,0,25,7,0,51.0,4.0,1.0,1.0,0.0,47,32
81,718F39QL,1,0,0,1,0,0,15,7,0,40.0,5.0,1.0,1.0,0.0,77,142
82,475Z67DS,1,0,1,0,0,1,25,6,0,59.0,6.0,1.0,1.0,0.0,59,322
83,704G18DT,0,0,1,0,0,0,25,3,0,75.0,1.0,1.0,1.0,0.0,64,88
85,996B27TX,0,1,1,1,0,1,25,5,0,63.0,4.0,0.0,1.0,0.0,55,187
86,031G69GO,1,0,0,1,1,1,15,5,1,81.0,0.0,1.0,1.0,0.0,42,72
87,966L39BH,1,0,0,1,0,0,15,3,0,57.0,6.0,0.0,1.0,0.0,65,126
88,842N10SV,0,0,1,0,0,0,15,11,1,63.0,2.0,0.0,1.0,0.0,34,92
89,383O33ZP,0,1,1,1,0,1,25,4,0,67.0,4.0,0.0,1.0,0.0,50,133
90,489T90WU,1,0,1,1,1,1,25,6,1,35.0,3.0,0.0,1.0,0.0,68,63
91,053J29WN,0,0,0,0,0,1,25,10,1,79.0,0.0,1.0,1.0,0.0,34,189
92,505C30LS,1,0,0,1,1,1,25,5,0,47.0,4.0,0.0,1.0,0.0,65,219
93,242K39IL,0,0,1,1,1,1,25,5,1,54.0,1.0,0.0,1.0,0.0,48,76
94,943K86DJ,1,0,1,1,0,0,15,3,0,66.0,3.0,1.0,1.0,0.0,52,68
95,063O78AS,1,1,0,0,0,1,50,7,0,58.0,2.0,1.0,1.0,0.0,57,100
97,799V80WI,1,0,0,0,1,1,15,11,1,85.0,1.0,0.0,1.0,0.0,56,40
98,568R23JP,1,0,0,1,1,0,15,8,1,48.0,5.0,1.0,1.0,0.0,69,86
99,554X80FK,1,1,1,1,0,1,50,8,0,72.0,3.0,0.0,1.0,0.0,68,99
100,441C60AK,1,0,0,1,0,0,15,3,0,23.0,4.0,0.0,1.0,0.0,20,110
102,267H12XL,1,0,0,1,0,0,25,3,0,44.0,3.0,0.0,1.0,0.0,60,84
103,529P71DB,1,1,1,1,0,1,15,3,1,63.0,2.0,0.0,1.0,0.0,71,38
105,530R67JM,0,0,1,0,0,1,25,3,0,55.0,4.0,0.0,1.0,0.0,62,233
106,989G22HG,1,0,0,0,1,1,15,11,1,48.0,0.0,0.0,1.0,0.0,70,78
107,922H00PK,0,0,1,0,1,1,25,10,1,61.0,2.0,1.0,1.0,0.0,62,71
109,223N72QT,0,0,1,1,0,0,15,3,0,63.0,3.0,0.0,1.0,0.0,67,108
110,205P31AN,0,1,1,0,1,1,25,7,0,63.0,0.0,1.0,1.0,0.0,58,61
111,598G97EE,0,0,0,1,0,1,15,8,1,44.0,2.0,0.0,1.0,0.0,71,444
112,274P06PB,1,0,1,0,0,0,15,2,0,70.0,5.0,1.0,1.0,0.0,69,585
115,851N47HP,1,1,1,1,0,1,15,3,0,61.0,1.0,0.0,1.0,0.0,67,91
116,637K40FK,0,0,0,0,1,1,15,11,1,75.0,1.0,0.0,1.0,0.0,67,36
118,970A76KQ,1,0,0,1,0,1,15,11,1,62.0,2.0,0.0,1.0,0.0,36,101
119,115K83RI,0,1,1,0,1,1,15,10,1,55.0,4.0,1.0,1.0,0.0,70,76
120,553Z00EG,0,1,1,0,0,0,25,4,0,75.0,5.0,1.0,1.0,0.0,76,327
121,046C37QF,1,0,1,0,0,0,15,5,0,77.0,1.0,1.0,1.0,0.0,48,79
122,168X72HD,1,0,0,0,1,1,15,10,1,55.0,2.0,1.0,1.0,0.0,46,39
123,892R88MA,1,0,1,0,0,0,15,3,0,31.0,4.0,0.0,1.0,0.0,61,66
124,532Q08IQ,1,0,1,0,1,1,15,5,1,81.0,1.0,1.0,1.0,0.0,55,57
127,608S92ES,1,0,1,1,1,0,25,9,1,89.0,1.0,0.0,1.0,0.0,44,49
128,261T89LH,0,0,0,0,1,1,15,9,1,78.0,2.0,0.0,1.0,0.0,62,59
130,390X13TM,1,0,1,1,1,0,15,8,1,63.0,0.0,0.0,1.0,0.0,76,62
131,008K08YZ,1,1,0,0,0,0,15,11,1,63.0,4.0,0.0,1.0,0.0,39,52
132,988F78MZ,1,0,0,1,0,0,25,7,0,80.0,1.0,1.0,1.0,0.0,63,174
133,441J88WO,0,1,1,0,1,1,15,6,1,50.0,5.0,1.0,1.0,1.0,60,100
136,153N07HR,1,0,0,1,0,0,15,3,0,65.0,4.0,0.0,1.0,0.0,70,96
137,749G87GJ,0,0,0,0,0,1,15,5,0,69.0,6.0,1.0,1.0,0.0,61,238
138,918E53KY,1,0,1,1,0,0,15,3,0,32.0,5.0,1.0,1.0,0.0,43,235
139,990Q15RZ,1,0,0,1,0,0,15,3,0,33.0,2.0,0.0,1.0,0.0,61,32
140,326A26ZR,0,0,1,1,0,0,15,3,0,50.0,5.0,0.0,1.0,0.0,70,449
141,226N21CF,1,0,0,1,0,1,25,9,1,46.0,3.0,1.0,1.0,0.0,60,56
142,907O95RY,1,0,1,1,0,0,25,2,0,47.0,3.0,1.0,1.0,0.0,54,44
143,574A10QU,1,0,0,1,0,0,15,5,0,49.0,4.0,0.0,1.0,0.0,63,60
