,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
0,580V74KT,0,0,0,1,1,1,15,8,1,94,4,0,1,0.0,77,203
2,268D25AO,1,1,0,0,0,1,15,11,1,67,2,0,1,0.0,50,38
3,312Q12WV,1,1,0,1,0,1,15,4,0,62,4,1,1,0.0,60,68
4,420R23VB,0,0,0,1,0,0,15,5,0,89,4,1,1,0.0,65,194
7,594Y59EZ,0,1,1,0,0,1,15,6,1,76,5,1,1,0.0,50,483
10,912U90JS,1,0,0,0,0,1,25,6,0,82,0,1,1,0.0,58,122
14,263S97EJ,0,0,1,1,0,1,15,9,1,61,5,1,1,0.0,54,135
16,743K95NB,0,1,0,0,1,0,15,8,1,81,1,0,1,0.0,50,43
19,313H54RN,1,0,1,0,0,1,25,9,1,68,1,1,1,0.0,59,56
20,543N56MR,0,0,1,1,0,0,25,4,0,42,6,0,1,0.0,54,33
24,198Q78GK,0,0,0,1,1,1,15,7,1,55,6,1,1,0.0,78,106
26,667J28JV,1,1,0,0,0,1,15,4,0,55,2,0,1,0.0,42,47
28,927S76SY,0,1,1,0,0,0,25,5,0,58,3,0,1,0.0,53,331
31,148M09EX,1,0,0,0,1,1,15,10,1,94,0,0,0,0.0,69,69
32,300R72GO,0,1,0,1,1,1,15,10,1,72,3,0,1,0.0,56,87
33,788E94HF,1,1,1,0,0,1,15,4,0,71,3,0,1,0.0,40,126
34,268U15RO,1,0,1,0,0,0,15,7,0,60,2,0,1,0.0,54,110
35,014D34XV,0,0,1,1,0,1,25,10,1,51,1,0,1,0.0,58,55
37,898C50VH,0,1,1,0,0,1,25,4,0,61,3,0,1,0.0,52,124
39,099X79XP,0,1,0,1,0,1,15,7,1,71,6,0,1,0.0,64,336
40,812C10MB,0,0,1,1,1,1,15,9,1,44,4,0,1,0.0,47,57
41,070B29HX,0,1,1,0,0,1,15,4,1,29,6,0,1,0.0,62,48
42,332J59CM,0,1,0,0,1,0,15,4,0,35,4,0,1,0.0,42,227
48,586T75OX,0,0,0,1,0,0,15,3,1,73,3,1,1,0.0,68,69
49,584H63AC,1,0,1,1,1,1,15,8,1,75,5,0,1,0.0,55,64
51,310N31UV,1,0,0,0,1,1,15,10,1,74,3,0,1,0.0,59,176
54,464R97BR,1,0,0,0,1,1,25,7,0,73,3,1,1,0.0,73,82
55,419G00JH,0,1,1,0,0,0,15,4,0,41,4,1,1,0.0,70,97
56,739T44MK,1,1,1,1,0,1,15,11,1,58,2,0,1,0.0,66,57
