player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
Alex Abrines,SG,23,OKC,68,6,15.5,2,5,0.393,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.6,0.898,0.3,1,1.3,0.6,0.5,0.1,0.5,1.7,6,5994764
Steven Adams,C,23,OKC,80,80,29.9,4.7,8.2,0.571,0,0,0,4.7,8.2,0.572,0.571,2,2,0.611,3.5,4.2,7.7,1.1,1.1,1,1.8,2.4,11.3,3140517
Arron Afflalo,SG,31,SAC,61,45,25.9,3,6.9,0.44,1,2.5,0.411,2,4.4,0.457,0.514,1.4,1.4,0.892,0.1,1.9,2,1.3,0.3,0.1,0.7,1.7,8.4,12500000
Alexis Ajinca,C,28,NOP,39,15,15,2.3,4.6,0.5,0,0.1,0,2.3,4.5,0.511,0.5,0.7,0.7,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2,5.3,4638203
Cole Aldrich,C,28,MIN,62,0,8.6,0.7,1.4,0.523,0,0,0,0.7,1.4,0.523,0.523,0.2,0.2,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,7643979
LaMarcus Aldridge,PF,31,SAS,72,72,32.4,6.9,14.6,0.477,0.3,0.8,0.411,6.6,13.8,0.48,0.488,3.1,3.1,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,20575005
Tony Allen,SG,35,MEM,71,66,27,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.1,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,5505618
Al-Farouq Aminu,SF,26,POR,61,25,29.1,3,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,1.6,0.706,1.3,6.1,7.4,1.6,1,0.7,1.5,1.7,8.7,7680965
Kyle Anderson,SG,23,SAS,72,14,14.2,1.3,2.9,0.445,0.2,0.6,0.375,1.1,2.3,0.462,0.481,0.6,0.6,0.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4,1192080
Ryan Anderson,PF,28,HOU,72,72,29.4,4.5,10.7,0.418,2.8,7,0.403,1.7,3.7,0.446,0.55,1.8,1.8,0.86,1.6,3,4.6,0.9,0.4,0.2,0.8,2,13.6,18735364
Giannis Antetokounmpo,SF,22,MIL,80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,5.9,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9,2995421
Carmelo Anthony,SF,32,NYK,74,74,34.3,8.1,18.8,0.433,2,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.1,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,24559380
Joel Anthony,C,34,SAS,19,0,6.4,0.5,0.8,0.625,0,0,0,0.5,0.8,0.625,0.625,0.3,0.3,0.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3,346034
Trevor Ariza,SF,31,HOU,80,80,34.7,4.1,10,0.409,2.4,6.9,0.344,1.7,3,0.556,0.528,1.2,1.2,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,7806971
