FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,PCTMARR,HOMEVAL
580V74KT,0,0,0,1,1,1,15,8,1,94,4,0,1,77,203
298S54OK,1,0,0,1,0,1,15,3,1,63,3,0,0,53,68
268D25AO,1,1,0,0,0,1,15,11,1,67,2,0,1,50,38
312Q12WV,1,1,0,1,0,1,15,4,0,62,4,1,1,60,68
420R23VB,0,0,0,1,0,0,15,5,0,89,4,1,1,65,194
611B52LL,1,0,0,1,0,0,15,2,0,77,0,0,1,54,92
612W26VA,1,0,1,0,0,0,15,4,0,67,1,1,1,63,129
594Y59EZ,0,1,1,0,0,1,15,6,1,76,5,1,1,50,483
610K33YD,1,1,0,0,0,1,25,4,1,63,3,0,0,51,168
716W84WL,1,0,1,1,0,0,15,3,1,54,3,0,1,51,90
912U90JS,1,0,0,0,0,1,25,6,0,82,0,1,1,58,122
154U02JL,0,1,1,0,0,0,15,5,0,48,3,0,0,76,146
953Q54MZ,1,0,1,1,0,1,25,5,1,91,0,0,1,45,372
499I79US,1,0,1,1,0,0,25,4,0,63,3,1,0,73,358
263S97EJ,0,0,1,1,0,1,15,9,1,61,5,1,1,54,135
561M96KG,1,0,1,0,0,0,15,3,0,63,3,0,0,64,78
743K95NB,0,1,0,0,1,0,15,8,1,81,1,0,1,50,43
125B38SM,1,0,1,1,0,0,25,3,0,63,2,0,1,58,41
682P93CO,1,1,1,1,0,1,15,4,0,63,4,1,1,64,117
313H54RN,1,0,1,0,0,1,25,9,1,68,1,1,1,59,56
543N56MR,0,0,1,1,0,0,25,4,0,42,6,0,1,54,33
057M82IP,0,1,0,0,1,1,25,3,0,63,1,1,1,57,39
399I98AO,1,1,1,1,0,1,25,7,1,70,3,0,0,73,74
678J57PP,0,1,0,1,1,1,25,10,1,40,4,0,1,70,274
198Q78GK,0,0,0,1,1,1,15,7,1,55,6,1,1,78,106
233E23BU,0,0,1,1,0,0,25,5,0,61,1,0,1,71,64
667J28JV,1,1,0,0,0,1,15,4,0,55,2,0,1,42,47
214I42JH,1,0,0,1,0,0,15,3,0,63,3,0,0,58,95
927S76SY,0,1,1,0,0,0,25,5,0,58,3,0,1,53,331
274Z27MU,0,1,0,1,0,0,25,4,0,29,3,0,0,72,116
375O92UO,1,1,1,1,0,0,25,5,0,63,3,1,0,37,277
148M09EX,1,0,0,0,1,1,15,10,1,94,0,0,0,69,69
300R72GO,0,1,0,1,1,1,15,10,1,72,3,0,1,56,87
788E94HF,1,1,1,0,0,1,15,4,0,71,3,0,1,40,126
268U15RO,1,0,1,0,0,0,15,7,0,60,2,0,1,54,110
014D34XV,0,0,1,1,0,1,25,10,1,51,1,0,1,58,55
889B50QW,0,0,0,1,0,1,15,3,1,63,3,1,0,68,79
898C50VH,0,1,1,0,0,1,25,4,0,61,3,0,1,52,124
820P30ZR,0,0,1,1,0,0,15,5,1,49,3,0,0,73,111
099X79XP,0,1,0,1,0,1,15,7,1,71,6,0,1,64,336
812C10MB,0,0,1,1,1,1,15,9,1,44,4,0,1,47,57
070B29HX,0,1,1,0,0,1,15,4,1,29,6,0,1,62,48
332J59CM,0,1,0,0,1,0,15,4,0,35,4,0,1,42,227
181Q68TS,0,0,0,1,1,1,15,5,1,73,2,1,1,59,36
597G02BN,1,1,1,1,1,1,15,7,0,63,3,1,1,78,132
320S37NE,1,0,1,0,0,0,50,4,0,62,3,0,1,33,61
772H53FB,0,0,0,0,1,1,50,5,0,63,3,1,0,53,54
952H72QR,1,0,1,1,0,0,25,7,1,38,3,0,0,70,73
586T75OX,0,0,0,1,0,0,15,3,1,73,3,1,1,68,69
584H63AC,1,0,1,1,1,1,15,8,1,75,5,0,1,55,64
256L14LX,1,0,1,1,0,0,50,7,0,69,4,1,1,30,440
310N31UV,1,0,0,0,1,1,15,10,1,74,3,0,1,59,176
685C33ND,1,0,0,1,1,1,15,11,1,82,3,1,0,59,67
999Z48YP,1,0,1,1,0,0,15,3,1,26,1,1,1,65,34
464R97BR,1,0,0,0,1,1,25,7,0,73,3,1,1,73,82
419G00JH,0,1,1,0,0,0,15,4,0,41,4,1,1,70,97
739T44MK,1,1,1,1,0,1,15,11,1,58,2,0,1,66,57
427K11TA,0,0,0,1,1,0,25,4,0,59,6,1,1,56,51
790F24BQ,0,1,1,1,0,1,15,11,1,82,3,0,1,60,65
954G55KK,0,1,0,1,1,1,50,10,1,82,3,0,0,62,113
728E24BC,1,1,0,0,1,1,15,5,0,34,1,0,1,64,93
797T64FH,0,0,0,0,0,1,15,11,0,64,3,0,1,78,104
483Q06ZY,0,1,1,1,1,0,15,9,1,38,4,0,1,62,88
342R27RQ,0,1,1,1,1,1,15,10,1,34,3,0,0,60,109
003K13DO,1,0,1,1,0,0,15,3,0,67,4,0,1,67,67
579D49GJ,1,0,0,1,0,0,15,8,1,66,4,1,1,66,59
916W97CA,1,0,1,0,1,1,15,5,1,34,5,1,1,70,248
126Y16FU,1,0,0,0,0,1,15,7,0,63,4,1,1,69,91
352H52MB,0,0,1,1,1,1,15,7,1,39,2,0,1,48,119
376H17HK,1,1,0,0,0,1,25,8,1,63,2,0,1,68,62
657V10AY,1,0,0,1,0,0,15,3,0,67,1,1,1,58,58
071Z44VS,0,1,1,0,1,1,15,5,1,89,3,1,1,76,127
920S32DK,1,0,1,1,1,0,15,6,0,56,6,1,1,57,73
188G25DZ,0,0,0,1,0,0,15,3,0,66,2,0,1,55,35
302C63LH,1,0,1,1,0,0,15,3,0,41,3,1,0,42,211
011Q61HE,1,0,1,1,0,0,15,2,0,55,0,0,1,59,46
223Z31IW,0,0,0,1,1,0,15,8,1,68,1,0,1,66,35
753W05RY,1,0,1,0,1,0,50,9,1,63,3,1,0,65,128
289H00ZV,1,0,1,0,1,0,15,4,0,63,3,1,0,58,100
960K09AY,0,1,0,1,1,0,15,9,1,79,4,1,1,62,61
388Y47IW,1,0,0,1,0,0,25,7,0,51,4,1,1,47,32
718F39QL,1,0,0,1,0,0,15,7,0,40,5,1,1,77,142
475Z67DS,1,0,1,0,0,1,25,6,0,59,6,1,1,59,322
704G18DT,0,0,1,0,0,0,25,3,0,75,1,1,1,64,88
821W08ZP,0,0,1,0,0,1,25,6,1,63,3,0,0,71,76
996B27TX,0,1,1,1,0,1,25,5,0,63,4,0,1,55,187
031G69GO,1,0,0,1,1,1,15,5,1,81,0,1,1,42,72
966L39BH,1,0,0,1,0,0,15,3,0,57,6,0,1,65,126
842N10SV,0,0,1,0,0,0,15,11,1,63,2,0,1,34,92
383O33ZP,0,1,1,1,0,1,25,4,0,67,4,0,1,50,133
489T90WU,1,0,1,1,1,1,25,6,1,35,3,0,1,68,63
053J29WN,0,0,0,0,0,1,25,10,1,79,0,1,1,34,189
505C30LS,1,0,0,1,1,1,25,5,0,47,4,0,1,65,219
242K39IL,0,0,1,1,1,1,25,5,1,54,1,0,1,48,76
943K86DJ,1,0,1,1,0,0,15,3,0,66,3,1,1,52,68
063O78AS,1,1,0,0,0,1,50,7,0,58,2,1,1,57,100
272Y47AU,1,1,1,1,0,1,15,4,0,67,3,1,0,73,157
799V80WI,1,0,0,0,1,1,15,11,1,85,1,0,1,56,40
568R23JP,1,0,0,1,1,0,15,8,1,48,5,1,1,69,86
554X80FK,1,1,1,1,0,1,50,8,0,72,3,0,1,68,99
441C60AK,1,0,0,1,0,0,15,3,0,23,4,0,1,20,110
986L56OL,0,0,0,1,1,1,15,11,1,61,3,0,0,60,86
267H12XL,1,0,0,1,0,0,25,3,0,44,3,0,1,60,84
529P71DB,1,1,1,1,0,1,15,3,1,63,2,0,1,71,38
187R08YQ,1,0,0,1,0,0,25,7,0,63,3,1,0,70,71
530R67JM,0,0,1,0,0,1,25,3,0,55,4,0,1,62,233
989G22HG,1,0,0,0,1,1,15,11,1,48,0,0,1,70,78
922H00PK,0,0,1,0,1,1,25,10,1,61,2,1,1,62,71
688W85CY,1,0,1,1,0,0,15,2,0,63,3,1,0,60,56
223N72QT,0,0,1,1,0,0,15,3,0,63,3,0,1,67,108
205P31AN,0,1,1,0,1,1,25,7,0,63,0,1,1,58,61
598G97EE,0,0,0,1,0,1,15,8,1,44,2,0,1,71,444
274P06PB,1,0,1,0,0,0,15,2,0,70,5,1,1,69,585
359T76QB,0,0,0,1,0,1,25,3,0,63,3,0,0,62,83
001L25NG,1,0,0,0,0,1,15,10,1,70,3,0,0,63,53
851N47HP,1,1,1,1,0,1,15,3,0,61,1,0,1,67,91
637K40FK,0,0,0,0,1,1,15,11,1,75,1,0,1,67,36
837A26XN,0,0,0,0,1,1,25,8,1,69,3,1,0,78,102
970A76KQ,1,0,0,1,0,1,15,11,1,62,2,0,1,36,101
115K83RI,0,1,1,0,1,1,15,10,1,55,4,1,1,70,76
553Z00EG,0,1,1,0,0,0,25,4,0,75,5,1,1,76,327
046C37QF,1,0,1,0,0,0,15,5,0,77,1,1,1,48,79
168X72HD,1,0,0,0,1,1,15,10,1,55,2,1,1,46,39
892R88MA,1,0,1,0,0,0,15,3,0,31,4,0,1,61,66
532Q08IQ,1,0,1,0,1,1,15,5,1,81,1,1,1,55,57
196W68RJ,0,0,1,1,0,0,15,9,1,76,3,0,0,51,56
510O44XK,1,0,1,1,0,0,50,9,1,63,3,0,0,59,100
608S92ES,1,0,1,1,1,0,25,9,1,89,1,0,1,44,49
261T89LH,0,0,0,0,1,1,15,9,1,78,2,0,1,62,59
862B46QN,1,1,0,1,0,1,15,5,1,63,3,1,0,62,44
390X13TM,1,0,1,1,1,0,15,8,1,63,0,0,1,76,62
008K08YZ,1,1,0,0,0,0,15,11,1,63,4,0,1,39,52
988F78MZ,1,0,0,1,0,0,25,7,0,80,1,1,1,63,174
441J88WO,0,1,1,0,1,1,15,6,1,50,5,1,1,60,100
284K95RD,0,0,0,1,1,0,15,5,1,63,3,1,0,65,72
794B06DN,0,0,0,1,0,1,15,4,1,63,3,0,0,74,128
153N07HR,1,0,0,1,0,0,15,3,0,65,4,0,1,70,96
749G87GJ,0,0,0,0,0,1,15,5,0,69,6,1,1,61,238
918E53KY,1,0,1,1,0,0,15,3,0,32,5,1,1,43,235
990Q15RZ,1,0,0,1,0,0,15,3,0,33,2,0,1,61,32
326A26ZR,0,0,1,1,0,0,15,3,0,50,5,0,1,70,449
226N21CF,1,0,0,1,0,1,25,9,1,46,3,1,1,60,56
907O95RY,1,0,1,1,0,0,25,2,0,47,3,1,1,54,44
574A10QU,1,0,0,1,0,0,15,5,0,49,4,0,1,63,60
158W33FU,1,0,0,1,0,0,25,3,0,62,4,0,1,68,70
039X58WI,1,1,1,1,0,0,15,3,0,69,6,0,1,64,93
414F19PA,1,0,1,0,0,0,15,3,0,81,4,0,1,62,109
254F29AL,1,0,1,1,0,0,15,6,0,49,1,1,1,63,39
332P65ID,0,0,0,1,0,0,15,11,1,52,6,1,1,67,56
486D37LY,0,1,0,0,0,1,15,7,1,69,1,0,1,49,132
642Z33TA,1,0,0,0,1,0,50,10,1,46,1,1,1,67,110
337C40VQ,0,0,1,0,0,1,25,9,1,57,2,0,1,48,34
495E04AA,1,0,0,0,1,1,15,9,1,55,3,0,0,52,50
928Y43YI,0,0,0,1,1,0,15,6,1,75,4,0,1,64,46
967E71EP,1,1,1,0,0,0,25,5,0,63,0,0,1,59,76
142E67DJ,1,0,1,1,0,0,25,3,0,61,6,0,1,68,145
061O32ZU,0,0,1,1,0,1,15,7,1,82,2,1,1,66,104
087N29PH,1,0,0,1,0,0,25,3,0,57,4,1,1,52,45
729K31YH,0,0,1,1,1,1,15,3,0,54,0,0,1,60,93
059H10KM,1,0,1,1,0,1,15,7,1,38,3,1,1,50,28
843O36EQ,1,0,0,1,1,1,15,10,1,66,0,0,1,61,51
772K89LM,0,1,1,0,0,0,15,5,0,33,4,1,1,45,216
584Z47IE,0,0,1,0,1,0,15,10,0,48,5,0,1,67,98
809I06VL,1,0,0,1,0,0,25,9,1,71,0,0,1,18,40
906J13QA,0,0,1,0,1,0,15,9,0,49,3,1,1,53,147
403P57TJ,1,0,1,1,0,0,15,3,0,63,3,0,0,60,199
881W43YW,0,0,1,1,0,1,15,5,0,54,5,0,1,50,93
197X26JF,0,0,0,1,1,1,25,5,1,63,1,1,1,65,78
340Z24TT,0,0,0,1,0,1,15,6,1,56,5,0,1,66,87
605B63PM,0,0,1,1,1,1,50,9,0,50,4,0,1,75,132
089C77HN,0,0,0,1,0,0,15,11,1,85,2,0,1,59,63
583Q33VF,1,0,1,1,0,0,25,3,0,63,3,1,0,61,117
521B96GH,1,0,1,1,0,0,15,9,1,68,2,1,1,62,64
194A45OJ,0,0,0,1,0,1,25,3,1,82,2,1,1,65,105
248K72HB,0,1,0,1,1,1,15,11,1,65,6,0,1,71,246
525W15QT,0,0,0,1,0,0,15,4,1,27,3,0,1,52,113
868O73GX,0,0,1,1,0,0,25,3,0,50,3,1,1,71,103
021M77JW,1,1,1,0,0,0,50,4,0,45,4,0,1,51,69
938Q51SM,1,0,1,1,0,0,15,3,0,53,4,1,1,47,62
225J34SE,1,0,1,0,1,1,15,6,1,60,1,1,1,58,107
072U08ID,0,0,0,1,0,1,15,3,1,67,0,0,1,68,38
097I41QX,0,0,1,1,0,1,25,8,0,63,3,0,0,22,46
182G33CH,0,0,1,1,0,0,25,6,1,54,0,1,1,54,68
077C89EG,1,0,0,1,0,0,15,3,0,32,3,0,1,48,70
861O02QC,0,0,0,1,0,0,15,3,0,63,3,0,0,61,121
535J55CI,1,0,0,1,0,0,15,3,0,67,3,0,1,52,159
458F24XJ,1,1,0,1,1,0,15,11,1,77,1,0,1,73,42
920T29UD,1,0,1,1,0,0,15,3,0,51,5,0,1,52,52
030O08TH,0,0,0,1,0,1,15,6,1,84,4,0,1,48,105
464T30XD,1,1,1,0,1,1,15,10,1,46,5,0,1,58,194
187T76IR,0,0,1,0,1,1,15,7,1,72,3,0,1,89,78
157J04DP,1,0,1,1,0,0,15,3,0,49,3,0,1,66,38
768L39QL,1,0,0,0,0,1,15,11,1,63,6,0,1,60,189
600Z72WU,0,0,0,1,0,1,25,7,1,76,6,0,1,35,144
