FAKEID,Y3defect,Y2G5,Y2G4,Y2G3,Y2G2,Y2G1,Y2price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
580D24RR,,0,0,1,1,0,15,5,0,49,4,0,1,0,66,64
179Q96NO,,1,1,1,1,1,25,9,1,84,5,0,1,0,67,128
050Z45TB,,1,0,1,1,0,15,5,1,63,3,0,0,0,52,113
399V18KY,,0,0,1,1,0,15,1,0,34,4,0,1,0,65,81
009A52KP,,0,1,0,1,0,25,9,1,59,4,1,1,0,65,110
059D43VJ,,0,0,0,0,1,15,1,0,69,6,0,1,0,69,192
874Y07FS,,1,0,1,1,0,50,11,1,72,1,1,1,0,56,55
789T58LZ,,0,1,1,0,0,15,3,0,64,3,1,1,0,58,319
958H17RR,,0,0,0,1,1,25,6,0,63,3,0,0,0,53,57
309O88WT,,0,1,0,1,1,15,8,1,66,2,0,0,0,77,79
107P82XH,,0,1,1,0,0,25,7,0,78,6,0,1,0,71,199
053C60CM,,0,1,0,0,1,25,9,1,63,3,0,0,0,41,64
677F10AC,,0,0,1,1,0,15,11,1,77,1,1,1,0,66,123
577L87MZ,,0,0,1,1,0,25,11,0,85,4,1,1,0,49,60
808X32SV,,0,1,0,1,1,15,3,0,63,3,1,0,0,45,85
031F63CM,,0,0,1,0,0,15,1,0,58,0,0,1,0,37,31
023X26FO,,0,0,0,1,0,25,9,1,40,3,1,1,0,65,124
079Y74UQ,,0,1,0,1,0,15,6,0,52,1,0,1,0,61,104
006H63VP,,1,1,0,0,1,25,7,0,66,3,0,0,0,53,69
988V91LY,,1,0,0,1,0,15,1,0,45,4,0,1,0,65,42
673K94PG,,0,1,0,1,0,15,7,1,41,6,0,1,0,23,360
242B26KI,,1,0,1,1,0,25,10,1,72,5,0,1,0,69,591
925S59VD,,0,1,0,1,1,15,3,0,35,3,0,0,0,64,60
440I33VY,,0,1,1,0,0,25,1,0,63,3,0,0,0,35,50
611S70BH,,0,0,1,1,0,15,3,1,63,1,0,1,0,67,35
558Q36HP,,0,0,0,1,1,15,9,0,80,4,0,1,0,51,100
060Z40DF,,0,0,0,1,0,15,2,0,63,3,1,0,0,80,157
376R01KQ,,0,0,1,1,1,15,11,1,62,3,0,1,0,70,68
145N21RW,,0,0,0,1,1,15,4,0,63,3,0,1,0,64,105
270F96TM,,0,1,1,1,0,15,8,1,69,5,0,1,0,62,403
534M20HD,,0,1,0,1,0,15,9,0,63,3,0,0,0,61,69
279K84FT,,0,1,0,1,1,25,3,0,58,6,0,1,0,44,40
536E64BT,,0,0,0,0,1,15,7,1,45,5,1,1,0,51,79
373B23ML,,0,1,0,1,1,15,1,1,64,4,0,1,0,63,130
642L57YR,,0,0,1,1,1,15,5,1,82,1,1,1,0,63,81
508Y20BL,,0,0,0,1,1,25,8,0,77,3,1,0,0,76,86
921W10SK,,0,0,0,1,0,25,2,0,63,3,0,0,0,51,104
914V03DO,,0,1,0,1,0,25,3,0,63,1,1,1,0,52,45
738Q01BB,,1,1,1,0,1,15,11,1,38,1,1,1,0,54,44
273R86BW,,0,0,1,1,0,15,1,1,45,6,0,1,0,73,102
157J00LN,,0,0,1,0,0,25,1,1,71,4,1,1,0,65,83
292H96WD,,0,0,0,0,1,25,7,1,79,4,1,1,0,68,92
690R56JG,,1,1,1,0,0,50,8,0,81,1,0,1,0,73,114
332P71FB,,0,1,1,1,0,15,4,1,78,0,0,1,0,66,40
126S01EX,,0,1,0,0,0,25,3,1,63,5,1,1,0,0,0
553R30HL,,0,1,0,1,0,15,4,0,63,4,1,1,0,56,82
522H53HY,,1,1,1,0,0,15,4,0,37,0,0,1,0,49,110
989J41ZG,,0,1,0,0,0,25,6,1,63,3,1,0,0,56,38
046S72ZB,,0,0,1,1,0,25,7,0,40,1,0,1,0,70,83
025W44OI,,1,1,1,1,1,15,9,1,78,6,1,1,0,59,76
141O09JD,,0,1,1,0,0,50,11,1,42,2,0,1,0,50,27
231D76ZL,,1,0,1,0,1,25,5,0,38,3,0,1,0,67,90
434I45PR,,0,1,0,1,0,15,11,1,86,1,0,1,0,58,34
695W49AP,,0,0,0,0,1,15,9,1,74,3,0,1,0,63,45
486W51NV,,0,1,1,0,1,25,6,0,77,3,1,0,0,49,96
690M99YK,,0,0,1,0,1,15,6,1,71,3,1,0,0,67,79
824M77WM,,0,1,0,0,1,15,10,1,89,3,1,0,0,55,118
647B40ZL,,0,0,1,0,1,15,3,0,63,6,0,1,0,64,164
798C54BX,,0,1,0,1,1,25,3,0,63,3,0,0,0,43,39
669I61WY,,0,1,0,0,0,15,8,0,60,5,1,1,0,76,125
335O44UC,,0,1,0,0,0,15,11,1,89,3,0,1,0,63,40
366X70QS,,1,1,1,1,0,25,7,1,45,3,0,0,0,69,467
601V61VQ,,0,0,1,1,0,15,7,0,70,6,0,1,0,58,127
957U95WL,,0,1,0,0,0,25,3,0,63,3,0,0,0,62,113
269G52BN,,0,1,1,1,0,50,11,1,70,3,1,1,0,73,99
427H36ET,,0,0,0,1,0,15,8,0,77,5,1,1,0,72,133
229A88NE,,0,1,0,1,1,15,11,1,70,6,0,1,0,72,89
825O85VJ,,0,1,0,0,0,15,3,0,63,4,0,1,0,61,145
885D56KF,,1,0,1,0,1,15,11,1,63,0,0,1,0,53,46
965E42NE,,1,1,0,1,0,25,3,0,61,6,0,1,0,41,201
073D35GW,,0,1,1,0,0,25,7,1,40,6,0,1,0,64,94
508K85XY,,0,1,1,1,0,25,1,0,46,2,1,1,0,59,61
107L16LK,,0,0,1,1,1,15,3,1,63,3,0,0,0,50,381
588Y01JS,,0,0,1,1,0,15,11,1,67,1,1,1,0,58,67
817N78XX,,0,0,0,1,0,15,10,1,63,3,0,0,0,66,131
402W24JS,,0,1,0,0,1,15,5,1,34,4,0,1,0,47,67
327X55JY,,0,1,0,1,0,15,1,1,63,3,0,1,0,68,67
298C43WU,,0,0,1,1,1,15,10,0,55,4,1,1,0,68,97
328W95CT,,1,1,1,1,1,15,5,1,63,3,0,0,0,62,212
346Y16CC,,0,0,0,1,0,15,6,0,86,1,1,1,0,56,59
746Y17QF,,0,1,0,1,1,15,10,1,96,0,0,1,0,51,47
794R23CI,,1,1,0,1,1,15,4,1,42,3,0,1,0,44,80
062Y94YU,,0,0,0,0,1,50,6,0,53,1,0,1,0,0,0
528W18TV,,0,0,0,0,1,15,7,0,63,3,0,0,0,41,394
973A00UD,,0,1,1,1,1,25,10,1,90,1,1,1,0,56,41
962H79UH,,0,0,1,1,0,15,3,0,75,4,1,1,0,51,273
522M57HR,,0,0,0,1,0,15,2,0,62,4,0,1,0,50,61
317I61BT,,1,0,0,0,0,25,9,1,78,3,0,1,0,61,103
386L23QP,,0,0,0,0,1,15,1,0,63,4,0,1,1,68,159
999T90OF,,0,0,0,1,1,15,7,1,63,3,0,0,0,74,166
623K26CG,,0,1,0,0,1,25,9,1,63,3,0,0,0,73,51
141D65SG,,1,1,1,1,0,25,5,0,67,0,0,1,0,47,68
157S62RA,,0,0,1,0,1,15,8,1,72,2,0,1,0,58,83
981N74OE,,0,1,0,1,0,15,8,1,63,3,0,0,0,66,61
928Y32KQ,,0,0,0,1,1,25,7,0,63,3,0,0,0,60,42
331S02ZN,,0,1,0,0,1,15,8,1,63,3,0,0,0,65,96
347T83CO,,0,1,0,1,1,25,4,1,48,5,1,1,0,72,293
706T03IF,,1,1,1,1,0,25,10,1,82,3,1,0,0,56,184
369U81XX,,0,0,1,1,1,15,4,0,63,3,0,0,0,71,54
690T64XZ,,1,0,1,0,0,50,6,1,85,6,0,1,0,57,230
839O83RD,,1,1,1,1,0,25,8,1,91,3,1,0,0,66,59
659S93WV,,0,0,0,0,1,25,4,0,47,4,0,1,0,54,101
889K12BI,,0,1,0,1,0,15,9,1,50,1,0,1,0,50,83
797G52IW,,0,0,0,0,1,15,3,0,76,5,0,1,0,63,270
503S58OT,,0,0,1,0,0,25,6,0,43,3,1,1,0,48,54
845R65NY,,0,1,0,0,0,15,7,1,74,3,0,1,0,56,168
705Z43LM,,0,1,0,1,0,15,7,1,63,3,0,0,0,72,218
329L45TW,,0,0,1,1,0,25,2,0,70,3,1,1,0,52,66
545N87CU,,0,1,0,1,0,50,7,0,44,5,1,1,0,73,82
631U48OI,,0,0,1,1,1,25,5,0,63,2,0,1,0,65,57
395R57JO,,0,1,1,1,0,25,3,0,61,4,0,1,0,49,74
003J70OR,,0,0,0,1,0,50,9,0,84,3,1,0,0,49,510
677C54PB,,0,1,1,0,0,50,5,0,85,3,1,0,0,72,148
465I62KO,,0,0,0,1,0,15,2,1,36,1,0,1,0,54,61
206J37PI,,0,1,0,1,0,25,5,0,38,5,1,1,0,71,246
714M06QN,,1,0,0,1,1,15,7,1,42,5,1,1,0,55,70
197K31XI,,0,1,0,1,0,25,8,1,73,4,1,1,0,53,54
369D68FI,,0,1,1,0,1,15,4,0,63,3,1,0,0,49,185
404Q33FU,,0,1,0,1,0,25,2,0,63,6,1,1,0,64,227
143K92IK,,1,1,0,1,1,15,7,1,87,1,0,1,0,53,60
757F30JU,,0,1,1,1,1,15,7,1,63,3,1,1,0,69,64
104S61UJ,,1,1,1,1,1,15,10,1,74,0,0,1,0,64,75
933V93RA,,0,1,1,1,0,15,1,0,75,3,0,0,0,48,167
334F85FR,,0,0,0,0,1,15,4,1,62,2,0,1,0,34,62
234Y14DI,,0,1,0,0,1,15,4,0,77,4,1,1,0,49,184
028B85VG,,0,1,1,1,1,15,11,0,65,3,1,1,0,62,78
241I16RL,,0,1,0,1,0,25,3,0,63,2,1,1,0,49,82
425W63AF,,0,0,0,0,1,15,5,0,78,2,0,1,0,58,49
163L21LR,,1,1,1,0,1,15,8,1,86,6,0,1,0,55,220
330A46AY,,1,1,0,1,1,25,3,1,63,3,0,0,0,67,37
680N54GI,,0,1,1,0,1,15,11,1,68,5,0,1,0,69,177
557P81EY,,0,0,0,0,1,15,3,0,58,4,1,1,0,55,50
480M77VF,,0,1,0,1,1,15,6,0,42,5,1,1,0,71,140
251H98JN,,0,0,1,1,0,15,2,0,35,2,0,1,1,61,70
148A90BN,,0,1,0,1,1,15,1,1,40,3,1,0,0,57,197
172T17NB,,0,0,1,1,1,25,10,1,73,3,0,0,0,60,101
171C93KV,,0,0,1,0,1,15,7,0,86,3,1,0,0,65,157
294E95KU,,0,1,0,0,1,25,9,0,43,1,1,1,0,55,51
079U53FB,,0,1,0,1,0,25,7,1,75,4,1,1,0,56,70
959E27DV,,0,1,1,1,1,25,8,0,63,0,0,1,0,61,24
147M81ZR,,0,0,0,0,1,15,9,1,52,3,0,0,0,45,197
494A90UX,,0,1,1,1,0,15,11,1,63,3,1,0,0,45,172
957A78ZV,,1,1,1,0,1,15,7,1,83,0,1,1,0,50,59
415F28NT,,0,0,0,1,1,15,3,0,63,3,0,0,0,71,107
489K95MM,,0,1,1,1,1,15,3,0,78,4,0,1,0,56,68
490C81IA,,0,0,0,1,1,15,11,1,53,0,0,1,0,56,64
932J35WK,,0,0,1,0,0,15,1,0,63,3,0,0,0,49,48
441E92BK,,0,0,0,1,0,25,2,0,63,4,1,1,0,64,438
737V25RF,,1,1,0,1,1,15,11,1,64,2,1,1,0,74,127
342N86ZJ,,1,1,1,0,1,25,8,0,63,3,1,0,0,70,570
345Y94ZJ,,0,1,1,1,0,25,9,1,50,3,0,1,0,54,154
473X84DB,,0,1,1,0,0,50,7,0,58,3,0,0,0,73,153
